k_frac,Δ_shell (mean),Δ_ball (mean),Δ_diff (mean),t,p_t,p_wilcoxon,sig
0.05,0.0697,0.0385,0.0313,4.204,0.0011,0.002,**
0.1,0.0485,0.0293,0.0193,6.239,0.0001,0.001,***
0.15,0.0369,0.0138,0.0231,4.455,0.0008,0.0029,***
0.2,0.029,0.0107,0.0184,5.13,0.0003,0.001,***
0.25,0.025,0.0076,0.0174,4.861,0.0004,0.001,***
0.3,0.0197,0.008,0.0117,4.869,0.0004,0.001,***
0.35,0.0176,0.0046,0.013,5.605,0.0002,0.001,***
0.4,0.0136,0.003,0.0106,3.532,0.0032,0.0049,**
0.45,0.012,-0.0002,0.0123,5.156,0.0003,0.001,***
0.5,0.0098,-0.0022,0.012,5.2,0.0003,0.001,***
0.55,0.0086,-0.0031,0.0117,4.029,0.0015,0.0029,**
0.6,0.0072,-0.0075,0.0147,6.201,0.0001,0.001,***
0.65,0.0048,-0.0079,0.0127,4.914,0.0004,0.002,***
0.7,0.0049,-0.007,0.012,4.822,0.0005,0.001,***
0.75,0.0025,-0.0097,0.0123,13.224,0.0,0.001,***
0.8,0.0008,-0.0075,0.0084,8.49,0.0,0.001,***
0.85,-0.0002,-0.0074,0.0072,6.369,0.0001,0.001,***
0.9,-0.0014,-0.0042,0.0028,2.519,0.0164,0.0098,**
0.95,-0.0015,-0.0018,0.0003,0.76,0.2335,0.2861,ns
1.0,0.0,0.0,0.0,,,1.0,ns
