mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.5698999762535095,0.6792757511138916
non-shuffled,0,0.1,0.6402999758720398,0.6090540885925293
non-shuffled,0,0.2,0.6869999766349792,0.7788598537445068
non-shuffled,0,0.3,0.7071999907493591,0.9293863773345947
non-shuffled,0,0.4,0.7224999666213989,1.2002031803131104
non-shuffled,0,0.5,0.7324999570846558,1.3736071586608887
non-shuffled,1,0.05,0.5676000118255615,0.45961546897888184
non-shuffled,1,0.1,0.6371999979019165,0.5766808986663818
non-shuffled,1,0.2,0.6858999729156494,0.7797884941101074
non-shuffled,1,0.3,0.7127000093460083,0.9285118579864502
non-shuffled,1,0.4,0.722000002861023,1.192575454711914
non-shuffled,1,0.5,0.731499969959259,1.3654332160949707
non-shuffled,2,0.05,0.5489999651908875,0.47437572479248047
non-shuffled,2,0.1,0.6283000111579895,0.5870985984802246
non-shuffled,2,0.2,0.6869999766349792,0.7925100326538086
non-shuffled,2,0.3,0.7089999914169312,0.9174354076385498
non-shuffled,2,0.4,0.7257999777793884,1.1971337795257568
non-shuffled,2,0.5,0.7342000007629395,1.3670284748077393
non-shuffled,3,0.05,0.5501999855041504,0.46694231033325195
non-shuffled,3,0.1,0.642300009727478,0.584395170211792
non-shuffled,3,0.2,0.6827999949455261,0.7698993682861328
non-shuffled,3,0.3,0.7098999619483948,0.9142415523529053
non-shuffled,3,0.4,0.723800003528595,1.2013306617736816
non-shuffled,3,0.5,0.7330999970436096,1.3636000156402588
non-shuffled,4,0.05,0.5590000152587891,0.45261120796203613
non-shuffled,4,0.1,0.6299999952316284,0.5535190105438232
non-shuffled,4,0.2,0.6869999766349792,0.7739932537078857
non-shuffled,4,0.3,0.708299994468689,0.9243245124816895
non-shuffled,4,0.4,0.7279999852180481,1.205958604812622
non-shuffled,4,0.5,0.7330999970436096,1.4023323059082031
non-shuffled,5,0.05,0.5586999654769897,0.5082430839538574
non-shuffled,5,0.1,0.6337999701499939,0.5963172912597656
non-shuffled,5,0.2,0.6922000050544739,0.8290293216705322
non-shuffled,5,0.3,0.7062999606132507,0.98488450050354
non-shuffled,5,0.4,0.7238999605178833,1.2527875900268555
non-shuffled,5,0.5,0.7329999804496765,1.396484375
non-shuffled,6,0.05,0.5444999933242798,0.5423188209533691
non-shuffled,6,0.1,0.6208999752998352,0.6045033931732178
non-shuffled,6,0.2,0.6863999962806702,0.8166747093200684
non-shuffled,6,0.3,0.7117999792098999,0.9806904792785645
non-shuffled,6,0.4,0.7272999882698059,1.2672295570373535
non-shuffled,6,0.5,0.7342999577522278,1.4044694900512695
non-shuffled,7,0.05,0.5537999868392944,0.4937317371368408
non-shuffled,7,0.1,0.6401999592781067,0.596289873123169
non-shuffled,7,0.2,0.6873999834060669,0.8093981742858887
non-shuffled,7,0.3,0.7048999667167664,0.9569170475006104
non-shuffled,7,0.4,0.7209999561309814,1.2507495880126953
non-shuffled,7,0.5,0.7321999669075012,1.4230685234069824
non-shuffled,8,0.05,0.5690999627113342,0.49930739402770996
non-shuffled,8,0.1,0.6383999586105347,0.6078128814697266
non-shuffled,8,0.2,0.6865999698638916,0.8020985126495361
non-shuffled,8,0.3,0.7069000005722046,0.9771885871887207
non-shuffled,8,0.4,0.7214999794960022,1.2542173862457275
non-shuffled,8,0.5,0.7336999773979187,1.4276750087738037
non-shuffled,9,0.05,0.5719999670982361,0.5081467628479004
non-shuffled,9,0.1,0.6344999670982361,0.6180012226104736
non-shuffled,9,0.2,0.6773999929428101,0.826094388961792
non-shuffled,9,0.3,0.7057999968528748,0.9699110984802246
non-shuffled,9,0.4,0.7224999666213989,1.2621216773986816
non-shuffled,9,0.5,0.7322999835014343,1.4343738555908203
shuffled,0,0.05,0.5604000091552734,0.7797238826751709
shuffled,0,0.1,0.6329999566078186,0.644200325012207
shuffled,0,0.2,0.6883999705314636,0.8404951095581055
shuffled,0,0.3,0.7103999853134155,1.0145196914672852
shuffled,0,0.4,0.7220999598503113,1.2695372104644775
shuffled,0,0.5,0.731499969959259,1.401993751525879
shuffled,1,0.05,0.5530999898910522,0.4965949058532715
shuffled,1,0.1,0.6322999596595764,0.5821371078491211
shuffled,1,0.2,0.682699978351593,0.7927987575531006
shuffled,1,0.3,0.7085999846458435,0.9878759384155273
shuffled,1,0.4,0.7202000021934509,1.7784857749938965
shuffled,1,0.5,0.7293999791145325,1.780484676361084
shuffled,2,0.05,0.5573999881744385,0.5765664577484131
shuffled,2,0.1,0.6363999843597412,0.6448228359222412
shuffled,2,0.2,0.6890000104904175,0.9118459224700928
shuffled,2,0.3,0.7105000019073486,1.0498545169830322
shuffled,2,0.4,0.7222999930381775,1.2927947044372559
shuffled,2,0.5,0.7305999994277954,1.4635653495788574
shuffled,3,0.05,0.562999963760376,0.5359394550323486
shuffled,3,0.1,0.6412999629974365,0.606541633605957
shuffled,3,0.2,0.687999963760376,0.8132987022399902
shuffled,3,0.3,0.7095999717712402,0.981468677520752
shuffled,3,0.4,0.7246999740600586,1.2929136753082275
shuffled,3,0.5,0.731499969959259,1.4653973579406738
shuffled,4,0.05,0.5591999888420105,0.5028948783874512
shuffled,4,0.1,0.630899965763092,0.579852819442749
shuffled,4,0.2,0.6843999624252319,0.8249521255493164
shuffled,4,0.3,0.708299994468689,1.0009000301361084
shuffled,4,0.4,0.7233999967575073,1.2723183631896973
shuffled,4,0.5,0.7307999730110168,1.457075834274292
shuffled,5,0.05,0.560699999332428,0.5170257091522217
shuffled,5,0.1,0.6358999609947205,0.618945837020874
shuffled,5,0.2,0.683899998664856,0.8414325714111328
shuffled,5,0.3,0.7078999876976013,0.9919276237487793
shuffled,5,0.4,0.7208999991416931,1.3141562938690186
shuffled,5,0.5,0.7315999865531921,1.400709629058838
shuffled,6,0.05,0.558899998664856,0.4646022319793701
shuffled,6,0.1,0.6371999979019165,0.5855059623718262
shuffled,6,0.2,0.6834999918937683,0.8104245662689209
shuffled,6,0.3,0.7028999924659729,0.9413740634918213
shuffled,6,0.4,0.7175999879837036,1.2320430278778076
shuffled,6,0.5,0.7289999723434448,1.406813621520996
shuffled,7,0.05,0.5568000078201294,0.47011280059814453
shuffled,7,0.1,0.6348999738693237,0.5707206726074219
shuffled,7,0.2,0.6836000084877014,0.809124231338501
shuffled,7,0.3,0.7081999778747559,0.9456963539123535
shuffled,7,0.4,0.7222999930381775,1.2358050346374512
shuffled,7,0.5,0.7317000031471252,1.3768322467803955
shuffled,8,0.05,0.5685999989509583,0.47452735900878906
shuffled,8,0.1,0.6348999738693237,0.5899317264556885
shuffled,8,0.2,0.6855999827384949,0.8046572208404541
shuffled,8,0.3,0.7105000019073486,0.9484438896179199
shuffled,8,0.4,0.7215999960899353,1.218611240386963
shuffled,8,0.5,0.7295999526977539,1.404947280883789
shuffled,9,0.05,0.5638999938964844,0.4833531379699707
shuffled,9,0.1,0.6396999955177307,0.5872690677642822
shuffled,9,0.2,0.6912999749183655,0.798349142074585
shuffled,9,0.3,0.7116999626159668,0.9344484806060791
shuffled,9,0.4,0.7252999544143677,1.2174983024597168
shuffled,9,0.5,0.7346000075340271,1.3868839740753174
