mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.5902999639511108,0.990659236907959
non-shuffled,0,0.1,0.661899983882904,0.8177144527435303
non-shuffled,0,0.2,0.7102000117301941,1.0501208305358887
non-shuffled,0,0.3,0.7271999716758728,2.0763661861419678
non-shuffled,0,0.4,0.7412999868392944,1.5230059623718262
non-shuffled,0,0.5,0.7493000030517578,1.6355218887329102
non-shuffled,1,0.05,0.5900999903678894,0.6911673545837402
non-shuffled,1,0.1,0.6603999733924866,0.7570219039916992
non-shuffled,1,0.2,0.7102999687194824,0.9869725704193115
non-shuffled,1,0.3,0.7301999926567078,1.1363203525543213
non-shuffled,1,0.4,0.7425000071525574,1.4396893978118896
non-shuffled,1,0.5,0.7513999938964844,1.602647066116333
non-shuffled,2,0.05,0.5852999687194824,0.7233424186706543
non-shuffled,2,0.1,0.6609999537467957,0.7679252624511719
non-shuffled,2,0.2,0.7069999575614929,1.0034890174865723
non-shuffled,2,0.3,0.7288999557495117,1.6973724365234375
non-shuffled,2,0.4,0.7414000034332275,1.4064548015594482
non-shuffled,2,0.5,0.75,1.565664529800415
non-shuffled,3,0.05,0.5846999883651733,0.6886177062988281
non-shuffled,3,0.1,0.6563000082969666,0.8199293613433838
non-shuffled,3,0.2,0.7089999914169312,0.9700541496276855
non-shuffled,3,0.3,0.7324000000953674,1.1383788585662842
non-shuffled,3,0.4,0.7425000071525574,1.4168319702148438
non-shuffled,3,0.5,0.7515000104904175,1.5479683876037598
non-shuffled,4,0.05,0.5862999558448792,0.6822381019592285
non-shuffled,4,0.1,0.6597999930381775,0.7693243026733398
non-shuffled,4,0.2,0.7080000042915344,0.9823269844055176
non-shuffled,4,0.3,0.7268999814987183,1.1191673278808594
non-shuffled,4,0.4,0.7427999973297119,1.8427863121032715
non-shuffled,4,0.5,0.750499963760376,1.5716702938079834
non-shuffled,5,0.05,0.5997999906539917,0.6398179531097412
non-shuffled,5,0.1,0.6635000109672546,0.7726385593414307
non-shuffled,5,0.2,0.7075999975204468,0.9810833930969238
