mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.578959995508194,0.009175955686409479,0.0029016919677827702,0.572395912238878,0.58552407877751,10
non-shuffled,0.1,0.6570899784564972,0.002783853449728581,0.0008803317573259367,0.6550985296659744,0.65908142724702,10
non-shuffled,0.2,0.7097599744796753,0.0029717989467812245,0.0009397653419918184,0.7076340775798865,0.7118858713794641,10
non-shuffled,0.3,0.7321899771690369,0.0022012344008480143,0.0006960914370595803,0.7306153089386912,0.7337646453993826,10
non-shuffled,0.4,0.7446899771690368,0.001252959338301464,0.00039622053246100744,0.7437936640534603,0.7455862902846134,10
non-shuffled,0.5,0.7526299774646759,0.0013646809751226797,0.00043155001608872497,0.751653743504651,0.7536062114247007,10
shuffled,0.05,0.5889099836349487,0.004181021903375761,0.0013221552161719846,0.5859190607422804,0.5919009065276171,10
shuffled,0.1,0.6615399837493896,0.0037594906978012624,0.0011888553447267764,0.6588506061157186,0.6642293613830607,10
shuffled,0.2,0.7116899788379669,0.0030729870216158325,0.0009717638208443111,0.7094916963500415,0.7138882613258923,10
shuffled,0.3,0.732589989900589,0.0018199243387254848,0.0005755106079548311,0.7312880944565054,0.7338918853446725,10
shuffled,0.4,0.7434099793434144,0.0021604797309798095,0.0006832036788524042,0.7418644652476101,0.7449554934392186,10
shuffled,0.5,0.7522199749946594,0.001409336251619621,0.0004456712544162169,0.7512117965742036,0.7532281534151153,10
