mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5871899902820588,0.004778763101984565,0.0015111775800642736,0.5837714690949718,0.5906085114691457,10
non-shuffled,0.1,0.6618399739265441,0.0032370050340371206,0.0010236308704988171,0.6595243600207267,0.6641555878323616,10
non-shuffled,0.2,0.7109499752521515,0.002991933252415641,0.0009461323684828902,0.7088096751377798,0.7130902753665233,10
non-shuffled,0.3,0.7334799885749816,0.002575864538662333,0.0008145598886231823,0.7316373260883591,0.7353226510616042,10
non-shuffled,0.4,0.7436099827289582,0.0020496315619842483,0.0006481504100038809,0.7421437646363611,0.7450762008215552,10
non-shuffled,0.5,0.7515099823474884,0.0015263948731443775,0.0004826884407940012,0.7504180652337195,0.7526018994612574,10
shuffled,0.05,0.586629980802536,0.002063473079745286,0.0006525274822437362,0.5851538610846192,0.5881061005204529,10
shuffled,0.1,0.6629899799823761,0.004009563152282561,0.0012679351983497448,0.6601217112913944,0.6658582486733577,10
shuffled,0.2,0.7114499807357788,0.0033304092504775,0.0010531678772003116,0.7090675494786822,0.7138324119928754,10
shuffled,0.3,0.732809978723526,0.0010492932766052046,0.00033181566875735186,0.7320593595316994,0.7335605979153527,10
shuffled,0.4,0.7434799790382385,0.0015164424306841676,0.0004795412021483979,0.7423951814729148,0.7445647766035621,10
shuffled,0.5,0.751639986038208,0.0014886183828407653,0.0004707424656573332,0.7505750925976616,0.7527048794787544,10
