mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.37109997868537903,0.9966413974761963
non-shuffled,0,0.1,0.47759997844696045,0.849318265914917
non-shuffled,0,0.2,0.569599986076355,1.222290277481079
non-shuffled,0,0.3,0.6092999577522278,1.811370849609375
non-shuffled,0,0.4,0.642300009727478,2.538055181503296
non-shuffled,0,0.5,0.6568999886512756,3.0218334197998047
non-shuffled,1,0.05,0.3885999917984009,0.6104240417480469
non-shuffled,1,0.1,0.4908999800682068,0.8220455646514893
non-shuffled,1,0.2,0.5787999629974365,1.2304580211639404
non-shuffled,1,0.3,0.6191999912261963,1.7986712455749512
non-shuffled,1,0.4,0.648099958896637,2.5359935760498047
non-shuffled,1,0.5,0.6592999696731567,3.0105135440826416
non-shuffled,2,0.05,0.382099986076355,0.7197515964508057
non-shuffled,2,0.1,0.49049997329711914,0.837846040725708
non-shuffled,2,0.2,0.5712999701499939,1.241231918334961
non-shuffled,2,0.3,0.6207999587059021,1.814650297164917
non-shuffled,2,0.4,0.6534000039100647,2.5202174186706543
non-shuffled,2,0.5,0.661899983882904,2.9896249771118164
non-shuffled,3,0.05,0.38449999690055847,0.5428187847137451
non-shuffled,3,0.1,0.48429998755455017,0.7582330703735352
non-shuffled,3,0.2,0.5803999900817871,1.2575922012329102
non-shuffled,3,0.3,0.6262999773025513,1.80314040184021
non-shuffled,3,0.4,0.6459999680519104,2.5243163108825684
non-shuffled,3,0.5,0.6642999649047852,2.9908530712127686
non-shuffled,4,0.05,0.36389997601509094,0.5609052181243896
non-shuffled,4,0.1,0.47029998898506165,0.7790842056274414
non-shuffled,4,0.2,0.5686999559402466,1.2600884437561035
non-shuffled,4,0.3,0.6018999814987183,1.8209612369537354
non-shuffled,4,0.4,0.6276999711990356,2.550611734390259
non-shuffled,4,0.5,0.6459000110626221,3.014918327331543
non-shuffled,5,0.05,0.3531000018119812,0.5705032348632812
non-shuffled,5,0.1,0.4717999994754791,0.7800853252410889
non-shuffled,5,0.2,0.5697999596595764,1.2537579536437988
non-shuffled,5,0.3,0.6205999851226807,1.8299975395202637
non-shuffled,5,0.4,0.6430000066757202,2.552644729614258
non-shuffled,5,0.5,0.6513000130653381,3.0184855461120605
non-shuffled,6,0.05,0.39069998264312744,0.6026449203491211
non-shuffled,6,0.1,0.4998999834060669,0.8070573806762695
non-shuffled,6,0.2,0.579800009727478,1.2479898929595947
non-shuffled,6,0.3,0.6236000061035156,1.8758654594421387
non-shuffled,6,0.4,0.636900007724762,2.5783004760742188
non-shuffled,6,0.5,0.6583999991416931,3.0178792476654053
non-shuffled,7,0.05,0.3992999792098999,0.580885648727417
non-shuffled,7,0.1,0.4900999963283539,0.7807881832122803
