mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.37993998527526857,0.01362596953904637,0.0043089099071461166,0.370192553864725,0.38968741668581214,10
non-shuffled,0.1,0.48675998747348787,0.010404506371379045,0.0032901938063291517,0.47931705198732216,0.49420292295965357,10
non-shuffled,0.2,0.5754899740219116,0.005448848424591369,0.0017230771646728953,0.5715921026716965,0.5793878453721267,10
non-shuffled,0.3,0.6186499834060669,0.0074079957682973135,0.002342613952470848,0.613350622473683,0.6239493443384508,10
non-shuffled,0.4,0.6441399931907654,0.007325636557794484,0.002316569683322628,0.6388995484883865,0.6493804378931444,10
non-shuffled,0.5,0.6596499860286713,0.007015249957973117,0.0022184168222595547,0.6546315785240008,0.6646683935333418,10
shuffled,0.05,0.3074499905109406,0.009175122971312734,0.002901428640147998,0.30088650293011976,0.3140134780917614,10
shuffled,0.1,0.42446998953819276,0.004815955092159709,0.0015229387200310794,0.4210248628040866,0.42791511627229895,10
shuffled,0.2,0.536739981174469,0.005521508472526731,0.0017460542893101712,0.5327901319571738,0.5406898303917641,10
shuffled,0.3,0.5922899782657624,0.005264029102257069,0.0016646321632543739,0.5885243186941391,0.5960556378373856,10
shuffled,0.4,0.6272099852561951,0.004515260080673445,0.0014278506082963708,0.6239799627751519,0.6304400077372383,10
shuffled,0.5,0.6510599911212921,0.0032366690561928734,0.0010235246249756995,0.6487446175595457,0.6533753646830385,10
