mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.45809999108314514,1.2952120304107666
non-shuffled,0,0.1,0.5352999567985535,1.2431442737579346
non-shuffled,0,0.2,0.5996999740600586,1.7239859104156494
non-shuffled,0,0.3,0.6274999976158142,2.3942933082580566
non-shuffled,0,0.4,0.6396999955177307,2.9497182369232178
non-shuffled,0,0.5,0.6577000021934509,3.448946952819824
non-shuffled,1,0.05,0.4486999809741974,0.8987469673156738
non-shuffled,1,0.1,0.529699981212616,1.1593315601348877
non-shuffled,1,0.2,0.5990999937057495,1.647367000579834
non-shuffled,1,0.3,0.6211999654769897,2.301050901412964
non-shuffled,1,0.4,0.645799994468689,2.998656749725342
non-shuffled,1,0.5,0.6545999646186829,3.4237751960754395
non-shuffled,2,0.05,0.45009997487068176,0.8749637603759766
non-shuffled,2,0.1,0.5354999899864197,1.1231753826141357
non-shuffled,2,0.2,0.5976999998092651,1.647763729095459
non-shuffled,2,0.3,0.6293999552726746,2.202645778656006
non-shuffled,2,0.4,0.6344000101089478,2.901338815689087
non-shuffled,2,0.5,0.6584999561309814,3.4821746349334717
non-shuffled,3,0.05,0.45719999074935913,0.8945848941802979
non-shuffled,3,0.1,0.5354999899864197,1.1449697017669678
non-shuffled,3,0.2,0.5929999947547913,1.6340322494506836
non-shuffled,3,0.3,0.6209999918937683,2.250704765319824
non-shuffled,3,0.4,0.6469999551773071,2.92258882522583
non-shuffled,3,0.5,0.6592000126838684,3.4239888191223145
non-shuffled,4,0.05,0.45799997448921204,0.9612827301025391
non-shuffled,4,0.1,0.5169000029563904,1.180687427520752
non-shuffled,4,0.2,0.5941999554634094,1.6924049854278564
non-shuffled,4,0.3,0.6316999793052673,2.270691156387329
non-shuffled,4,0.4,0.6430999636650085,2.913531541824341
non-shuffled,4,0.5,0.6559000015258789,3.4454269409179688
non-shuffled,5,0.05,0.4560999870300293,0.9019832611083984
non-shuffled,5,0.1,0.5339999794960022,1.133293628692627
non-shuffled,5,0.2,0.5938999652862549,1.7333886623382568
non-shuffled,5,0.3,0.6241999864578247,2.241241216659546
non-shuffled,5,0.4,0.6448000073432922,2.904574155807495
non-shuffled,5,0.5,0.6553999781608582,3.4273295402526855
non-shuffled,6,0.05,0.461899995803833,0.87947678565979
non-shuffled,6,0.1,0.5356000065803528,1.1670660972595215
non-shuffled,6,0.2,0.5960999727249146,1.6596136093139648
non-shuffled,6,0.3,0.6281999945640564,2.305224657058716
non-shuffled,6,0.4,0.6480000019073486,2.9387059211730957
non-shuffled,6,0.5,0.6542999744415283,3.50278639793396
non-shuffled,7,0.05,0.45659998059272766,0.8846631050109863
non-shuffled,7,0.1,0.5339999794960022,1.1468145847320557
non-shuffled,7,0.2,0.6004999876022339,1.635122299194336
non-shuffled,7,0.3,0.628600001335144,2.2703230381011963
non-shuffled,7,0.4,0.645799994468689,2.959277391433716
non-shuffled,7,0.5,0.6568999886512756,3.4203760623931885
non-shuffled,8,0.05,0.457099974155426,0.8733503818511963
non-shuffled,8,0.1,0.5363999605178833,1.164684772491455
