mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.45646998286247253,0.004165216206618031,0.0013171570159959478,0.4534903666841338,0.4594495990408113,10
non-shuffled,0.1,0.532779985666275,0.0058815661859604245,0.001859914535666439,0.5285725666771207,0.5369874046554294,10
non-shuffled,0.2,0.5963599801063537,0.0029193618038563427,0.0009231832614283774,0.5942715944788866,0.5984483657338209,10
non-shuffled,0.3,0.6263299822807312,0.003736023384271498,0.0011814343285948422,0.6236573921518587,0.6290025724096038,10
non-shuffled,0.4,0.6441299855709076,0.00422400938503249,0.0013357490514629817,0.641108311286365,0.6471516598554502,10
non-shuffled,0.5,0.6567399859428406,0.0016860271075821124,0.0005331685856745222,0.6555338748077482,0.657946097077933,10
shuffled,0.05,0.3798399865627289,0.00865283489597109,0.002736266648865476,0.37365012136351905,0.3860298517619387,10
shuffled,0.1,0.47476998865604403,0.004144349463259499,0.0013105583723596326,0.4718052996466723,0.4777346776654158,10
shuffled,0.2,0.5542799770832062,0.0035392428846805113,0.0011192068708135072,0.5517481552436799,0.5568117989227325,10
shuffled,0.3,0.5935499906539917,0.003392221531976913,0.0010727146368912747,0.5911233415544497,0.5959766397535338,10
shuffled,0.4,0.6196999788284302,0.0032366003340732587,0.0010235028931333378,0.6173846544275268,0.6220153032293336,10
shuffled,0.5,0.6366199851036072,0.002903165339183435,0.0009180614895874931,0.6345431857289964,0.638696784478218,10
