mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.438400000333786,1.1047093868255615
non-shuffled,0,0.1,0.5145999789237976,0.9951097965240479
non-shuffled,0,0.2,0.5827999711036682,1.472754716873169
non-shuffled,0,0.3,0.6151999831199646,2.0274410247802734
non-shuffled,0,0.4,0.6284999847412109,2.6941590309143066
non-shuffled,0,0.5,0.6486999988555908,3.199547052383423
non-shuffled,1,0.05,0.42149999737739563,0.7320888042449951
non-shuffled,1,0.1,0.5037999749183655,0.9665737152099609
non-shuffled,1,0.2,0.5766000151634216,1.489774227142334
non-shuffled,1,0.3,0.6075999736785889,2.0601086616516113
non-shuffled,1,0.4,0.627299964427948,2.7320027351379395
non-shuffled,1,0.5,0.6380999684333801,3.2458417415618896
non-shuffled,2,0.05,0.44419997930526733,0.6824767589569092
non-shuffled,2,0.1,0.5187000036239624,0.9304425716400146
non-shuffled,2,0.2,0.5770999789237976,1.4219534397125244
non-shuffled,2,0.3,0.604200005531311,2.0264875888824463
non-shuffled,2,0.4,0.6272000074386597,2.6990222930908203
non-shuffled,2,0.5,0.6408999562263489,3.221367835998535
non-shuffled,3,0.05,0.4449999928474426,0.6627495288848877
non-shuffled,3,0.1,0.5178999900817871,0.923553466796875
non-shuffled,3,0.2,0.5748000144958496,1.4330370426177979
non-shuffled,3,0.3,0.6132999658584595,2.017413854598999
non-shuffled,3,0.4,0.6330999732017517,2.680673122406006
non-shuffled,3,0.5,0.6412000060081482,3.219414710998535
non-shuffled,4,0.05,0.44829997420310974,0.6748530864715576
non-shuffled,4,0.1,0.5273999571800232,0.9265544414520264
non-shuffled,4,0.2,0.5841999650001526,1.4510021209716797
non-shuffled,4,0.3,0.613099992275238,2.0912866592407227
non-shuffled,4,0.4,0.6333000063896179,2.72792911529541
non-shuffled,4,0.5,0.6401999592781067,3.229818820953369
non-shuffled,5,0.05,0.47099998593330383,0.6829180717468262
non-shuffled,5,0.1,0.5381999611854553,0.9230484962463379
non-shuffled,5,0.2,0.5859000086784363,1.4215538501739502
non-shuffled,5,0.3,0.6189000010490417,2.0293338298797607
non-shuffled,5,0.4,0.6372999548912048,2.698944568634033
non-shuffled,5,0.5,0.6514999866485596,3.2117202281951904
non-shuffled,6,0.05,0.4438999891281128,0.6685588359832764
non-shuffled,6,0.1,0.5228999853134155,0.9342412948608398
non-shuffled,6,0.2,0.5821999907493591,1.4631679058074951
non-shuffled,6,0.3,0.6139000058174133,2.0243091583251953
non-shuffled,6,0.4,0.6351999640464783,2.6934878826141357
non-shuffled,6,0.5,0.6462000012397766,3.211118221282959
non-shuffled,7,0.05,0.42069998383522034,0.6712963581085205
non-shuffled,7,0.1,0.5023999810218811,0.9232399463653564
non-shuffled,7,0.2,0.579800009727478,1.4240431785583496
non-shuffled,7,0.3,0.613599956035614,2.018887519836426
non-shuffled,7,0.4,0.6232999563217163,2.6931252479553223
non-shuffled,7,0.5,0.6398000121116638,3.2049167156219482
non-shuffled,8,0.05,0.44769999384880066,0.6649692058563232
non-shuffled,8,0.1,0.5133999586105347,0.9389660358428955
non-shuffled,8,0.2,0.5792999863624573,1.4277329444885254
non-shuffled,8,0.3,0.6068999767303467,2.0135409832000732
non-shuffled,8,0.4,0.6293999552726746,2.6965792179107666
non-shuffled,8,0.5,0.6121000051498413,3.2059667110443115
non-shuffled,9,0.05,0.43789997696876526,0.6651878356933594
non-shuffled,9,0.1,0.5286999940872192,0.9253151416778564
non-shuffled,9,0.2,0.5866999626159668,1.430793046951294
non-shuffled,9,0.3,0.6166999936103821,2.0278687477111816
non-shuffled,9,0.4,0.6330999732017517,2.690452814102173
non-shuffled,9,0.5,0.6469999551773071,3.215816020965576
shuffled,0,0.05,0.38029998540878296,0.9254889488220215
shuffled,0,0.1,0.47259998321533203,0.919374942779541
shuffled,0,0.2,0.5439000129699707,1.4349777698516846
shuffled,0,0.3,0.5945999622344971,2.0044870376586914
shuffled,0,0.4,0.6209999918937683,2.6910836696624756
shuffled,0,0.5,0.6358999609947205,3.200572967529297
shuffled,1,0.05,0.3878999948501587,0.7019870281219482
shuffled,1,0.1,0.4860000014305115,0.9286289215087891
shuffled,1,0.2,0.5580999851226807,1.4431612491607666
shuffled,1,0.3,0.598800003528595,2.016143798828125
shuffled,1,0.4,0.6227999925613403,2.6961607933044434
shuffled,1,0.5,0.6376000046730042,3.196476459503174
shuffled,2,0.05,0.3831000030040741,0.6954748630523682
shuffled,2,0.1,0.47509998083114624,0.93979811668396
shuffled,2,0.2,0.5604999661445618,1.4435579776763916
shuffled,2,0.3,0.5940999984741211,2.020057201385498
shuffled,2,0.4,0.6179999709129333,2.7002005577087402
shuffled,2,0.5,0.6349999904632568,3.2223453521728516
shuffled,3,0.05,0.384799987077713,0.6653966903686523
shuffled,3,0.1,0.48399999737739563,0.923511266708374
shuffled,3,0.2,0.5551999807357788,1.4227373600006104
shuffled,3,0.3,0.5938000082969666,2.015827178955078
shuffled,3,0.4,0.6197999715805054,2.6978759765625
shuffled,3,0.5,0.6376000046730042,3.2109501361846924
shuffled,4,0.05,0.3885999917984009,0.6916384696960449
shuffled,4,0.1,0.47519999742507935,0.9271836280822754
shuffled,4,0.2,0.5546000003814697,1.4213895797729492
shuffled,4,0.3,0.5963999629020691,2.0134823322296143
shuffled,4,0.4,0.6172999739646912,2.6910009384155273
shuffled,4,0.5,0.6358000040054321,3.2130298614501953
shuffled,5,0.05,0.37369999289512634,0.6683838367462158
shuffled,5,0.1,0.4764999747276306,0.9231383800506592
shuffled,5,0.2,0.551800012588501,1.4287643432617188
shuffled,5,0.3,0.5895000100135803,2.0133161544799805
shuffled,5,0.4,0.6204999685287476,2.7158329486846924
shuffled,5,0.5,0.6365000009536743,3.202996015548706
shuffled,6,0.05,0.3804999887943268,0.6639227867126465
shuffled,6,0.1,0.47679999470710754,0.9190304279327393
shuffled,6,0.2,0.5519999861717224,1.434006929397583
shuffled,6,0.3,0.6020999550819397,2.012525796890259
shuffled,6,0.4,0.6191999912261963,2.695025682449341
shuffled,6,0.5,0.6334999799728394,3.199335813522339
shuffled,7,0.05,0.3660999834537506,0.6951186656951904
shuffled,7,0.1,0.48649999499320984,0.9289534091949463
shuffled,7,0.2,0.5602999925613403,1.4284884929656982
shuffled,7,0.3,0.5928999781608582,2.022714853286743
shuffled,7,0.4,0.6222999691963196,2.682871103286743
shuffled,7,0.5,0.6390999555587769,3.2203762531280518
shuffled,8,0.05,0.384799987077713,0.6738941669464111
shuffled,8,0.1,0.48479998111724854,0.9210264682769775
shuffled,8,0.2,0.5618000030517578,1.4299132823944092
shuffled,8,0.3,0.5971999764442444,2.0232181549072266
shuffled,8,0.4,0.6280999779701233,2.6922080516815186
shuffled,8,0.5,0.642300009727478,3.24064040184021
shuffled,9,0.05,0.38429999351501465,0.6673648357391357
shuffled,9,0.1,0.46779999136924744,0.9174377918243408
shuffled,9,0.2,0.552299976348877,1.429368019104004
