mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.44185998737812043,0.014275634101271582,0.004514351880318902,0.43164781393641316,0.4520721608198277,10
non-shuffled,0.1,0.5187999784946442,0.01108913149638415,0.0035066912801685144,0.510867291697293,0.5267326652919955,10
non-shuffled,0.2,0.5809399902820587,0.004065070331701024,0.001285488109695141,0.578032014146948,0.5838479664171693,10
non-shuffled,0.3,0.6123399853706359,0.004643563098078681,0.0014684235848636481,0.6090181804400328,0.6156617903012391,10
non-shuffled,0.4,0.6307699739933014,0.004309432974373666,0.0013627623622854816,0.6276871913541893,0.6338527566324135,10
non-shuffled,0.5,0.6405699849128723,0.010936584780467596,0.0034584517729810177,0.6327464234622379,0.6483935463635068,10
shuffled,0.05,0.3814099907875061,0.00686301910929421,0.0021702772010629766,0.3765004826717425,0.38631949890326966,10
shuffled,0.1,0.47852998971939087,0.006401573851032348,0.0020243553979037653,0.4739505796558605,0.4831093997829212,10
shuffled,0.2,0.555049991607666,0.005417095783766772,0.001713036097999798,0.5511748347283482,0.5589251484869838,10
shuffled,0.3,0.5959499835968017,0.003737264183936076,0.0011818267039008462,0.5932765058533201,0.5986234613402833,10
shuffled,0.4,0.6211699783802033,0.0030833075774019058,0.0009750274671445932,0.6189643130114226,0.6233756437489839,10
shuffled,0.5,0.6372499883174896,0.002507435988844447,0.0007929208811825004,0.635456276666546,0.6390436999684331,10
