mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.460999995470047,1.134315013885498
non-shuffled,0,0.1,0.5221999883651733,0.9749596118927002
non-shuffled,0,0.2,0.5792999863624573,1.476302146911621
non-shuffled,0,0.3,0.6164000034332275,2.0259592533111572
non-shuffled,0,0.4,0.6340999603271484,2.7231862545013428
non-shuffled,0,0.5,0.6424999833106995,3.22410249710083
non-shuffled,1,0.05,0.45729997754096985,0.7055692672729492
non-shuffled,1,0.1,0.5274999737739563,0.971318244934082
non-shuffled,1,0.2,0.5925999879837036,1.4347670078277588
non-shuffled,1,0.3,0.6198999881744385,2.0316481590270996
non-shuffled,1,0.4,0.6380000114440918,2.7172117233276367
non-shuffled,1,0.5,0.6585999727249146,3.23085355758667
non-shuffled,2,0.05,0.45080000162124634,0.7161664962768555
non-shuffled,2,0.1,0.520799994468689,1.0243496894836426
non-shuffled,2,0.2,0.583899974822998,1.7672443389892578
non-shuffled,2,0.3,0.6173999905586243,2.427851915359497
non-shuffled,2,0.4,0.6276999711990356,3.232058048248291
non-shuffled,2,0.5,0.6456999778747559,3.62492036819458
non-shuffled,3,0.05,0.4495999813079834,0.9905257225036621
non-shuffled,3,0.1,0.5306999683380127,1.1889796257019043
non-shuffled,3,0.2,0.5892999768257141,1.9333617687225342
non-shuffled,3,0.3,0.6218000054359436,2.4032530784606934
non-shuffled,3,0.4,0.6347000002861023,2.9546217918395996
non-shuffled,3,0.5,0.6527000069618225,3.45499324798584
non-shuffled,4,0.05,0.44919997453689575,0.916649580001831
non-shuffled,4,0.1,0.5203999876976013,1.2246179580688477
non-shuffled,4,0.2,0.5755000114440918,1.7789525985717773
non-shuffled,4,0.3,0.6083999872207642,2.4100046157836914
non-shuffled,4,0.4,0.6319999694824219,2.9866244792938232
non-shuffled,4,0.5,0.6408999562263489,3.534637212753296
non-shuffled,5,0.05,0.4430999755859375,0.9583473205566406
non-shuffled,5,0.1,0.5130999684333801,1.2448272705078125
non-shuffled,5,0.2,0.5774999856948853,1.8247971534729004
non-shuffled,5,0.3,0.6049999594688416,2.2889866828918457
non-shuffled,5,0.4,0.6193999648094177,3.1069018840789795
non-shuffled,5,0.5,0.6464999914169312,3.5511789321899414
non-shuffled,6,0.05,0.4530999958515167,0.9681012630462646
non-shuffled,6,0.1,0.524899959564209,1.2163710594177246
non-shuffled,6,0.2,0.5837000012397766,1.705246925354004
non-shuffled,6,0.3,0.6129999756813049,2.2545340061187744
non-shuffled,6,0.4,0.6283999681472778,2.9336090087890625
non-shuffled,6,0.5,0.6441999673843384,3.602325201034546
non-shuffled,7,0.05,0.44699999690055847,0.8676056861877441
non-shuffled,7,0.1,0.5250999927520752,1.1563568115234375
non-shuffled,7,0.2,0.5819999575614929,1.6440391540527344
non-shuffled,7,0.3,0.6171000003814697,2.286179304122925
non-shuffled,7,0.4,0.6358999609947205,2.9763376712799072
non-shuffled,7,0.5,0.6527999639511108,3.5554192066192627
non-shuffled,8,0.05,0.4536999762058258,0.8552689552307129
non-shuffled,8,0.1,0.5273000001907349,1.1279973983764648
