mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.4525799870491028,0.005869661669687449,0.0018561499970799248,0.44838108403787685,0.45677889006032873,10
non-shuffled,0.1,0.5238599836826324,0.004965034741578996,0.001570081844525514,0.5203082117917719,0.527411755573493,10
non-shuffled,0.2,0.5836999833583831,0.0055763358505503445,0.0017633922285791393,0.5797109129975816,0.5876890537191847,10
non-shuffled,0.3,0.6152999877929688,0.005209617977581004,0.001647425854851598,0.6115732515951452,0.6190267239907924,10
non-shuffled,0.4,0.6323599815368652,0.006165180810164294,0.0019496013546881337,0.6279496768676475,0.636770286206083,10
non-shuffled,0.5,0.6492899835109711,0.0060368308968734,0.0019090135483396994,0.6449714948386089,0.6536084721833333,10
shuffled,0.05,0.38202998638153074,0.004154529002779846,0.0013137774254012322,0.37905801536826333,0.38500195739479814,10
shuffled,0.1,0.4739999890327454,0.005841237350615568,0.001847161438159274,0.4698214195544655,0.47817855851102525,10
shuffled,0.2,0.5545399904251098,0.0032558419435242928,0.001029587624304607,0.5522109014060033,0.5568690794442164,10
shuffled,0.3,0.5942799866199493,0.001847403707124989,0.00058420034723536,0.592958433619909,0.5956015396199896,10
shuffled,0.4,0.6179299890995026,0.0037496822453505574,0.0011857536397202075,0.6152476280100292,0.620612350188976,10
shuffled,0.5,0.6357099771499634,0.002668936780829513,0.0008439919158418878,0.6338007347921507,0.637619219507776,10
