mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5399699866771698,0.007664648384384908,0.0024237746358986055,0.5344870275234277,0.5454529458309119,10
non-shuffled,0.1,0.6179399788379669,0.002201117671382523,0.0006960545239614797,0.6163653941108505,0.6195145635650834,10
non-shuffled,0.2,0.6687699794769287,0.002372081676569076,0.0007501180893909144,0.6670730944680267,0.6704668644858308,10
non-shuffled,0.3,0.6943599820137024,0.0017180068485245304,0.0005432814677105403,0.6931309939500752,0.6955889700773297,10
non-shuffled,0.4,0.7087099850177765,0.0021895895270550706,0.0006924090046344897,0.7071436470283179,0.7102763230072351,10
non-shuffled,0.5,0.7200999855995178,0.0010780660784634024,0.00034091442761101484,0.7193287835851773,0.7208711876138584,10
shuffled,0.05,0.5371299922466278,0.005732366201957087,0.0018127333580353156,0.5330293044964036,0.541230679996852,10
shuffled,0.1,0.6190099835395813,0.003704195676549141,0.0011713695236843643,0.6163601615812296,0.6216598054979329,10
shuffled,0.2,0.6726399838924408,0.0024980847659854706,0.0007899637648682807,0.6708529617033488,0.6744270060815328,10
shuffled,0.3,0.6963399827480317,0.0029855870682977156,0.0009441255288565471,0.6942042224202954,0.6984757430757679,10
shuffled,0.4,0.7095699846744538,0.0028546434145911943,0.0009027175097708514,0.7075278957936918,0.7116120735552157,10
shuffled,0.5,0.7199399828910827,0.0017102365631809602,0.0005408242877350297,0.7187165533547375,0.721163412427428,10
