mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5335699856281281,0.005516849469626168,0.00174458098323106,0.5296234692607329,0.5375165019955233,10
non-shuffled,0.1,0.6130299866199493,0.00443422390849696,0.0014022247206024452,0.6098579339243074,0.6162020393155913,10
non-shuffled,0.2,0.6705999791622161,0.0035559044728672973,0.001124475727624107,0.6680562383405156,0.6731437199839166,10
non-shuffled,0.3,0.6952799797058106,0.0028389294330689275,0.0008977483124988352,0.6932491319302512,0.69731082748137,10
non-shuffled,0.4,0.7103899836540222,0.0021850215340018454,0.0006909644783960878,0.7088269134099408,0.7119530538981036,10
non-shuffled,0.5,0.7190899789333344,0.0016828847050300699,0.0005321748707355642,0.717886115737609,0.7202938421290598,10
shuffled,0.05,0.5353299856185914,0.005462814179322244,0.0017274935240921792,0.5314221237692821,0.5392378474679006,10
shuffled,0.1,0.617989981174469,0.0026354162005971316,0.0008333917776394137,0.6161047179952183,0.6198752443537198,10
shuffled,0.2,0.6713999748229981,0.0027374010483896317,0.0008656422182244033,0.6694417560785728,0.6733581935674233,10
shuffled,0.3,0.696069985628128,0.0019567749834552986,0.000618786581615704,0.6946701931302481,0.697469778126008,10
shuffled,0.4,0.7091999828815461,0.0016076197344554394,0.0005083739972314258,0.7080499610023002,0.7103500047607919,10
shuffled,0.5,0.7190099954605103,0.0018247900169432606,0.0005770492705077951,0.7177046193199114,0.7203153716011091,10
