mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.5389999747276306,0.9622955322265625
non-shuffled,0,0.1,0.6337999701499939,0.7490425109863281
non-shuffled,0,0.2,0.7023999691009521,1.11503267288208
non-shuffled,0,0.3,0.7288999557495117,1.7975847721099854
non-shuffled,0,0.4,0.7468999624252319,1.1467373371124268
non-shuffled,0,0.5,0.7547000050544739,1.2464709281921387
non-shuffled,1,0.05,0.5335000157356262,0.6929903030395508
non-shuffled,1,0.1,0.6451999545097351,0.7413754463195801
non-shuffled,1,0.2,0.7045999765396118,0.8499081134796143
non-shuffled,1,0.3,0.7313999533653259,0.9702050685882568
non-shuffled,1,0.4,0.7458999752998352,1.1042723655700684
non-shuffled,1,0.5,0.7550999522209167,1.2692506313323975
non-shuffled,2,0.05,0.5406000018119812,0.7208855152130127
non-shuffled,2,0.1,0.633899986743927,0.7145345211029053
non-shuffled,2,0.2,0.702299952507019,0.827232837677002
non-shuffled,2,0.3,0.729200005531311,1.0052623748779297
non-shuffled,2,0.4,0.7484999895095825,1.0823974609375
non-shuffled,2,0.5,0.7581999897956848,1.6285805702209473
non-shuffled,3,0.05,0.536899983882904,0.6366314888000488
non-shuffled,3,0.1,0.6333000063896179,0.7362186908721924
non-shuffled,3,0.2,0.6995999813079834,0.8347527980804443
non-shuffled,3,0.3,0.7297999858856201,0.9363951683044434
non-shuffled,3,0.4,0.7472999691963196,1.0738041400909424
non-shuffled,3,0.5,0.7577999830245972,1.2080037593841553
non-shuffled,4,0.05,0.5449999570846558,0.6497972011566162
non-shuffled,4,0.1,0.6381999850273132,0.6688358783721924
non-shuffled,4,0.2,0.6965000033378601,0.8269376754760742
non-shuffled,4,0.3,0.729699969291687,0.9357075691223145
non-shuffled,4,0.4,0.746999979019165,1.0661427974700928
non-shuffled,4,0.5,0.7558000087738037,1.1740081310272217
non-shuffled,5,0.05,0.5406999588012695,0.6558041572570801
non-shuffled,5,0.1,0.632099986076355,0.710174560546875
non-shuffled,5,0.2,0.7040999531745911,0.8546617031097412
non-shuffled,5,0.3,0.7312999963760376,1.5420756340026855
non-shuffled,5,0.4,0.7465999722480774,1.1104140281677246
non-shuffled,5,0.5,0.7540000081062317,1.1985478401184082
non-shuffled,6,0.05,0.5411999821662903,0.6060333251953125
non-shuffled,6,0.1,0.6351000070571899,0.688774824142456
non-shuffled,6,0.2,0.7044999599456787,0.8599667549133301
non-shuffled,6,0.3,0.729200005531311,0.9451568126678467
non-shuffled,6,0.4,0.7468000054359436,1.0691587924957275
non-shuffled,6,0.5,0.7555999755859375,1.2032511234283447
non-shuffled,7,0.05,0.5331999659538269,0.647759199142456
non-shuffled,7,0.1,0.6312999725341797,0.7477099895477295
non-shuffled,7,0.2,0.7059999704360962,0.8470985889434814
non-shuffled,7,0.3,0.73089998960495,0.9251477718353271
non-shuffled,7,0.4,0.7453999519348145,1.0750527381896973
non-shuffled,7,0.5,0.7565000057220459,1.204749345779419
non-shuffled,8,0.05,0.5374999642372131,1.1202354431152344
non-shuffled,8,0.1,0.6340999603271484,0.7566025257110596
non-shuffled,8,0.2,0.702299952507019,0.8563599586486816
non-shuffled,8,0.3,0.7322999835014343,0.9487748146057129
non-shuffled,8,0.4,0.7457000017166138,1.059737205505371
non-shuffled,8,0.5,0.755899965763092,1.2395014762878418
non-shuffled,9,0.05,0.538599967956543,0.7068979740142822
non-shuffled,9,0.1,0.6348999738693237,0.799638032913208
non-shuffled,9,0.2,0.7037999629974365,0.9117691516876221
non-shuffled,9,0.3,0.7317000031471252,0.9915022850036621
non-shuffled,9,0.4,0.7484999895095825,1.146911859512329
non-shuffled,9,0.5,0.7556999921798706,1.262622356414795
shuffled,0,0.05,0.5295999646186829,1.0929508209228516
shuffled,0,0.1,0.6383000016212463,0.7613539695739746
shuffled,0,0.2,0.7062000036239624,0.910559892654419
shuffled,0,0.3,0.7304999828338623,1.03355073928833
shuffled,0,0.4,0.7448999881744385,1.1303937435150146
shuffled,0,0.5,0.7545999884605408,1.2482311725616455
shuffled,1,0.05,0.5177000164985657,0.6766576766967773
shuffled,1,0.1,0.6352999806404114,0.7327053546905518
shuffled,1,0.2,0.7062999606132507,0.8871910572052002
shuffled,1,0.3,0.7307999730110168,1.0051054954528809
shuffled,1,0.4,0.7468000054359436,2.0209741592407227
shuffled,1,0.5,0.7577999830245972,1.262230634689331
shuffled,2,0.05,0.524399995803833,0.6531319618225098
shuffled,2,0.1,0.6377999782562256,0.727545976638794
shuffled,2,0.2,0.7001000046730042,0.9066581726074219
shuffled,2,0.3,0.73089998960495,1.0048816204071045
shuffled,2,0.4,0.748699963092804,1.0900354385375977
shuffled,2,0.5,0.7561999559402466,1.2519419193267822
shuffled,3,0.05,0.5336999893188477,0.6583631038665771
shuffled,3,0.1,0.6360999941825867,0.7633826732635498
shuffled,3,0.2,0.7087999582290649,0.877704381942749
shuffled,3,0.3,0.7318999767303467,0.983513355255127
shuffled,3,0.4,0.7484999895095825,1.1144022941589355
shuffled,3,0.5,0.7543999552726746,1.281534194946289
shuffled,4,0.05,0.5271999835968018,0.7380921840667725
shuffled,4,0.1,0.630899965763092,0.7559881210327148
shuffled,4,0.2,0.7044000029563904,0.8844501972198486
shuffled,4,0.3,0.7301999926567078,1.0120563507080078
shuffled,4,0.4,0.7466999888420105,1.106358528137207
shuffled,4,0.5,0.7587999701499939,1.2366604804992676
shuffled,5,0.05,0.5198999643325806,0.6698377132415771
shuffled,5,0.1,0.6370999813079834,0.793358325958252
shuffled,5,0.2,0.702299952507019,0.8883097171783447
shuffled,5,0.3,0.7304999828338623,1.0114226341247559
shuffled,5,0.4,0.7462999820709229,1.1404526233673096
shuffled,5,0.5,0.7556999921798706,1.2882657051086426
shuffled,6,0.05,0.5331000089645386,0.664724588394165
shuffled,6,0.1,0.6342999935150146,0.6930654048919678
shuffled,6,0.2,0.7046999931335449,0.8645792007446289
shuffled,6,0.3,0.729699969291687,1.5250773429870605
shuffled,6,0.4,0.7457999587059021,1.0896246433258057
shuffled,6,0.5,0.7538999915122986,1.2592568397521973
shuffled,7,0.05,0.5189999938011169,0.6803059577941895
shuffled,7,0.1,0.6292999982833862,0.7892329692840576
shuffled,7,0.2,0.6977999806404114,0.8548357486724854
shuffled,7,0.3,0.7299999594688416,1.0085694789886475
shuffled,7,0.4,0.745199978351593,1.153108835220337
shuffled,7,0.5,0.7584999799728394,1.238767385482788
shuffled,8,0.05,0.5160999894142151,0.6267678737640381
shuffled,8,0.1,0.6395999789237976,0.7273461818695068
shuffled,8,0.2,0.7078999876976013,0.8804945945739746
shuffled,8,0.3,0.7304999828338623,0.9943723678588867
shuffled,8,0.4,0.7475000023841858,1.0948104858398438
shuffled,8,0.5,0.7573999762535095,1.2485666275024414
shuffled,9,0.05,0.5220999717712402,0.6955292224884033
shuffled,9,0.1,0.63919997215271,0.752678632736206
shuffled,9,0.2,0.7062000036239624,0.8595724105834961
shuffled,9,0.3,0.7294999957084656,0.9750285148620605
shuffled,9,0.4,0.7454999685287476,1.0955355167388916
shuffled,9,0.5,0.7577999830245972,1.1649889945983887
