mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5308799803256988,0.007347525957780337,0.0023234917193796036,0.5256238768898721,0.5361360837615256,10
non-shuffled,0.1,0.6293599843978882,0.006666700448096062,0.0021081957894048702,0.6245909141921872,0.6341290546035893,10
non-shuffled,0.2,0.7037799835205079,0.0028432344064217062,0.0008991096646049463,0.7017460561525304,0.7058139108884853,10
non-shuffled,0.3,0.7302099823951721,0.002063142066916522,0.0006524228067963732,0.7287340994695684,0.7316858653207758,10
non-shuffled,0.4,0.7470399796962738,0.001580581305170885,0.000499823695142167,0.7459092999441437,0.7481706594484039,10
non-shuffled,0.5,0.7570699751377106,0.0012623196923567,0.00039918053631302135,0.7561669660282181,0.757972984247203,10
shuffled,0.05,0.5238499939441681,0.0056326921622281475,0.0017812136591219595,0.5198206087066118,0.5278793791817243,10
shuffled,0.1,0.635289990901947,0.002857912456309467,0.0009037512715304366,0.6332455634896159,0.6373344183142782,10
shuffled,0.2,0.7051799774169922,0.0017319207318261085,0.0005476814239436174,0.703941035960856,0.7064189188731285,10
shuffled,0.3,0.7311899781227111,0.002314904749082541,0.0007320371573441406,0.7295339950237497,0.7328459612216726,10
shuffled,0.4,0.7469299793243408,0.001243697852601474,0.0003932917935281027,0.7460402914765195,0.7478196671721621,10
shuffled,0.5,0.7565699815750122,0.00117002700831292,0.0003699950270181589,0.7557329946744227,0.7574069684756017,10
