mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5188199877738953,0.006810894840659992,0.0021537940600375163,0.5139477671136687,0.5236922084341218,10
non-shuffled,0.1,0.6309899866580964,0.0029183145033053305,0.0009228520759147826,0.628902350224311,0.6330776230918818,10
non-shuffled,0.2,0.7030499875545502,0.0022232287194439426,0.0007030466512942333,0.7014595855365043,0.704640389572596,10
non-shuffled,0.3,0.7291799783706665,0.0019263014960789271,0.0006091500187799317,0.7278019852924308,0.7305579714489022,10
non-shuffled,0.4,0.7462399721145629,0.001579171995113907,0.0004993780321712237,0.7451103005221148,0.7473696437070111,10
non-shuffled,0.5,0.755959975719452,0.0016853609110650339,0.0005329579158381983,0.7547543411526387,0.7571656102862652,10
shuffled,0.05,0.5274599909782409,0.007324411809374928,0.002316182383865979,0.5222204224081021,0.5326995595483798,10
shuffled,0.1,0.6354499876499176,0.004823141160224449,0.001525211154281637,0.6319997203123944,0.6389002549874407,10
shuffled,0.2,0.7042999863624573,0.001661328577950033,0.0005253582248250691,0.7031115434911049,0.7054884292338096,10
shuffled,0.3,0.7321199834346771,0.0017737549854258176,0.0005609105765024352,0.7308511155563215,0.7333888513130327,10
shuffled,0.4,0.7469799816608429,0.0017248574308972226,0.0005454478120701711,0.7457460929858053,0.7482138703358805,10
shuffled,0.5,0.7560799837112426,0.0028490840039754575,0.0009009594697714667,0.7540418717932579,0.7581180956292274,10
