mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.520059984922409,0.008177634878410644,0.002585995208901174,0.5142100573374868,0.5259099125073312,10
non-shuffled,0.1,0.6182899832725525,0.003991225791257731,0.0012621364156382186,0.6154348323394174,0.6211451342056875,10
non-shuffled,0.2,0.6896399855613708,0.004108839163793764,0.0012993290296889942,0.6867006990899557,0.692579272032786,10
non-shuffled,0.3,0.7204799830913544,0.003943994206524226,0.0012472004771125072,0.7176586195985393,0.7233013465841696,10
non-shuffled,0.4,0.7378499805927277,0.005220532482495646,0.001650877324357935,0.7341154366284379,0.7415845245570174,10
non-shuffled,0.5,0.7502999782562256,0.0038401331822206183,0.0012143567374207568,0.7475529124644091,0.7530470440480421,10
shuffled,0.05,0.4661999881267548,0.009118598699679879,0.002883554096003811,0.45967693557400247,0.4727230406795071,10
shuffled,0.1,0.5853699862957,0.009934560707165557,0.0031415839387856216,0.5782632296858687,0.5924767429055313,10
shuffled,0.2,0.6745599806308746,0.005049352470063774,0.0015967454514398698,0.6709478914706453,0.678172069791104,10
shuffled,0.3,0.7138699889183044,0.0036466172710201213,0.0011531616331331108,0.7112613560699839,0.716478621766625,10
shuffled,0.4,0.7350499868392945,0.002414421675643834,0.0007635071727114802,0.7333228136196547,0.7367771600589342,10
shuffled,0.5,0.7509499728679657,0.0012483332586518212,0.00039475763762798495,0.7500569690504142,0.7518429766855173,10
