mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.2976999878883362,1.0140748023986816
non-shuffled,0,0.1,0.39739999175071716,0.8279144763946533
non-shuffled,0,0.2,0.47939997911453247,0.8535082340240479
non-shuffled,0,0.3,0.5192999839782715,0.9379925727844238
non-shuffled,0,0.4,0.5504999756813049,1.063281774520874
non-shuffled,0,0.5,0.5672999620437622,1.2238357067108154
non-shuffled,1,0.05,0.3010999858379364,0.6880710124969482
non-shuffled,1,0.1,0.38999998569488525,0.7470345497131348
non-shuffled,1,0.2,0.47669997811317444,0.8928370475769043
non-shuffled,1,0.3,0.5187999606132507,1.0032703876495361
non-shuffled,1,0.4,0.5507999658584595,1.1323521137237549
non-shuffled,1,0.5,0.5667999982833862,1.2395086288452148
non-shuffled,2,0.05,0.30149999260902405,0.6799466609954834
non-shuffled,2,0.1,0.3869999945163727,0.7125198841094971
non-shuffled,2,0.2,0.47699999809265137,1.4090478420257568
non-shuffled,2,0.3,0.5151000022888184,0.9708631038665771
non-shuffled,2,0.4,0.5500999689102173,1.099735975265503
non-shuffled,2,0.5,0.569599986076355,1.182009220123291
non-shuffled,3,0.05,0.3000999987125397,0.6356134414672852
non-shuffled,3,0.1,0.3935000002384186,0.7287793159484863
non-shuffled,3,0.2,0.4699999988079071,0.8382678031921387
non-shuffled,3,0.3,0.5167999863624573,0.9510061740875244
non-shuffled,3,0.4,0.5425999760627747,1.092782974243164
non-shuffled,3,0.5,0.564300000667572,1.2401223182678223
non-shuffled,4,0.05,0.30329999327659607,0.6889750957489014
non-shuffled,4,0.1,0.3862999975681305,0.7757594585418701
non-shuffled,4,0.2,0.4756999909877777,0.8865878582000732
non-shuffled,4,0.3,0.5133000016212463,1.008286714553833
non-shuffled,4,0.4,0.5482000112533569,1.1186208724975586
non-shuffled,4,0.5,0.5625,1.6845545768737793
non-shuffled,5,0.05,0.29789999127388,0.6904280185699463
non-shuffled,5,0.1,0.39649999141693115,0.8171625137329102
non-shuffled,5,0.2,0.47699999809265137,0.8780562877655029
non-shuffled,5,0.3,0.5091999769210815,0.9689781665802002
non-shuffled,5,0.4,0.5461999773979187,1.166654109954834
non-shuffled,5,0.5,0.5655999779701233,1.2702445983886719
non-shuffled,6,0.05,0.30390000343322754,0.675652265548706
non-shuffled,6,0.1,0.3911999762058258,0.7379825115203857
non-shuffled,6,0.2,0.4723999798297882,0.967902421951294
non-shuffled,6,0.3,0.5148999691009521,0.9343876838684082
non-shuffled,6,0.4,0.5467000007629395,1.2270972728729248
non-shuffled,6,0.5,0.5708000063896179,1.2245838642120361
non-shuffled,7,0.05,0.3019999861717224,0.7113416194915771
non-shuffled,7,0.1,0.39089998602867126,0.7307262420654297
non-shuffled,7,0.2,0.47540000081062317,1.3754589557647705
non-shuffled,7,0.3,0.51910001039505,0.9852447509765625
non-shuffled,7,0.4,0.5479999780654907,1.0562071800231934
non-shuffled,7,0.5,0.568399965763092,1.1874127388000488
non-shuffled,8,0.05,0.2922999858856201,0.6303410530090332
non-shuffled,8,0.1,0.39159998297691345,0.7099220752716064
non-shuffled,8,0.2,0.469899982213974,0.8430526256561279
non-shuffled,8,0.3,0.5192999839782715,0.9737489223480225
non-shuffled,8,0.4,0.5461999773979187,1.0959219932556152
non-shuffled,8,0.5,0.5708999633789062,1.1814556121826172
non-shuffled,9,0.05,0.30309998989105225,0.7146725654602051
non-shuffled,9,0.1,0.39249998331069946,0.7592966556549072
non-shuffled,9,0.2,0.4777999818325043,0.9282715320587158
non-shuffled,9,0.3,0.5214999914169312,1.0491578578948975
