mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.31119999289512634,0.8920285701751709
non-shuffled,0,0.1,0.38279998302459717,0.7600967884063721
non-shuffled,0,0.2,0.4700999855995178,0.8797411918640137
non-shuffled,0,0.3,0.5210999846458435,0.9235389232635498
non-shuffled,0,0.4,0.5437999963760376,1.0539779663085938
non-shuffled,0,0.5,0.5683000087738037,1.1758038997650146
non-shuffled,1,0.05,0.2994999885559082,0.574246883392334
non-shuffled,1,0.1,0.38359999656677246,0.7634422779083252
non-shuffled,1,0.2,0.47419998049736023,0.8212733268737793
non-shuffled,1,0.3,0.5169999599456787,0.9169974327087402
non-shuffled,1,0.4,0.5525000095367432,1.0664010047912598
non-shuffled,1,0.5,0.5684999823570251,1.1883349418640137
non-shuffled,2,0.05,0.3012000024318695,0.65895676612854
non-shuffled,2,0.1,0.3849000036716461,0.648568868637085
non-shuffled,2,0.2,0.4790000021457672,1.399301528930664
non-shuffled,2,0.3,0.5185999870300293,0.9517662525177002
non-shuffled,2,0.4,0.5465999841690063,1.0823674201965332
non-shuffled,2,0.5,0.571399986743927,1.1876678466796875
non-shuffled,3,0.05,0.30379998683929443,0.6372709274291992
non-shuffled,3,0.1,0.39659997820854187,0.6771049499511719
non-shuffled,3,0.2,0.47099998593330383,0.8530800342559814
non-shuffled,3,0.3,0.5182999968528748,0.9584848880767822
non-shuffled,3,0.4,0.5446000099182129,1.1023199558258057
non-shuffled,3,0.5,0.5676999688148499,1.1654407978057861
non-shuffled,4,0.05,0.30799999833106995,0.6193149089813232
non-shuffled,4,0.1,0.3895999789237976,0.6852219104766846
non-shuffled,4,0.2,0.47189998626708984,0.8331453800201416
non-shuffled,4,0.3,0.5134999752044678,0.9604556560516357
non-shuffled,4,0.4,0.5446000099182129,1.0843918323516846
non-shuffled,4,0.5,0.573199987411499,1.7160155773162842
non-shuffled,5,0.05,0.3025999963283539,0.62542724609375
non-shuffled,5,0.1,0.3865000009536743,0.7028286457061768
non-shuffled,5,0.2,0.47419998049736023,0.8556685447692871
non-shuffled,5,0.3,0.5146999955177307,0.9607865810394287
non-shuffled,5,0.4,0.5449000000953674,1.069138526916504
non-shuffled,5,0.5,0.5705999732017517,1.2145581245422363
non-shuffled,6,0.05,0.310699999332428,0.6398630142211914
non-shuffled,6,0.1,0.39890000224113464,0.7073209285736084
non-shuffled,6,0.2,0.46789997816085815,0.8572657108306885
non-shuffled,6,0.3,0.5234999656677246,0.9190077781677246
non-shuffled,6,0.4,0.5482999682426453,1.0799739360809326
non-shuffled,6,0.5,0.5726999640464783,1.19449782371521
non-shuffled,7,0.05,0.29499998688697815,0.6029300689697266
non-shuffled,7,0.1,0.39890000224113464,0.7287793159484863
non-shuffled,7,0.2,0.4705999791622162,0.8416483402252197
non-shuffled,7,0.3,0.5277999639511108,1.537017822265625
non-shuffled,7,0.4,0.5480999946594238,1.130211353302002
non-shuffled,7,0.5,0.5669999718666077,1.16325044631958
non-shuffled,8,0.05,0.3109999895095825,0.5858283042907715
non-shuffled,8,0.1,0.3874000012874603,0.7040534019470215
non-shuffled,8,0.2,0.4721999764442444,0.8332011699676514
non-shuffled,8,0.3,0.5169000029563904,0.9648005962371826
non-shuffled,8,0.4,0.551800012588501,1.0758841037750244
non-shuffled,8,0.5,0.5701999664306641,1.1730177402496338
non-shuffled,9,0.05,0.29749998450279236,0.6316993236541748
non-shuffled,9,0.1,0.38839998841285706,0.7023811340332031
non-shuffled,9,0.2,0.4675000011920929,0.8416249752044678
non-shuffled,9,0.3,0.5138999819755554,0.9318835735321045
non-shuffled,9,0.4,0.548799991607666,1.0785062313079834
non-shuffled,9,0.5,0.5710999965667725,1.2478878498077393
shuffled,0,0.05,0.30069997906684875,0.8432431221008301
shuffled,0,0.1,0.3823999762535095,0.708920955657959
shuffled,0,0.2,0.4748999774456024,0.8601980209350586
shuffled,0,0.3,0.5202999711036682,0.9878969192504883
shuffled,0,0.4,0.5478000044822693,1.0799696445465088
shuffled,0,0.5,0.5630999803543091,1.1760656833648682
shuffled,1,0.05,0.3000999987125397,0.6076397895812988
shuffled,1,0.1,0.38830000162124634,0.7634017467498779
shuffled,1,0.2,0.47110000252723694,0.8655264377593994
shuffled,1,0.3,0.5110999941825867,1.0198636054992676
shuffled,1,0.4,0.5453999638557434,2.005737543106079
shuffled,1,0.5,0.5643999576568604,1.2543394565582275
shuffled,2,0.05,0.3021000027656555,0.6876959800720215
shuffled,2,0.1,0.3889999985694885,0.772707462310791
shuffled,2,0.2,0.46949997544288635,0.8284623622894287
shuffled,2,0.3,0.5157999992370605,0.9564712047576904
shuffled,2,0.4,0.5435999631881714,1.0640108585357666
shuffled,2,0.5,0.5637999773025513,1.161694049835205
shuffled,3,0.05,0.29809999465942383,0.6359462738037109
shuffled,3,0.1,0.38830000162124634,0.7326462268829346
