mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.29939999878406526,0.004722520488497685,0.001493392104046369,0.296021711138947,0.30277828642918353,10
non-shuffled,0.1,0.3905599921941757,0.0036225245576972645,0.0011455428482217399,0.3879685942347146,0.3931513901536368,10
non-shuffled,0.2,0.473269984126091,0.0049164293523917225,0.0015547114708864436,0.4697529824360538,0.4767869858161282,10
non-shuffled,0.3,0.5177099823951721,0.005038174850566406,0.0015932107777968307,0.5141058892222427,0.5213140755681015,10
non-shuffled,0.4,0.5456199824810029,0.0036245494732928037,0.0011461831827568898,0.5430271359841864,0.5482128289778193,10
non-shuffled,0.5,0.5670399844646454,0.0033810573476517245,0.00106918421182272,0.5646213217414602,0.5694586471878307,10
shuffled,0.05,0.2995599925518036,0.00473642757053451,0.0014977899095306871,0.29617175637950816,0.30294822872409904,10
shuffled,0.1,0.38794998824596405,0.0052555246618053554,0.0016619428230491052,0.38419041238454954,0.39170956410737856,10
shuffled,0.2,0.4727399855852127,0.0034367940643589287,0.0010868097092321526,0.4702814512168138,0.47519851995361156,10
shuffled,0.3,0.5149699926376343,0.0028886915519207705,0.0009134844761756178,0.5129035471866976,0.517036438088571,10
shuffled,0.4,0.5446499884128571,0.0017658798892369544,0.0005584202524274633,0.5433867540389454,0.5459132227867687,10
shuffled,0.5,0.5649499833583832,0.0019811589183496344,0.0006264974588740398,0.5635327476442814,0.566367219072485,10
