mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8775999546051025,0.7406911849975586
non-shuffled,0,0.1,0.9023999571800232,0.7608890533447266
non-shuffled,0,0.2,0.9149999618530273,0.9130206108093262
non-shuffled,0,0.3,0.9244999885559082,1.02885103225708
non-shuffled,0,0.4,0.9309999942779541,1.355687141418457
non-shuffled,0,0.5,0.932699978351593,1.4987876415252686
non-shuffled,1,0.05,0.8774999976158142,0.6950018405914307
non-shuffled,1,0.1,0.9012999534606934,0.7493462562561035
non-shuffled,1,0.2,0.9185999631881714,0.8779900074005127
non-shuffled,1,0.3,0.9220999479293823,1.0037429332733154
non-shuffled,1,0.4,0.9280999898910522,1.2269558906555176
non-shuffled,1,0.5,0.9341999888420105,1.4815480709075928
non-shuffled,2,0.05,0.8714999556541443,0.6066291332244873
non-shuffled,2,0.1,0.901199996471405,0.7887792587280273
non-shuffled,2,0.2,0.913100004196167,0.9626402854919434
non-shuffled,2,0.3,0.9253000020980835,1.1454052925109863
non-shuffled,2,0.4,0.9274999499320984,1.5671350955963135
non-shuffled,2,0.5,0.9327999949455261,1.476780891418457
non-shuffled,3,0.05,0.8744999766349792,0.596595287322998
non-shuffled,3,0.1,0.9025999903678894,0.6806466579437256
non-shuffled,3,0.2,0.9157999753952026,0.8403642177581787
non-shuffled,3,0.3,0.9229999780654907,0.9845633506774902
non-shuffled,3,0.4,0.927899956703186,1.2140915393829346
non-shuffled,3,0.5,0.9332999587059021,1.382551670074463
non-shuffled,4,0.05,0.8743000030517578,0.5922095775604248
non-shuffled,4,0.1,0.9007999897003174,0.679797887802124
non-shuffled,4,0.2,0.9192000031471252,0.8005335330963135
non-shuffled,4,0.3,0.9269999861717224,0.9693429470062256
non-shuffled,4,0.4,0.9317999482154846,1.2145192623138428
non-shuffled,4,0.5,0.933899998664856,1.3730742931365967
non-shuffled,5,0.05,0.8744999766349792,0.6451742649078369
non-shuffled,5,0.1,0.9032999873161316,0.700859546661377
non-shuffled,5,0.2,0.9080999493598938,0.8271524906158447
non-shuffled,5,0.3,0.9212999939918518,0.9610071182250977
non-shuffled,5,0.4,0.9287999868392944,1.2202837467193604
non-shuffled,5,0.5,0.9332999587059021,1.3734354972839355
non-shuffled,6,0.05,0.875,0.606757402420044
non-shuffled,6,0.1,0.899899959564209,0.6407332420349121
non-shuffled,6,0.2,0.9182999730110168,0.8227002620697021
non-shuffled,6,0.3,0.9199000000953674,0.967210054397583
non-shuffled,6,0.4,0.929099977016449,1.2383148670196533
non-shuffled,6,0.5,0.933899998664856,1.3715381622314453
non-shuffled,7,0.05,0.8757999539375305,0.5385696887969971
non-shuffled,7,0.1,0.9041000008583069,0.6522278785705566
non-shuffled,7,0.2,0.9134999513626099,0.8227715492248535
non-shuffled,7,0.3,0.9232999682426453,0.9904870986938477
non-shuffled,7,0.4,0.9284999966621399,1.269045114517212
non-shuffled,7,0.5,0.9318999648094177,1.3931477069854736
non-shuffled,8,0.05,0.8732999563217163,0.5785925388336182
non-shuffled,8,0.1,0.8989999890327454,0.7172980308532715
non-shuffled,8,0.2,0.9197999835014343,0.8334364891052246
non-shuffled,8,0.3,0.9233999848365784,0.9890789985656738
non-shuffled,8,0.4,0.9299999475479126,1.2144103050231934
non-shuffled,8,0.5,0.9329999685287476,1.3976337909698486
non-shuffled,9,0.05,0.8783999681472778,0.6536877155303955
non-shuffled,9,0.1,0.9027000069618225,0.6714873313903809
non-shuffled,9,0.2,0.9168999791145325,0.8407437801361084
non-shuffled,9,0.3,0.9226999878883362,0.9890124797821045
non-shuffled,9,0.4,0.9287999868392944,1.2477421760559082
non-shuffled,9,0.5,0.9328999519348145,1.378664255142212
shuffled,0,0.05,0.8423999547958374,1.0388641357421875
shuffled,0,0.1,0.886199951171875,0.734611988067627
shuffled,0,0.2,0.914199948310852,0.876549243927002
shuffled,0,0.3,0.9233999848365784,0.9898326396942139
shuffled,0,0.4,0.9332000017166138,1.2450330257415771
shuffled,0,0.5,0.9346999526023865,1.372178554534912
shuffled,1,0.05,0.8445999622344971,0.640761137008667
shuffled,1,0.1,0.8871999979019165,0.7012045383453369
shuffled,1,0.2,0.9145999550819397,0.8882944583892822
shuffled,1,0.3,0.9271000027656555,0.9675643444061279
shuffled,1,0.4,0.9322999715805054,1.2556829452514648
shuffled,1,0.5,0.9352999925613403,1.3759679794311523
shuffled,2,0.05,0.8429999947547913,0.5874843597412109
shuffled,2,0.1,0.8833999633789062,0.6553010940551758
shuffled,2,0.2,0.9092999696731567,0.8419742584228516
shuffled,2,0.3,0.9225999712944031,0.9630281925201416
shuffled,2,0.4,0.9300999641418457,1.2159903049468994
shuffled,2,0.5,0.9334999918937683,1.3562259674072266
shuffled,3,0.05,0.8346999883651733,0.6035070419311523
shuffled,3,0.1,0.8876000046730042,0.6656215190887451
shuffled,3,0.2,0.9106999635696411,0.8666715621948242
shuffled,3,0.3,0.9266999959945679,0.9746243953704834
shuffled,3,0.4,0.9311999678611755,1.2086405754089355
shuffled,3,0.5,0.936199963092804,1.385552167892456
