mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8752399742603302,0.002128225308296037,0.0006730039348229518,0.8737175335885414,0.8767624149321189,10
non-shuffled,0.1,0.9017299830913543,0.001576253448647873,0.0004984551067422535,0.9006023993012762,0.9028575668814325,10
non-shuffled,0.2,0.9158299744129181,0.0035802166243234655,0.0011321639049661541,0.913268841725774,0.9183911071000622,10
non-shuffled,0.3,0.9232499837875366,0.0020156343198634327,0.0006373995380772818,0.9218080858568752,0.924691881718198,10
non-shuffled,0.4,0.9291499733924866,0.0013834311195625676,0.00043747933237744377,0.9281603263871484,0.9301396203978248,10
non-shuffled,0.5,0.9331899762153626,0.0006854934385842026,0.00021677205870268288,0.9326996037500617,0.9336803486806635,10
shuffled,0.05,0.8411299824714661,0.006838133154230363,0.0021624075710879407,0.8362382766955195,0.8460216882474126,10
shuffled,0.1,0.8849299788475037,0.002944324455303357,0.0009310771449293237,0.882823736014932,0.8870362216800753,10
shuffled,0.2,0.9131299674510955,0.0025042380488712306,0.0007919096037689142,0.9113385434685968,0.9149213914335943,10
shuffled,0.3,0.9240999817848206,0.0019413671855225557,0.0006139142080961939,0.9227112113615978,0.9254887522080433,10
shuffled,0.4,0.9312999725341797,0.0010088569607067208,0.00031902858291482314,0.9305782797401838,0.9320216653281757,10
shuffled,0.5,0.9348899841308593,0.0008646728652236462,0.000273433568505052,0.9342714344253009,0.9355085338364177,10
