mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8180999755859375,0.8140571117401123
non-shuffled,0,0.1,0.8727999925613403,0.8376922607421875
non-shuffled,0,0.2,0.9068999886512756,0.997413158416748
non-shuffled,0,0.3,0.9231999516487122,0.9920122623443604
non-shuffled,0,0.4,0.9298999905586243,1.2459216117858887
non-shuffled,0,0.5,0.9330999851226807,1.3714346885681152
non-shuffled,1,0.05,0.8173999786376953,0.631141185760498
non-shuffled,1,0.1,0.8949999809265137,0.6298651695251465
non-shuffled,1,0.2,0.9102999567985535,0.8400847911834717
non-shuffled,1,0.3,0.9235999584197998,1.03004789352417
non-shuffled,1,0.4,0.9293999671936035,1.187598466873169
non-shuffled,1,0.5,0.935699999332428,1.3468921184539795
non-shuffled,2,0.05,0.8097999691963196,0.5975964069366455
non-shuffled,2,0.1,0.8693000078201294,0.6510212421417236
non-shuffled,2,0.2,0.914900004863739,0.8225209712982178
non-shuffled,2,0.3,0.9215999841690063,0.9666781425476074
non-shuffled,2,0.4,0.9297999739646912,1.2327804565429688
non-shuffled,2,0.5,0.9347999691963196,1.43705153465271
non-shuffled,3,0.05,0.8079999685287476,0.6275508403778076
non-shuffled,3,0.1,0.8702999949455261,0.6708674430847168
non-shuffled,3,0.2,0.9104999899864197,0.7924373149871826
non-shuffled,3,0.3,0.9221999645233154,0.9820551872253418
non-shuffled,3,0.4,0.9274999499320984,1.19929838180542
non-shuffled,3,0.5,0.9312999844551086,1.3689301013946533
non-shuffled,4,0.05,0.8163999915122986,0.5778956413269043
non-shuffled,4,0.1,0.8910999894142151,0.6602451801300049
non-shuffled,4,0.2,0.9113999605178833,0.8210563659667969
non-shuffled,4,0.3,0.923799991607666,0.952751874923706
non-shuffled,4,0.4,0.930899977684021,1.244490385055542
non-shuffled,4,0.5,0.9350999593734741,1.3731930255889893
non-shuffled,5,0.05,0.8224999904632568,0.5983104705810547
non-shuffled,5,0.1,0.8974999785423279,0.6706788539886475
non-shuffled,5,0.2,0.9106999635696411,0.8575994968414307
non-shuffled,5,0.3,0.9243999719619751,0.9721598625183105
non-shuffled,5,0.4,0.9315999746322632,1.2105505466461182
non-shuffled,5,0.5,0.9346999526023865,1.3781764507293701
non-shuffled,6,0.05,0.8132999539375305,0.5443518161773682
non-shuffled,6,0.1,0.8686999678611755,0.6772518157958984
non-shuffled,6,0.2,0.9088999629020691,0.8319604396820068
non-shuffled,6,0.3,0.9228999614715576,0.9226400852203369
non-shuffled,6,0.4,0.9296999573707581,1.2115740776062012
non-shuffled,6,0.5,0.9330999851226807,1.352144479751587
non-shuffled,7,0.05,0.8179000020027161,0.5753984451293945
non-shuffled,7,0.1,0.8720999956130981,0.6358675956726074
non-shuffled,7,0.2,0.9086999893188477,0.804715633392334
non-shuffled,7,0.3,0.9226999878883362,0.9738235473632812
non-shuffled,7,0.4,0.929099977016449,1.2293367385864258
non-shuffled,7,0.5,0.936199963092804,1.4053053855895996
non-shuffled,8,0.05,0.8105999827384949,0.5858349800109863
non-shuffled,8,0.1,0.8664999604225159,0.6046619415283203
non-shuffled,8,0.2,0.9142999649047852,0.8283233642578125
non-shuffled,8,0.3,0.9218999743461609,0.9565885066986084
non-shuffled,8,0.4,0.9284999966621399,1.2221221923828125
non-shuffled,8,0.5,0.9343000054359436,1.358933687210083
non-shuffled,9,0.05,0.8179000020027161,0.6363842487335205
non-shuffled,9,0.1,0.8725999593734741,0.685448169708252
non-shuffled,9,0.2,0.9132999777793884,0.818382978439331
non-shuffled,9,0.3,0.921999990940094,0.9462122917175293
non-shuffled,9,0.4,0.9287999868392944,1.2051365375518799
non-shuffled,9,0.5,0.9343000054359436,1.3941266536712646
shuffled,0,0.05,0.8472999930381775,0.8255431652069092
shuffled,0,0.1,0.8901999592781067,0.6525483131408691
shuffled,0,0.2,0.9129999876022339,0.8498084545135498
shuffled,0,0.3,0.9249999523162842,0.9780726432800293
shuffled,0,0.4,0.9317999482154846,1.2283124923706055
shuffled,0,0.5,0.9361000061035156,1.3734896183013916
shuffled,1,0.05,0.8434000015258789,0.602290153503418
shuffled,1,0.1,0.885699987411499,0.6686232089996338
shuffled,1,0.2,0.9157999753952026,0.8036336898803711
shuffled,1,0.3,0.9264000058174133,0.9489192962646484
shuffled,1,0.4,0.9298999905586243,1.2152678966522217
shuffled,1,0.5,0.9345999956130981,1.3684942722320557
shuffled,2,0.05,0.8407999873161316,0.5881049633026123
shuffled,2,0.1,0.8876000046730042,0.6801202297210693
shuffled,2,0.2,0.911899983882904,0.8306868076324463
shuffled,2,0.3,0.9249999523162842,0.9775500297546387
shuffled,2,0.4,0.9328999519348145,1.1923434734344482
shuffled,2,0.5,0.9335999488830566,1.3742163181304932
shuffled,3,0.05,0.8435999751091003,0.5963692665100098
shuffled,3,0.1,0.8921999931335449,0.6844885349273682
shuffled,3,0.2,0.9145999550819397,0.8466999530792236
shuffled,3,0.3,0.9262999892234802,0.9553961753845215
shuffled,3,0.4,0.9319999814033508,1.2011594772338867
shuffled,3,0.5,0.9369999766349792,1.3692951202392578
shuffled,4,0.05,0.8504999876022339,0.5882663726806641
shuffled,4,0.1,0.8886999487876892,0.6689274311065674
shuffled,4,0.2,0.9151999950408936,0.7945899963378906
shuffled,4,0.3,0.9238999485969543,0.9436936378479004
shuffled,4,0.4,0.9316999912261963,1.2522625923156738
shuffled,4,0.5,0.9357999563217163,1.379957914352417
shuffled,5,0.05,0.840499997138977,0.6302177906036377
shuffled,5,0.1,0.8867999911308289,0.6844384670257568
shuffled,5,0.2,0.9158999919891357,0.8202779293060303
