mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8319999873638153,0.010750294254438153,0.0033995415361046254,0.8243096901274962,0.8396902846001344,10
non-shuffled,0.1,0.8851399719715118,0.006478029464243651,0.0020485327856690234,0.8805058688570692,0.8897740750859545,10
non-shuffled,0.2,0.9107499718666077,0.002253509725694153,0.0007126223462534792,0.9091379081216204,0.9123620356115949,10
non-shuffled,0.3,0.9239099740982055,0.0016629523991745037,0.0005258717221832942,0.9227203696151262,0.9250995785812849,10
non-shuffled,0.4,0.9303699731826782,0.0013182914674512874,0.0004168803657111796,0.9294269242773314,0.931313022088025,10
non-shuffled,0.5,0.9340799748897552,0.0009016092962938531,0.0002851138935870185,0.9334350024531481,0.9347249473263624,10
shuffled,0.05,0.8435699701309204,0.004918230419369197,0.0015552810182731772,0.8400516800351827,0.8470882602266581,10
shuffled,0.1,0.8884199678897857,0.0030785257302309273,0.0009735153142962807,0.8862177232484022,0.8906222125311692,10
shuffled,0.2,0.9151099681854248,0.001708446392219149,0.0005402581859709879,0.91388781926024,0.9163321171106096,10
shuffled,0.3,0.9253299832344055,0.0014735032810926512,0.00046596265079840984,0.9242759024862794,0.9263840639825316,10
shuffled,0.4,0.9315299749374389,0.001367115054454269,0.0004323197395580612,0.9305519997419545,0.9325079501329234,10
shuffled,0.5,0.9349399864673614,0.0015493362864907355,0.0004899431526857889,0.9338316580551219,0.9360483148796009,10
