mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8735999822616577,0.004339223978770962,0.0013721831050534363,0.8704958884218137,0.8767040761015017,10
non-shuffled,0.1,0.9086399734020233,0.002474406432092645,0.0007824760182383516,0.9068698896726038,0.9104100571314427,10
non-shuffled,0.2,0.9290599703788758,0.001211236841485061,0.00038302672050011163,0.9281935037395319,0.9299264370182196,10
non-shuffled,0.3,0.9364199757575988,0.000968166373247776,0.0003061610893447683,0.9357273912563504,0.9371125602588473,10
non-shuffled,0.4,0.9415299713611602,0.0005850890482349224,0.00018502140264424743,0.9411114238698872,0.9419485188524332,10
non-shuffled,0.5,0.944379985332489,0.0009390246880165609,0.00029694567932613523,0.9437082475370229,0.9450517231279552,10
shuffled,0.05,0.8650899827480316,0.0027642384745020896,0.0008741289575295878,0.8631125656654979,0.8670673998305654,10
shuffled,0.1,0.9051499724388122,0.0017958215134361618,0.0005678886253588943,0.9038653191172532,0.9064346257603713,10
shuffled,0.2,0.9292699754238128,0.0008945033515925648,0.0002828667965686909,0.9286300862738214,0.9299098645738043,10
shuffled,0.3,0.9370499789714813,0.001274761455727523,0.0004031149673490868,0.9361380695606389,0.9379618883823237,10
shuffled,0.4,0.9417199850082397,0.0009089676817855005,0.0002874408193925328,0.9410697486997542,0.9423702213167252,10
shuffled,0.5,0.9448299765586853,0.0007958939924442862,0.00025168377921687873,0.9442606282947557,0.9453993248226149,10
