mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8373000025749207,0.7962532043457031
non-shuffled,0,0.1,0.8919000029563904,0.5209877490997314
non-shuffled,0,0.2,0.9244999885559082,0.6721532344818115
non-shuffled,0,0.3,0.9378999471664429,0.809668779373169
non-shuffled,0,0.4,0.9418999552726746,1.0379774570465088
non-shuffled,0,0.5,0.9454999566078186,1.1970481872558594
non-shuffled,1,0.05,0.8472999930381775,0.4237332344055176
non-shuffled,1,0.1,0.8985999822616577,0.48511695861816406
non-shuffled,1,0.2,0.929099977016449,0.6286544799804688
non-shuffled,1,0.3,0.9369999766349792,0.7648401260375977
non-shuffled,1,0.4,0.944599986076355,1.0176653861999512
non-shuffled,1,0.5,0.9470999836921692,1.176539659500122
non-shuffled,2,0.05,0.8463000059127808,0.38820743560791016
non-shuffled,2,0.1,0.895799994468689,0.4534924030303955
non-shuffled,2,0.2,0.927899956703186,0.6139013767242432
non-shuffled,2,0.3,0.9375999569892883,0.7663297653198242
non-shuffled,2,0.4,0.9396999478340149,1.0026130676269531
non-shuffled,2,0.5,0.9452999830245972,1.1926095485687256
non-shuffled,3,0.05,0.8488999605178833,0.4016132354736328
non-shuffled,3,0.1,0.9071999788284302,0.6038000583648682
non-shuffled,3,0.2,0.9274999499320984,0.6219830513000488
non-shuffled,3,0.3,0.9354999661445618,0.7714977264404297
non-shuffled,3,0.4,0.9419999718666077,1.0155816078186035
non-shuffled,3,0.5,0.946399986743927,1.179248571395874
non-shuffled,4,0.05,0.8521999716758728,0.39600634574890137
non-shuffled,4,0.1,0.9003999829292297,0.45154571533203125
non-shuffled,4,0.2,0.9269999861717224,0.6281096935272217
non-shuffled,4,0.3,0.9352999925613403,0.7706615924835205
non-shuffled,4,0.4,0.942799985408783,1.0090649127960205
non-shuffled,4,0.5,0.9460999965667725,1.1925668716430664
non-shuffled,5,0.05,0.8571999669075012,0.4070000648498535
non-shuffled,5,0.1,0.9045999646186829,0.45563173294067383
non-shuffled,5,0.2,0.9274999499320984,0.6210606098175049
non-shuffled,5,0.3,0.9372999668121338,0.7668986320495605
non-shuffled,5,0.4,0.9401999711990356,1.0114355087280273
non-shuffled,5,0.5,0.9441999793052673,1.1939525604248047
non-shuffled,6,0.05,0.8529999852180481,0.3887350559234619
non-shuffled,6,0.1,0.9060999751091003,0.46459436416625977
non-shuffled,6,0.2,0.9301999807357788,0.6259911060333252
non-shuffled,6,0.3,0.9394999742507935,0.931492805480957
non-shuffled,6,0.4,0.9431999921798706,1.0160012245178223
non-shuffled,6,0.5,0.9456999897956848,1.1970136165618896
non-shuffled,7,0.05,0.8461999893188477,0.3825340270996094
non-shuffled,7,0.1,0.9013999700546265,0.4552652835845947
non-shuffled,7,0.2,0.9302999973297119,0.6298611164093018
non-shuffled,7,0.3,0.937999963760376,0.7665114402770996
non-shuffled,7,0.4,0.9434999823570251,1.0092761516571045
non-shuffled,7,0.5,0.944599986076355,1.1684370040893555
non-shuffled,8,0.05,0.8470999598503113,0.3835887908935547
non-shuffled,8,0.1,0.8991999626159668,0.4665031433105469
non-shuffled,8,0.2,0.9256999492645264,0.6102893352508545
non-shuffled,8,0.3,0.9388999938964844,0.7744121551513672
non-shuffled,8,0.4,0.9420999884605408,1.0044891834259033
non-shuffled,8,0.5,0.9451999664306641,1.1807942390441895
non-shuffled,9,0.05,0.8513999581336975,0.38141369819641113
non-shuffled,9,0.1,0.8949999809265137,0.4509744644165039
non-shuffled,9,0.2,0.9265999794006348,0.606173038482666
non-shuffled,9,0.3,0.9391999840736389,0.7826004028320312
non-shuffled,9,0.4,0.9423999786376953,1.1389384269714355
non-shuffled,9,0.5,0.9447000026702881,1.2051541805267334
shuffled,0,0.05,0.8607999682426453,0.6038777828216553
shuffled,0,0.1,0.9065999984741211,0.47952914237976074
shuffled,0,0.2,0.9289000034332275,0.6817588806152344
shuffled,0,0.3,0.9369999766349792,0.7784011363983154
shuffled,0,0.4,0.9426999688148499,1.0421843528747559
shuffled,0,0.5,0.9440000057220459,1.2078194618225098
shuffled,1,0.05,0.8705999851226807,0.3941621780395508
shuffled,1,0.1,0.9084999561309814,0.46952295303344727
shuffled,1,0.2,0.9246000051498413,0.6152176856994629
shuffled,1,0.3,0.9361000061035156,0.775658130645752
shuffled,1,0.4,0.9419999718666077,1.1119744777679443
shuffled,1,0.5,0.9436999559402466,1.1901497840881348
shuffled,2,0.05,0.8619999885559082,0.4038865566253662
shuffled,2,0.1,0.9063999652862549,0.46268630027770996
shuffled,2,0.2,0.9294999837875366,0.6449551582336426
shuffled,2,0.3,0.9386000037193298,0.7885301113128662
shuffled,2,0.4,0.9431999921798706,1.0281169414520264
shuffled,2,0.5,0.944599986076355,1.1835088729858398
shuffled,3,0.05,0.8606999516487122,0.3881828784942627
shuffled,3,0.1,0.9101999998092651,0.4587864875793457
shuffled,3,0.2,0.9287999868392944,0.6271135807037354
shuffled,3,0.3,0.9345999956130981,0.7879393100738525
shuffled,3,0.4,0.9409999847412109,1.005007266998291
shuffled,3,0.5,0.9426999688148499,1.1830205917358398
shuffled,4,0.05,0.8643999695777893,0.3953566551208496
shuffled,4,0.1,0.9059000015258789,0.4554908275604248
shuffled,4,0.2,0.9264000058174133,0.6110496520996094
shuffled,4,0.3,0.9364999532699585,0.7707486152648926
shuffled,4,0.4,0.9432999491691589,1.0189857482910156
shuffled,4,0.5,0.9458999633789062,1.3017387390136719
shuffled,5,0.05,0.8682000041007996,0.4792172908782959
shuffled,5,0.1,0.8965999484062195,0.49918460845947266
shuffled,5,0.2,0.9264000058174133,0.6626441478729248
shuffled,5,0.3,0.9343999624252319,0.7967162132263184
shuffled,5,0.4,0.9420999884605408,1.0447778701782227
shuffled,5,0.5,0.9429999589920044,1.1825189590454102
shuffled,6,0.05,0.8616999983787537,0.39687585830688477
shuffled,6,0.1,0.9048999547958374,0.44155311584472656
shuffled,6,0.2,0.927899956703186,0.6091296672821045
shuffled,6,0.3,0.9373999834060669,0.7516300678253174
shuffled,6,0.4,0.942799985408783,1.04603910446167
shuffled,6,0.5,0.9456999897956848,1.1980454921722412
shuffled,7,0.05,0.8715999722480774,0.38405942916870117
shuffled,7,0.1,0.9023999571800232,0.4540700912475586
shuffled,7,0.2,0.9269999861717224,0.6384842395782471
shuffled,7,0.3,0.9368999600410461,0.7691748142242432
shuffled,7,0.4,0.9420999884605408,1.009444236755371
shuffled,7,0.5,0.9453999996185303,1.1846985816955566
shuffled,8,0.05,0.85999995470047,0.5279181003570557
shuffled,8,0.1,0.901199996471405,0.46880006790161133
shuffled,8,0.2,0.9271000027656555,0.6546595096588135
shuffled,8,0.3,0.9358999729156494,0.7726473808288574
shuffled,8,0.4,0.9440000057220459,1.0112457275390625
shuffled,8,0.5,0.9453999996185303,1.1903753280639648
shuffled,9,0.05,0.8732999563217163,0.3864314556121826
shuffled,9,0.1,0.9059999585151672,0.47199535369873047
shuffled,9,0.2,0.9284999966621399,0.6095340251922607
shuffled,9,0.3,0.9387999773025513,0.754310131072998
shuffled,9,0.4,0.9417999982833862,1.0092244148254395
shuffled,9,0.5,0.944599986076355,1.1942884922027588
