mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8458999991416931,0.839984655380249
non-shuffled,0,0.1,0.8733999729156494,0.7880933284759521
non-shuffled,0,0.2,0.8899999856948853,1.1965720653533936
non-shuffled,0,0.3,0.8982999920845032,1.7352378368377686
non-shuffled,0,0.4,0.9041999578475952,2.340902805328369
non-shuffled,0,0.5,0.8898999691009521,2.7897446155548096
non-shuffled,1,0.05,0.8464999794960022,0.5195121765136719
non-shuffled,1,0.1,0.8703999519348145,0.7016177177429199
non-shuffled,1,0.2,0.8926999568939209,1.147160291671753
non-shuffled,1,0.3,0.8974999785423279,1.6816589832305908
non-shuffled,1,0.4,0.9056999683380127,2.3559749126434326
non-shuffled,1,0.5,0.9073999524116516,2.783280849456787
non-shuffled,2,0.05,0.8463000059127808,0.5419027805328369
non-shuffled,2,0.1,0.8729999661445618,0.7213859558105469
non-shuffled,2,0.2,0.8923999667167664,1.1554601192474365
non-shuffled,2,0.3,0.9001999497413635,1.6907637119293213
non-shuffled,2,0.4,0.9052000045776367,2.409144163131714
non-shuffled,2,0.5,0.9080999493598938,2.890941619873047
non-shuffled,3,0.05,0.8497999906539917,0.5663948059082031
non-shuffled,3,0.1,0.8664999604225159,0.76737380027771
non-shuffled,3,0.2,0.8895999789237976,1.1988818645477295
non-shuffled,3,0.3,0.8962000012397766,1.694671630859375
non-shuffled,3,0.4,0.902999997138977,2.3992931842803955
non-shuffled,3,0.5,0.9077000021934509,2.8390190601348877
non-shuffled,4,0.05,0.8448999524116516,0.5073444843292236
non-shuffled,4,0.1,0.8702999949455261,0.7034049034118652
non-shuffled,4,0.2,0.8931999802589417,1.1619789600372314
non-shuffled,4,0.3,0.8969999551773071,1.715893030166626
non-shuffled,4,0.4,0.9021999835968018,2.385150909423828
non-shuffled,4,0.5,0.9059000015258789,2.8128933906555176
non-shuffled,5,0.05,0.8472999930381775,0.5121972560882568
non-shuffled,5,0.1,0.8746999502182007,0.7051172256469727
non-shuffled,5,0.2,0.887499988079071,1.169020652770996
non-shuffled,5,0.3,0.8989999890327454,1.7328062057495117
non-shuffled,5,0.4,0.902999997138977,2.398552894592285
non-shuffled,5,0.5,0.9053999781608582,2.8941304683685303
non-shuffled,6,0.05,0.849299967288971,0.5579609870910645
non-shuffled,6,0.1,0.873699963092804,0.7446041107177734
non-shuffled,6,0.2,0.8910999894142151,1.1417832374572754
non-shuffled,6,0.3,0.8969999551773071,1.6724827289581299
non-shuffled,6,0.4,0.9027000069618225,2.420325517654419
non-shuffled,6,0.5,0.9044999480247498,2.8496828079223633
non-shuffled,7,0.05,0.8504999876022339,0.511634349822998
non-shuffled,7,0.1,0.8723999857902527,0.7121655941009521
non-shuffled,7,0.2,0.8887999653816223,1.160085916519165
non-shuffled,7,0.3,0.8983999490737915,1.6803510189056396
non-shuffled,7,0.4,0.9045999646186829,2.4123122692108154
non-shuffled,7,0.5,0.9042999744415283,2.8125803470611572
non-shuffled,8,0.05,0.8450999855995178,0.5135288238525391
non-shuffled,8,0.1,0.8727999925613403,0.7157785892486572
non-shuffled,8,0.2,0.8904999494552612,1.14967679977417
non-shuffled,8,0.3,0.8976999521255493,1.6797525882720947
non-shuffled,8,0.4,0.9049999713897705,2.4116485118865967
non-shuffled,8,0.5,0.9090999960899353,2.811342477798462
non-shuffled,9,0.05,0.8474999666213989,0.5246717929840088
non-shuffled,9,0.1,0.8685999512672424,0.7232913970947266
non-shuffled,9,0.2,0.8925999999046326,1.1733837127685547
non-shuffled,9,0.3,0.8978999853134155,1.6915128231048584
non-shuffled,9,0.4,0.9045999646186829,2.423497200012207
non-shuffled,9,0.5,0.9066999554634094,2.8127036094665527
shuffled,0,0.05,0.7328000068664551,0.8297765254974365
shuffled,0,0.1,0.8061999678611755,0.8204548358917236
shuffled,0,0.2,0.8604999780654907,1.2110936641693115
shuffled,0,0.3,0.8761000037193298,1.7303109169006348
shuffled,0,0.4,0.8824999928474426,2.3642683029174805
shuffled,0,0.5,0.8933999538421631,2.7926950454711914
shuffled,1,0.05,0.7511999607086182,0.5324878692626953
shuffled,1,0.1,0.8086000084877014,0.7430684566497803
shuffled,1,0.2,0.8549000024795532,1.1580712795257568
shuffled,1,0.3,0.8672999739646912,1.6756858825683594
shuffled,1,0.4,0.8842999935150146,2.377804756164551
shuffled,1,0.5,0.8910999894142151,2.809293031692505
shuffled,2,0.05,0.7105000019073486,0.5281789302825928
shuffled,2,0.1,0.81659996509552,0.7062180042266846
shuffled,2,0.2,0.8585999608039856,1.1575846672058105
shuffled,2,0.3,0.8715999722480774,1.6728594303131104
shuffled,2,0.4,0.8847999572753906,2.379509687423706
shuffled,2,0.5,0.8928999900817871,2.8076555728912354
shuffled,3,0.05,0.7213000059127808,0.5252656936645508
shuffled,3,0.1,0.8024999499320984,0.7077949047088623
shuffled,3,0.2,0.8568999767303467,1.1278369426727295
shuffled,3,0.3,0.8677999973297119,1.6860637664794922
shuffled,3,0.4,0.8827999830245972,2.376375675201416
shuffled,3,0.5,0.894599974155426,2.815603017807007
shuffled,4,0.05,0.7365999817848206,0.5289230346679688
shuffled,4,0.1,0.8029999732971191,0.7090840339660645
shuffled,4,0.2,0.8545999526977539,1.1436214447021484
shuffled,4,0.3,0.8720999956130981,1.6845426559448242
shuffled,4,0.4,0.8863999843597412,2.394779920578003
shuffled,4,0.5,0.8941999673843384,2.813298463821411
shuffled,5,0.05,0.7347999811172485,0.5288999080657959
shuffled,5,0.1,0.8039999604225159,0.7006990909576416
shuffled,5,0.2,0.8532999753952026,1.1457602977752686
shuffled,5,0.3,0.8707000017166138,1.6854000091552734
shuffled,5,0.4,0.8876999616622925,2.385162591934204
shuffled,5,0.5,0.8947999477386475,2.8531734943389893
shuffled,6,0.05,0.722599983215332,0.5251832008361816
shuffled,6,0.1,0.805899977684021,0.7112610340118408
shuffled,6,0.2,0.8442999720573425,1.1277711391448975
shuffled,6,0.3,0.8740999698638916,1.6671547889709473
shuffled,6,0.4,0.8840999603271484,2.4025864601135254
shuffled,6,0.5,0.8953999876976013,2.8249921798706055
shuffled,7,0.05,0.7195000052452087,0.5310509204864502
shuffled,7,0.1,0.8123999834060669,0.7108972072601318
shuffled,7,0.2,0.8501999974250793,1.1455693244934082
shuffled,7,0.3,0.8743000030517578,1.6925702095031738
shuffled,7,0.4,0.8828999996185303,2.4028146266937256
shuffled,7,0.5,0.8925999999046326,2.8121399879455566
shuffled,8,0.05,0.7416999936103821,0.5351765155792236
shuffled,8,0.1,0.8127999901771545,0.721928596496582
shuffled,8,0.2,0.8578000068664551,1.136720895767212
shuffled,8,0.3,0.8794999718666077,1.6911497116088867
shuffled,8,0.4,0.8833999633789062,2.410332679748535
shuffled,8,0.5,0.889799952507019,2.8205759525299072
shuffled,9,0.05,0.7419999837875366,0.5333883762359619
shuffled,9,0.1,0.8125,0.7152895927429199
shuffled,9,0.2,0.8580999970436096,1.1587331295013428
shuffled,9,0.3,0.875,1.6737329959869385
shuffled,9,0.4,0.8852999806404114,2.38669753074646
shuffled,9,0.5,0.8944000005722046,2.809155225753784
