mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8473099827766418,0.001964378565746941,0.0006211910454575154,0.8459047510036592,0.8487152145496244,10
non-shuffled,0.1,0.8715799689292908,0.002569827396163028,0.0008126507765375019,0.8697416251542476,0.873418312704334,10
non-shuffled,0.2,0.8908399760723114,0.0018945526687693646,0.0005991101580461745,0.8894846947369486,0.8921952574076741,10
non-shuffled,0.3,0.8979199707508088,0.0011360698623612375,0.00035925683461355065,0.8971072753290834,0.8987326661725341,10
non-shuffled,0.4,0.9040199816226959,0.0012025807474786503,0.0003802894232300327,0.9031597071799784,0.9048802560654134,10
non-shuffled,0.5,0.9048999726772309,0.005497274451006593,0.001738390818823254,0.90096745943459,0.9088324859198718,10
shuffled,0.05,0.7312999904155731,0.012511406450641702,0.003956454111615081,0.7223498694074796,0.7402501114236667,10
shuffled,0.1,0.8084499776363373,0.004874488173709216,0.0015414485056475615,0.804962978858116,0.8119369764145586,10
shuffled,0.2,0.8549199819564819,0.004770233199920492,0.0015084801881902093,0.851507562693744,0.8583324012192198,10
shuffled,0.3,0.872849988937378,0.0037435124334401207,0.001183802573883026,0.8701720414654633,0.8755279364092926,10
shuffled,0.4,0.8844199776649475,0.0016791467842562687,0.0005309928363997172,0.8832187884166617,0.8856211669132333,10
shuffled,0.5,0.8933199763298034,0.0017674857924042998,0.0005589280835985122,0.8920555931619707,0.8945843594976362,10
