mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.7442599892616272,0.010699040020451172,0.003383333524192018,0.7366063570955518,0.7519136214277026,10
non-shuffled,0.1,0.7973599791526794,0.018153424736872682,0.005740616950096052,0.7843738013998179,0.8103461569055409,10
non-shuffled,0.2,0.8456799685955048,0.002719376147200854,0.0008599422439888018,0.8437346440886246,0.8476252931023849,10
non-shuffled,0.3,0.860459977388382,0.003066743640655873,0.0009697894904309511,0.858266161146143,0.862653793630621,10
non-shuffled,0.4,0.8689299702644349,0.0020396295748653067,0.0006449875039615288,0.8674709071623969,0.8703890333664728,10
non-shuffled,0.5,0.8737299740314484,0.0012401079552637811,0.0003921565683127743,0.8728428542414793,0.8746170938214174,10
shuffled,0.05,0.726419985294342,0.010371948761780105,0.003279898186178831,0.7190003401190455,0.7338396304696386,10
shuffled,0.1,0.800629985332489,0.005152566481476103,0.001629384587690427,0.7969440613164009,0.804315909348577,10
shuffled,0.2,0.8527199804782868,0.005012374576680241,0.0015850520148231863,0.8491343437094582,0.8563056172471154,10
shuffled,0.3,0.8750999748706818,0.0028902179570644477,0.0009139671678642394,0.8730324374952843,0.8771675122460794,10
shuffled,0.4,0.8864599764347076,0.002295502008607964,0.0007259014720692608,0.8848178732201398,0.8881020796492755,10
shuffled,0.5,0.8939299821853638,0.0012745842035946323,0.0004030589153030811,0.8930181995730587,0.8948417647976689,10
