mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8082000017166138,0.5749368667602539
non-shuffled,0,0.1,0.8636999726295471,0.4603233337402344
non-shuffled,0,0.2,0.9023000001907349,0.652294397354126
non-shuffled,0,0.3,0.9122999906539917,0.8010060787200928
non-shuffled,0,0.4,0.920199990272522,1.0482244491577148
non-shuffled,0,0.5,0.9228000044822693,1.202218770980835
non-shuffled,1,0.05,0.8065999746322632,0.40746021270751953
non-shuffled,1,0.1,0.8587999939918518,0.48185300827026367
non-shuffled,1,0.2,0.896399974822998,0.6620128154754639
non-shuffled,1,0.3,0.911899983882904,0.7897427082061768
non-shuffled,1,0.4,0.91839998960495,1.040196180343628
non-shuffled,1,0.5,0.9243999719619751,1.208146572113037
non-shuffled,2,0.05,0.8082999587059021,0.4144730567932129
non-shuffled,2,0.1,0.8664999604225159,0.48584628105163574
non-shuffled,2,0.2,0.8991000056266785,0.6455645561218262
non-shuffled,2,0.3,0.9075999855995178,0.7959308624267578
non-shuffled,2,0.4,0.9182999730110168,1.2713708877563477
non-shuffled,2,0.5,0.9248999953269958,1.442028522491455
non-shuffled,3,0.05,0.8115999698638916,0.6144008636474609
non-shuffled,3,0.1,0.861299991607666,0.7074840068817139
non-shuffled,3,0.2,0.8959999680519104,0.8700752258300781
non-shuffled,3,0.3,0.9102999567985535,1.161332607269287
non-shuffled,3,0.4,0.9196999669075012,1.2640326023101807
non-shuffled,3,0.5,0.9243999719619751,1.3723230361938477
non-shuffled,4,0.05,0.7996000051498413,0.6336719989776611
non-shuffled,4,0.1,0.8578000068664551,0.7244360446929932
non-shuffled,4,0.2,0.8986999988555908,0.8861870765686035
non-shuffled,4,0.3,0.9128999710083008,1.0081686973571777
non-shuffled,4,0.4,0.9156999588012695,1.290766716003418
non-shuffled,4,0.5,0.9228000044822693,1.482323169708252
non-shuffled,5,0.05,0.7955999970436096,0.6484215259552002
non-shuffled,5,0.1,0.8651999831199646,1.4779653549194336
non-shuffled,5,0.2,0.896399974822998,0.7201361656188965
non-shuffled,5,0.3,0.9120999574661255,0.7838480472564697
non-shuffled,5,0.4,0.9185999631881714,1.0222575664520264
non-shuffled,5,0.5,0.9220999479293823,1.1995570659637451
non-shuffled,6,0.05,0.8070999979972839,0.40032434463500977
non-shuffled,6,0.1,0.8578000068664551,0.4789748191833496
non-shuffled,6,0.2,0.9019999504089355,0.6352055072784424
non-shuffled,6,0.3,0.9138000011444092,0.8038640022277832
non-shuffled,6,0.4,0.9162999987602234,1.0758743286132812
non-shuffled,6,0.5,0.9230999946594238,1.2071688175201416
non-shuffled,7,0.05,0.8123999834060669,0.40787196159362793
non-shuffled,7,0.1,0.864799976348877,0.4682464599609375
non-shuffled,7,0.2,0.9005999565124512,0.6331779956817627
non-shuffled,7,0.3,0.9106000065803528,0.7795586585998535
non-shuffled,7,0.4,0.917199969291687,1.0236694812774658
non-shuffled,7,0.5,0.9254999756813049,1.3719956874847412
non-shuffled,8,0.05,0.8017999529838562,0.6184487342834473
non-shuffled,8,0.1,0.8621000051498413,0.7319817543029785
non-shuffled,8,0.2,0.8967999815940857,0.7039258480072021
non-shuffled,8,0.3,0.9080999493598938,1.801905632019043
non-shuffled,8,0.4,0.9177999496459961,1.0325264930725098
non-shuffled,8,0.5,0.9243999719619751,1.1996607780456543
non-shuffled,9,0.05,0.7955999970436096,0.40354156494140625
non-shuffled,9,0.1,0.8696999549865723,0.47721242904663086
non-shuffled,9,0.2,0.901199996471405,0.648045539855957
non-shuffled,9,0.3,0.9110999703407288,0.7871801853179932
non-shuffled,9,0.4,0.9182999730110168,1.0377047061920166
non-shuffled,9,0.5,0.9248999953269958,1.2034237384796143
shuffled,0,0.05,0.8169999718666077,0.6298274993896484
shuffled,0,0.1,0.8705999851226807,0.4702029228210449
shuffled,0,0.2,0.9013999700546265,0.6723012924194336
shuffled,0,0.3,0.9125999808311462,0.8073065280914307
shuffled,0,0.4,0.9195999503135681,1.0403695106506348
shuffled,0,0.5,0.9229999780654907,1.3002848625183105
shuffled,1,0.05,0.8230999708175659,0.6368236541748047
shuffled,1,0.1,0.8644999861717224,0.7142949104309082
shuffled,1,0.2,0.903499960899353,0.8845725059509277
shuffled,1,0.3,0.913599967956543,0.9468417167663574
shuffled,1,0.4,0.9178999662399292,1.3159666061401367
shuffled,1,0.5,0.9217999577522278,1.4077017307281494
shuffled,2,0.05,0.8247999548912048,0.587134599685669
shuffled,2,0.1,0.8698999881744385,0.6709020137786865
shuffled,2,0.2,0.902999997138977,0.8704509735107422
shuffled,2,0.3,0.913100004196167,1.0661237239837646
shuffled,2,0.4,0.9190999865531921,1.2608168125152588
shuffled,2,0.5,0.9225999712944031,1.4596593379974365
shuffled,3,0.05,0.8330000042915344,0.6330254077911377
shuffled,3,0.1,0.8702999949455261,0.6937642097473145
shuffled,3,0.2,0.9006999731063843,0.9047060012817383
shuffled,3,0.3,0.9102999567985535,1.1069667339324951
shuffled,3,0.4,0.918999969959259,1.3091795444488525
shuffled,3,0.5,0.9241999983787537,1.4424810409545898
shuffled,4,0.05,0.8047999739646912,0.6766128540039062
shuffled,4,0.1,0.873199999332428,0.7310159206390381
shuffled,4,0.2,0.9013999700546265,0.7603588104248047
shuffled,4,0.3,0.9126999974250793,1.4411633014678955
shuffled,4,0.4,0.9192999601364136,1.0590860843658447
shuffled,4,0.5,0.9241999983787537,1.1992390155792236
shuffled,5,0.05,0.8203999996185303,0.42835140228271484
shuffled,5,0.1,0.8721999526023865,0.49051952362060547
shuffled,5,0.2,0.8980000019073486,0.6456570625305176
shuffled,5,0.3,0.9103999733924866,0.7886364459991455
shuffled,5,0.4,0.9168999791145325,1.0337841510772705
shuffled,5,0.5,0.9217999577522278,1.2062723636627197
shuffled,6,0.05,0.8194999694824219,0.4186866283416748
shuffled,6,0.1,0.8726999759674072,0.5081827640533447
shuffled,6,0.2,0.9012999534606934,0.63700270652771
shuffled,6,0.3,0.9149999618530273,0.7760038375854492
shuffled,6,0.4,0.9222999811172485,1.0296673774719238
shuffled,6,0.5,0.9235000014305115,1.2289175987243652
shuffled,7,0.05,0.819599986076355,0.41880321502685547
shuffled,7,0.1,0.8722999691963196,0.4871482849121094
shuffled,7,0.2,0.8998000025749207,0.640089750289917
shuffled,7,0.3,0.9114999771118164,0.7907664775848389
shuffled,7,0.4,0.920799970626831,1.0388693809509277
shuffled,7,0.5,0.9222999811172485,1.1903362274169922
shuffled,8,0.05,0.8309999704360962,0.4138460159301758
shuffled,8,0.1,0.8743999600410461,0.4820854663848877
shuffled,8,0.2,0.9025999903678894,0.6304986476898193
shuffled,8,0.3,0.9140999913215637,0.7883117198944092
shuffled,8,0.4,0.9214999675750732,1.0704376697540283
shuffled,8,0.5,0.9241999983787537,1.198892593383789
shuffled,9,0.05,0.817799985408783,0.4130239486694336
shuffled,9,0.1,0.8729999661445618,0.49602675437927246
shuffled,9,0.2,0.8992999792098999,0.6393938064575195
shuffled,9,0.3,0.9131999611854553,0.7899618148803711
shuffled,9,0.4,0.9200999736785889,1.0671181678771973
shuffled,9,0.5,0.9250999689102173,1.1917407512664795
