mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8242999911308289,0.9718074798583984
non-shuffled,0,0.1,0.8718000054359436,0.7343318462371826
non-shuffled,0,0.2,0.8991999626159668,0.8717570304870605
non-shuffled,0,0.3,0.9120999574661255,1.0082862377166748
non-shuffled,0,0.4,0.9199000000953674,1.2428767681121826
non-shuffled,0,0.5,0.9250999689102173,1.429579496383667
non-shuffled,1,0.05,0.8133999705314636,0.658982515335083
non-shuffled,1,0.1,0.8710999488830566,0.7102901935577393
non-shuffled,1,0.2,0.9032999873161316,0.9691846370697021
non-shuffled,1,0.3,0.9128999710083008,1.137624740600586
non-shuffled,1,0.4,0.9210000038146973,1.3005995750427246
non-shuffled,1,0.5,0.9235999584197998,1.4388270378112793
non-shuffled,2,0.05,0.8156999945640564,0.6995205879211426
non-shuffled,2,0.1,0.8660999536514282,0.7131655216217041
non-shuffled,2,0.2,0.9006999731063843,0.8469083309173584
non-shuffled,2,0.3,0.9146999716758728,1.021845817565918
non-shuffled,2,0.4,0.9176999926567078,1.2777304649353027
non-shuffled,2,0.5,0.9222999811172485,1.4292333126068115
non-shuffled,3,0.05,0.8240000009536743,0.6483643054962158
non-shuffled,3,0.1,0.8744999766349792,0.6960506439208984
non-shuffled,3,0.2,0.8983999490737915,0.8215506076812744
non-shuffled,3,0.3,0.9108999967575073,1.0105032920837402
non-shuffled,3,0.4,0.9174999594688416,1.3155717849731445
non-shuffled,3,0.5,0.9217999577522278,1.8578901290893555
non-shuffled,4,0.05,0.8125999569892883,0.5830585956573486
non-shuffled,4,0.1,0.8675000071525574,0.671628475189209
non-shuffled,4,0.2,0.8983999490737915,0.8789749145507812
non-shuffled,4,0.3,0.9111999869346619,1.0238037109375
non-shuffled,4,0.4,0.9190999865531921,1.244405746459961
non-shuffled,4,0.5,0.9217000007629395,1.4165935516357422
non-shuffled,5,0.05,0.823699951171875,0.6652412414550781
non-shuffled,5,0.1,0.8607999682426453,0.6756796836853027
non-shuffled,5,0.2,0.9009000062942505,0.8467674255371094
non-shuffled,5,0.3,0.9101999998092651,0.9761312007904053
non-shuffled,5,0.4,0.9194999933242798,1.2268829345703125
non-shuffled,5,0.5,0.9211999773979187,1.4077506065368652
non-shuffled,6,0.05,0.8238999843597412,0.62955641746521
non-shuffled,6,0.1,0.8747999668121338,1.0048573017120361
non-shuffled,6,0.2,0.901699960231781,1.0343215465545654
non-shuffled,6,0.3,0.9104999899864197,1.000420093536377
