mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8194599747657776,0.005434507478516327,0.0017185421593330168,0.8155723623103757,0.8233475872211795,10
non-shuffled,0.1,0.8696399748325347,0.0041532345426631015,0.001313368081170316,0.8666689298202513,0.8726110198448181,10
non-shuffled,0.2,0.9009499728679657,0.0019523654820594745,0.0006173921748400545,0.8995533347373612,0.9023466109985703,10
non-shuffled,0.3,0.9116399765014649,0.001552911081072142,0.0004910736019902362,0.9105290908352341,0.9127508621676956,10
non-shuffled,0.4,0.9188499808311462,0.0012011698082119344,0.0003798432450577337,0.9179907157135772,0.9197092459487153,10
non-shuffled,0.5,0.922769981622696,0.0012329246271946912,0.0003898850005249199,0.9218880004760691,0.9236519627693228,10
shuffled,0.05,0.8205899834632874,0.007259857754457249,0.002295768599292033,0.8153965940821434,0.8257833728444314,10
shuffled,0.1,0.8702699840068817,0.0029450691699082253,0.0009313126443651413,0.8681632084375746,0.8723767595761889,10
shuffled,0.2,0.901779979467392,0.0013790504133217526,0.0004360940314293348,0.9007934662305161,0.9027664927042678,10
shuffled,0.3,0.9129799723625183,0.0018310937676633797,0.0005790426915155454,0.911670086790308,0.9142898579347285,10
shuffled,0.4,0.919439971446991,0.0013977738027883292,0.0004420148870526135,0.9184400643041567,0.9204398785898252,10
shuffled,0.5,0.9233999729156495,0.0017454632606648966,0.0005519639475845259,0.9221513437179839,0.924648602113315,10
