mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.6199599862098694,0.017429305533433994,0.0055116303520627435,0.6074918121299465,0.6324281602897922,10
non-shuffled,0.1,0.7364399850368499,0.013186366179757813,0.004169895118904798,0.7270070269252691,0.7458729431484308,10
non-shuffled,0.2,0.8159599840641022,0.003714591321825734,0.001174656915366485,0.8133027255091098,0.8186172426190946,10
non-shuffled,0.3,0.845969969034195,0.003927136494228298,0.0012418696004130115,0.8431606648222899,0.8487792732461,10
non-shuffled,0.4,0.8631999850273132,0.003994988406200926,0.0012633262589560866,0.860342142481594,0.8660578275730324,10
non-shuffled,0.5,0.8749599754810333,0.002765747227744779,0.0008746060671969941,0.872981479101448,0.8769384718606187,10
shuffled,0.05,0.625739985704422,0.01566307392156462,0.004953098875172973,0.6145352976056249,0.6369446738032192,10
shuffled,0.1,0.7427599787712097,0.01132060121539809,0.003579888432312838,0.7346617085118347,0.7508582490305847,10
shuffled,0.2,0.8152299880981445,0.005501724064519331,0.0017397979101640255,0.8112942917937483,0.8191656844025407,10
shuffled,0.3,0.8446799874305725,0.004450414047857351,0.0014073444922038827,0.8414963530069303,0.8478636218542147,10
shuffled,0.4,0.8645199716091156,0.0033305841707059834,0.0010532231918333958,0.8621374152216257,0.8669025279966056,10
shuffled,0.5,0.8748299777507782,0.00396345921350479,0.0012533558527854731,0.8719946898307944,0.877665265670762,10
