mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.6306999921798706,0.48863649368286133
non-shuffled,0,0.1,0.7443000078201294,0.397169828414917
non-shuffled,0,0.2,0.8179000020027161,0.4499189853668213
non-shuffled,0,0.3,0.8447999954223633,0.49823856353759766
non-shuffled,0,0.4,0.8593999743461609,0.5642809867858887
non-shuffled,0,0.5,0.8761999607086182,0.5886070728302002
non-shuffled,1,0.05,0.6247999668121338,0.36574816703796387
non-shuffled,1,0.1,0.7382000088691711,0.38323378562927246
non-shuffled,1,0.2,0.8167999982833862,0.4367856979370117
non-shuffled,1,0.3,0.8418999910354614,0.49493837356567383
non-shuffled,1,0.4,0.8631999492645264,0.541938066482544
non-shuffled,1,0.5,0.8696999549865723,0.5546233654022217
non-shuffled,2,0.05,0.647599995136261,0.3542187213897705
non-shuffled,2,0.1,0.7622999548912048,0.39226222038269043
non-shuffled,2,0.2,0.8226999640464783,0.41719651222229004
non-shuffled,2,0.3,0.8491999506950378,0.49803924560546875
non-shuffled,2,0.4,0.8682000041007996,0.5360209941864014
non-shuffled,2,0.5,0.8730999827384949,0.5566623210906982
non-shuffled,3,0.05,0.6823999881744385,0.3572232723236084
non-shuffled,3,0.1,0.7414999604225159,0.3886420726776123
non-shuffled,3,0.2,0.8119999766349792,0.42285895347595215
non-shuffled,3,0.3,0.8449999690055847,0.5000061988830566
non-shuffled,3,0.4,0.8611999750137329,0.5468897819519043
non-shuffled,3,0.5,0.8715999722480774,0.5649552345275879
non-shuffled,4,0.05,0.6354999542236328,0.3513474464416504
non-shuffled,4,0.1,0.7580999732017517,0.3764922618865967
non-shuffled,4,0.2,0.8217999935150146,0.4271676540374756
non-shuffled,4,0.3,0.852899968624115,0.5023138523101807
non-shuffled,4,0.4,0.8675000071525574,0.5515692234039307
non-shuffled,4,0.5,0.8779999613761902,0.5621998310089111
non-shuffled,5,0.05,0.6262999773025513,0.3546733856201172
non-shuffled,5,0.1,0.7520999908447266,0.3883693218231201
non-shuffled,5,0.2,0.817799985408783,0.4469470977783203
non-shuffled,5,0.3,0.8481000065803528,0.5170884132385254
non-shuffled,5,0.4,0.8619999885559082,0.5736696720123291
non-shuffled,5,0.5,0.8682999610900879,0.5733473300933838
non-shuffled,6,0.05,0.6556999683380127,0.36499953269958496
non-shuffled,6,0.1,0.7603999972343445,0.3842308521270752
non-shuffled,6,0.2,0.8256999850273132,0.4148542881011963
non-shuffled,6,0.3,0.8561999797821045,0.4995448589324951
non-shuffled,6,0.4,0.868399977684021,0.5405824184417725
non-shuffled,6,0.5,0.8761999607086182,0.5807299613952637
non-shuffled,7,0.05,0.6190999746322632,0.3623180389404297
non-shuffled,7,0.1,0.7379999756813049,0.39833998680114746
non-shuffled,7,0.2,0.8204999566078186,0.425199031829834
non-shuffled,7,0.3,0.8378999829292297,0.49845409393310547
non-shuffled,7,0.4,0.8592000007629395,0.5545954704284668
non-shuffled,7,0.5,0.8729999661445618,0.5574250221252441
non-shuffled,8,0.05,0.6053999662399292,0.3636462688446045
non-shuffled,8,0.1,0.7407000064849854,0.3759925365447998
non-shuffled,8,0.2,0.8224999904632568,0.43541502952575684
non-shuffled,8,0.3,0.8443999886512756,0.49682164192199707
non-shuffled,8,0.4,0.8639000058174133,0.5661962032318115
non-shuffled,8,0.5,0.8756999969482422,0.5750100612640381
non-shuffled,9,0.05,0.6310999989509583,0.3520467281341553
non-shuffled,9,0.1,0.7448999881744385,0.39234447479248047
non-shuffled,9,0.2,0.8197999596595764,0.42464542388916016
non-shuffled,9,0.3,0.8490999937057495,0.4920005798339844
non-shuffled,9,0.4,0.8634999990463257,0.5547549724578857
non-shuffled,9,0.5,0.8768999576568604,0.5653207302093506
shuffled,0,0.05,0.6202999949455261,0.5086855888366699
shuffled,0,0.1,0.7432000041007996,0.3971588611602783
shuffled,0,0.2,0.8165000081062317,0.4456970691680908
shuffled,0,0.3,0.8425999879837036,0.5042204856872559
shuffled,0,0.4,0.8605999946594238,0.5690770149230957
shuffled,0,0.5,0.8759999871253967,0.5814816951751709
shuffled,1,0.05,0.6062999963760376,0.36748719215393066
shuffled,1,0.1,0.7422999739646912,0.3729698657989502
shuffled,1,0.2,0.8141999840736389,0.4369056224822998
shuffled,1,0.3,0.842799961566925,0.4855916500091553
shuffled,1,0.4,0.8575999736785889,0.5494050979614258
shuffled,1,0.5,0.8705999851226807,0.5532228946685791
shuffled,2,0.05,0.5949000120162964,0.36835336685180664
shuffled,2,0.1,0.7210999727249146,0.3996717929840088
shuffled,2,0.2,0.8208999633789062,0.4259836673736572
shuffled,2,0.3,0.8413999676704407,0.48780131340026855
shuffled,2,0.4,0.8636999726295471,0.5477960109710693
shuffled,2,0.5,0.8711999654769897,0.5558397769927979
shuffled,3,0.05,0.586899995803833,0.35688161849975586
shuffled,3,0.1,0.7565999627113342,0.3786194324493408
shuffled,3,0.2,0.8097999691963196,0.42710065841674805
shuffled,3,0.3,0.8513999581336975,0.4977588653564453
shuffled,3,0.4,0.865399956703186,0.562211275100708
shuffled,3,0.5,0.8762999773025513,0.5571167469024658
shuffled,4,0.05,0.6128999590873718,0.36153435707092285
shuffled,4,0.1,0.7461000084877014,0.40505361557006836
shuffled,4,0.2,0.81659996509552,0.412142276763916
shuffled,4,0.3,0.8458999991416931,0.5064389705657959
shuffled,4,0.4,0.8628000020980835,0.5576896667480469
shuffled,4,0.5,0.8726999759674072,0.5657784938812256
shuffled,5,0.05,0.6606000065803528,0.3738863468170166
shuffled,5,0.1,0.7518999576568604,0.3652501106262207
shuffled,5,0.2,0.8209999799728394,0.4290926456451416
shuffled,5,0.3,0.8440999984741211,0.5006682872772217
shuffled,5,0.4,0.8641999959945679,0.5551722049713135
shuffled,5,0.5,0.8746999502182007,0.5592765808105469
shuffled,6,0.05,0.6383999586105347,0.35692667961120605
shuffled,6,0.1,0.7504000067710876,0.38885927200317383
shuffled,6,0.2,0.832099974155426,0.4157588481903076
