mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.6220999956130981,0.672175407409668
non-shuffled,0,0.1,0.7272999882698059,0.40506935119628906
non-shuffled,0,0.2,0.8229999542236328,0.4683194160461426
non-shuffled,0,0.3,0.8499999642372131,0.5157794952392578
non-shuffled,0,0.4,0.8664999604225159,0.5591483116149902
non-shuffled,0,0.5,0.8747999668121338,0.5890407562255859
non-shuffled,1,0.05,0.5982999801635742,0.4055333137512207
non-shuffled,1,0.1,0.7425999641418457,0.4165523052215576
non-shuffled,1,0.2,0.8151999711990356,0.45105648040771484
non-shuffled,1,0.3,0.8429999947547913,0.5049543380737305
non-shuffled,1,0.4,0.8608999848365784,0.5570354461669922
non-shuffled,1,0.5,0.8662999868392944,0.5670530796051025
non-shuffled,2,0.05,0.6316999793052673,0.3959362506866455
non-shuffled,2,0.1,0.7396000027656555,0.40723633766174316
non-shuffled,2,0.2,0.8202999830245972,0.44950079917907715
non-shuffled,2,0.3,0.8470999598503113,0.49361610412597656
non-shuffled,2,0.4,0.8673999905586243,0.5493664741516113
non-shuffled,2,0.5,0.8736000061035156,0.5631024837493896
non-shuffled,3,0.05,0.6521999835968018,0.3994271755218506
non-shuffled,3,0.1,0.7558000087738037,0.39171385765075684
non-shuffled,3,0.2,0.8168999552726746,0.4393301010131836
non-shuffled,3,0.3,0.8463000059127808,0.4954056739807129
non-shuffled,3,0.4,0.8634999990463257,0.560955286026001
non-shuffled,3,0.5,0.8725000023841858,0.5617978572845459
non-shuffled,4,0.05,0.6337999701499939,0.3595004081726074
non-shuffled,4,0.1,0.7529000043869019,0.4007234573364258
non-shuffled,4,0.2,0.8220999836921692,0.43384647369384766
non-shuffled,4,0.3,0.849399983882904,0.5162246227264404
non-shuffled,4,0.4,0.8678999543190002,0.5517153739929199
non-shuffled,4,0.5,0.8746999502182007,0.5631694793701172
non-shuffled,5,0.05,0.659500002861023,0.3680686950683594
non-shuffled,5,0.1,0.7586999535560608,0.39083099365234375
non-shuffled,5,0.2,0.8129000067710876,0.4291393756866455
non-shuffled,5,0.3,0.8446999788284302,0.5079598426818848
non-shuffled,5,0.4,0.8589999675750732,0.5724682807922363
non-shuffled,5,0.5,0.8697999715805054,0.6046352386474609
non-shuffled,6,0.05,0.6412999629974365,0.370929479598999
non-shuffled,6,0.1,0.7498999834060669,0.40028929710388184
non-shuffled,6,0.2,0.8136000037193298,0.4448585510253906
non-shuffled,6,0.3,0.8513000011444092,0.5176541805267334
non-shuffled,6,0.4,0.8709999918937683,0.5591475963592529
non-shuffled,6,0.5,0.8768999576568604,0.5638108253479004
non-shuffled,7,0.05,0.633899986743927,0.37167859077453613
non-shuffled,7,0.1,0.7347999811172485,0.3916280269622803
non-shuffled,7,0.2,0.8248999714851379,0.43881773948669434
non-shuffled,7,0.3,0.8467999696731567,0.4982306957244873
non-shuffled,7,0.4,0.8641999959945679,0.5550942420959473
non-shuffled,7,0.5,0.8755999803543091,0.5577876567840576
non-shuffled,8,0.05,0.6442999839782715,0.3871777057647705
non-shuffled,8,0.1,0.7566999793052673,0.39307260513305664
non-shuffled,8,0.2,0.8256999850273132,0.4435741901397705
non-shuffled,8,0.3,0.850600004196167,0.4798572063446045
non-shuffled,8,0.4,0.8666999936103821,0.5391991138458252
non-shuffled,8,0.5,0.8768999576568604,0.557715892791748
non-shuffled,9,0.05,0.6161999702453613,0.34385156631469727
non-shuffled,9,0.1,0.7443999648094177,0.38027215003967285
non-shuffled,9,0.2,0.8065999746322632,0.45088934898376465
non-shuffled,9,0.3,0.8483999967575073,0.4970428943634033
non-shuffled,9,0.4,0.8616999983787537,0.5428121089935303
non-shuffled,9,0.5,0.8746999502182007,0.5511322021484375
shuffled,0,0.05,0.633899986743927,0.5773279666900635
shuffled,0,0.1,0.7537999749183655,0.41170239448547363
shuffled,0,0.2,0.8241999745368958,0.44925975799560547
shuffled,0,0.3,0.8527999520301819,0.49941253662109375
shuffled,0,0.4,0.8667999505996704,0.5616819858551025
shuffled,0,0.5,0.8779999613761902,0.5892868041992188
shuffled,1,0.05,0.6381999850273132,0.39205336570739746
shuffled,1,0.1,0.7333999872207642,0.373307466506958
shuffled,1,0.2,0.8079999685287476,0.42604541778564453
shuffled,1,0.3,0.8473999500274658,0.4880635738372803
shuffled,1,0.4,0.8580999970436096,0.5425353050231934
shuffled,1,0.5,0.8705999851226807,0.5475521087646484
shuffled,2,0.05,0.6371999979019165,0.34328460693359375
shuffled,2,0.1,0.736799955368042,0.39128661155700684
shuffled,2,0.2,0.8048999905586243,0.4086337089538574
shuffled,2,0.3,0.8385999798774719,0.5122051239013672
shuffled,2,0.4,0.8568999767303467,0.5612592697143555
shuffled,2,0.5,0.8690999746322632,0.5680966377258301
shuffled,3,0.05,0.6602999567985535,0.34326720237731934
shuffled,3,0.1,0.7565999627113342,0.3876349925994873
shuffled,3,0.2,0.8227999806404114,0.4260070323944092
shuffled,3,0.3,0.8532999753952026,0.5004644393920898
