mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.7671999931335449,0.5259125232696533
non-shuffled,0,0.1,0.8877999782562256,0.4053628444671631
non-shuffled,0,0.2,0.9146999716758728,0.5137929916381836
non-shuffled,0,0.3,0.9157999753952026,0.5785150527954102
non-shuffled,0,0.4,0.9280999898910522,0.7025234699249268
non-shuffled,0,0.5,0.9348999857902527,0.8349394798278809
non-shuffled,1,0.05,0.8330999612808228,0.3709702491760254
non-shuffled,1,0.1,0.838699996471405,0.4279670715332031
non-shuffled,1,0.2,0.9132999777793884,0.5483121871948242
non-shuffled,1,0.3,0.9254999756813049,0.6391432285308838
non-shuffled,1,0.4,0.934499979019165,0.716895580291748
non-shuffled,1,0.5,0.9325000047683716,0.8415641784667969
non-shuffled,2,0.05,0.837399959564209,0.3638300895690918
non-shuffled,2,0.1,0.8420000076293945,0.4232974052429199
non-shuffled,2,0.2,0.8999999761581421,0.5319273471832275
non-shuffled,2,0.3,0.9256999492645264,0.5895724296569824
non-shuffled,2,0.4,0.9320999979972839,0.709460973739624
non-shuffled,2,0.5,0.9351999759674072,0.832603931427002
non-shuffled,3,0.05,0.7935000061988831,0.3527638912200928
non-shuffled,3,0.1,0.8862999677658081,0.41171932220458984
non-shuffled,3,0.2,0.8973999619483948,0.5253913402557373
non-shuffled,3,0.3,0.9192000031471252,0.5800769329071045
non-shuffled,3,0.4,0.9279999732971191,0.708275318145752
non-shuffled,3,0.5,0.9351999759674072,0.8155527114868164
non-shuffled,4,0.05,0.8428999781608582,0.36741089820861816
non-shuffled,4,0.1,0.8866999745368958,0.41399526596069336
non-shuffled,4,0.2,0.9156999588012695,0.5109624862670898
non-shuffled,4,0.3,0.9271000027656555,0.5801105499267578
non-shuffled,4,0.4,0.9348999857902527,0.7077357769012451
non-shuffled,4,0.5,0.932699978351593,0.8247044086456299
non-shuffled,5,0.05,0.7505999803543091,0.3457908630371094
non-shuffled,5,0.1,0.8878999948501587,0.4050307273864746
non-shuffled,5,0.2,0.9129999876022339,0.5030074119567871
non-shuffled,5,0.3,0.9273999929428101,0.5937995910644531
non-shuffled,5,0.4,0.9334999918937683,0.707033634185791
non-shuffled,5,0.5,0.9372999668121338,0.8278405666351318
non-shuffled,6,0.05,0.8349999785423279,0.3622264862060547
non-shuffled,6,0.1,0.84579998254776,0.40215635299682617
non-shuffled,6,0.2,0.9004999995231628,0.5186774730682373
non-shuffled,6,0.3,0.9177999496459961,0.6075301170349121
non-shuffled,6,0.4,0.927899956703186,0.7536497116088867
non-shuffled,6,0.5,0.9388999938964844,0.865847110748291
non-shuffled,7,0.05,0.8407999873161316,0.382763147354126
non-shuffled,7,0.1,0.8865999579429626,0.44094228744506836
non-shuffled,7,0.2,0.9156000018119812,0.537311315536499
non-shuffled,7,0.3,0.927299976348877,0.602508544921875
non-shuffled,7,0.4,0.9323999881744385,0.7034621238708496
non-shuffled,7,0.5,0.9376999735832214,0.8095924854278564
non-shuffled,8,0.05,0.842199981212616,0.35880017280578613
non-shuffled,8,0.1,0.8895999789237976,0.40100646018981934
non-shuffled,8,0.2,0.9160999655723572,0.509627103805542
non-shuffled,8,0.3,0.9211999773979187,0.5810141563415527
non-shuffled,8,0.4,0.9275999665260315,0.7023005485534668
non-shuffled,8,0.5,0.9362999796867371,0.8247721195220947
non-shuffled,9,0.05,0.838699996471405,0.3576791286468506
non-shuffled,9,0.1,0.8903999924659729,0.41748785972595215
non-shuffled,9,0.2,0.9150999784469604,0.49936628341674805
non-shuffled,9,0.3,0.9174000024795532,0.5759079456329346
non-shuffled,9,0.4,0.9268999695777893,0.7381603717803955
non-shuffled,9,0.5,0.9355999827384949,0.8228857517242432
shuffled,0,0.05,0.7484999895095825,0.5865945816040039
shuffled,0,0.1,0.8506999611854553,0.4401512145996094
shuffled,0,0.2,0.9056999683380127,0.5116162300109863
shuffled,0,0.3,0.92249995470047,0.6000287532806396
shuffled,0,0.4,0.9322999715805054,0.7227632999420166
shuffled,0,0.5,0.933899998664856,0.8449757099151611
shuffled,1,0.05,0.7724999785423279,0.36716723442077637
shuffled,1,0.1,0.8540999889373779,0.3951151371002197
shuffled,1,0.2,0.8991999626159668,0.4908566474914551
shuffled,1,0.3,0.9218999743461609,0.5831928253173828
shuffled,1,0.4,0.9273999929428101,0.7068805694580078
shuffled,1,0.5,0.935699999332428,0.8210320472717285
shuffled,2,0.05,0.7694999575614929,0.3549520969390869
shuffled,2,0.1,0.8535999655723572,0.42333078384399414
shuffled,2,0.2,0.9027000069618225,0.5076842308044434
shuffled,2,0.3,0.9210999608039856,0.6042015552520752
shuffled,2,0.4,0.9322999715805054,0.7072863578796387
