mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.7091000080108643,0.5025360584259033
non-shuffled,0,0.1,0.8625999689102173,0.40636134147644043
non-shuffled,0,0.2,0.9092999696731567,0.5211906433105469
non-shuffled,0,0.3,0.9213999509811401,0.6214144229888916
non-shuffled,0,0.4,0.9293999671936035,0.7144567966461182
non-shuffled,0,0.5,0.933899998664856,0.8441777229309082
non-shuffled,1,0.05,0.711899995803833,0.39139223098754883
non-shuffled,1,0.1,0.8181999921798706,0.42594337463378906
non-shuffled,1,0.2,0.9060999751091003,0.537966251373291
non-shuffled,1,0.3,0.9147999882698059,0.6002907752990723
non-shuffled,1,0.4,0.9254999756813049,0.712355375289917
non-shuffled,1,0.5,0.9321999549865723,0.8161754608154297
non-shuffled,2,0.05,0.7112999558448792,0.33295202255249023
non-shuffled,2,0.1,0.8084999918937683,0.4201064109802246
non-shuffled,2,0.2,0.904699981212616,0.5140304565429688
non-shuffled,2,0.3,0.9241999983787537,0.5825111865997314
non-shuffled,2,0.4,0.9298999905586243,0.7120013236999512
non-shuffled,2,0.5,0.9325000047683716,0.8085691928863525
non-shuffled,3,0.05,0.7301999926567078,0.3660624027252197
non-shuffled,3,0.1,0.8122999668121338,0.4043738842010498
non-shuffled,3,0.2,0.9096999764442444,0.5161890983581543
non-shuffled,3,0.3,0.9174999594688416,0.5875613689422607
non-shuffled,3,0.4,0.9328999519348145,0.7102570533752441
non-shuffled,3,0.5,0.9267999529838562,0.82328200340271
non-shuffled,4,0.05,0.717799961566925,0.346362829208374
non-shuffled,4,0.1,0.820099949836731,0.41023898124694824
non-shuffled,4,0.2,0.9095999598503113,0.5064804553985596
non-shuffled,4,0.3,0.9247999787330627,0.5742008686065674
non-shuffled,4,0.4,0.9311999678611755,0.7013237476348877
non-shuffled,4,0.5,0.9340999722480774,0.8262319564819336
non-shuffled,5,0.05,0.724399983882904,0.35848307609558105
non-shuffled,5,0.1,0.8691999912261963,0.4023313522338867
non-shuffled,5,0.2,0.9083999991416931,0.5078167915344238
non-shuffled,5,0.3,0.9271999597549438,0.5751159191131592
non-shuffled,5,0.4,0.9291999936103821,0.7135109901428223
non-shuffled,5,0.5,0.9325999617576599,0.810990571975708
non-shuffled,6,0.05,0.7117999792098999,0.35532569885253906
non-shuffled,6,0.1,0.8495999574661255,0.3954343795776367
non-shuffled,6,0.2,0.9096999764442444,0.4995121955871582
non-shuffled,6,0.3,0.9228999614715576,0.6030557155609131
non-shuffled,6,0.4,0.9264999628067017,0.7115938663482666
non-shuffled,6,0.5,0.9366999864578247,0.8244471549987793
non-shuffled,7,0.05,0.7163000106811523,0.38665223121643066
non-shuffled,7,0.1,0.8226000070571899,0.4029679298400879
non-shuffled,7,0.2,0.9002999663352966,0.5353343486785889
non-shuffled,7,0.3,0.9197999835014343,0.5895054340362549
non-shuffled,7,0.4,0.9287999868392944,0.7047364711761475
non-shuffled,7,0.5,0.9307000041007996,0.8278195858001709
non-shuffled,8,0.05,0.7120999693870544,0.36542725563049316
non-shuffled,8,0.1,0.8057000041007996,0.43430638313293457
non-shuffled,8,0.2,0.9047999978065491,0.5196292400360107
non-shuffled,8,0.3,0.9192000031471252,0.5825157165527344
non-shuffled,8,0.4,0.9195999503135681,0.7020907402038574
non-shuffled,8,0.5,0.9312999844551086,0.8210108280181885
non-shuffled,9,0.05,0.7256999611854553,0.3805878162384033
non-shuffled,9,0.1,0.8093999624252319,0.4067113399505615
non-shuffled,9,0.2,0.9057999849319458,0.501331090927124
non-shuffled,9,0.3,0.913100004196167,0.593395471572876
non-shuffled,9,0.4,0.9200999736785889,0.7428438663482666
non-shuffled,9,0.5,0.926099956035614,0.8410584926605225
shuffled,0,0.05,0.7803999781608582,0.5119261741638184
shuffled,0,0.1,0.8608999848365784,0.46317172050476074
shuffled,0,0.2,0.9020999670028687,0.5271382331848145
shuffled,0,0.3,0.9210000038146973,0.5987105369567871
shuffled,0,0.4,0.9298999905586243,0.746140718460083
shuffled,0,0.5,0.9352999925613403,0.8505878448486328
shuffled,1,0.05,0.7563999891281128,0.37183690071105957
shuffled,1,0.1,0.8459999561309814,0.4309203624725342
shuffled,1,0.2,0.9014999866485596,0.5061037540435791
shuffled,1,0.3,0.9188999533653259,0.5894780158996582
shuffled,1,0.4,0.9298999905586243,0.721163272857666
shuffled,1,0.5,0.9355999827384949,0.8212981224060059
shuffled,2,0.05,0.7644999623298645,0.35345458984375
shuffled,2,0.1,0.8396999835968018,0.39453625679016113
shuffled,2,0.2,0.9021999835968018,0.49555349349975586
shuffled,2,0.3,0.9212999939918518,0.5668201446533203
shuffled,2,0.4,0.9302999973297119,0.7130062580108643
shuffled,2,0.5,0.9372999668121338,0.8138978481292725
shuffled,3,0.05,0.7759000062942505,0.3655524253845215
shuffled,3,0.1,0.8514999747276306,0.4052698612213135
shuffled,3,0.2,0.9045999646186829,0.5185666084289551
shuffled,3,0.3,0.9186999797821045,0.602017879486084
shuffled,3,0.4,0.9299999475479126,0.6998326778411865
shuffled,3,0.5,0.9368000030517578,0.8116991519927979
shuffled,4,0.05,0.7719999551773071,0.3536651134490967
shuffled,4,0.1,0.8575999736785889,0.4004690647125244
shuffled,4,0.2,0.9023999571800232,0.5047175884246826
shuffled,4,0.3,0.9253999590873718,0.5618469715118408
shuffled,4,0.4,0.9297999739646912,0.6940474510192871
shuffled,4,0.5,0.9347999691963196,0.8258042335510254
shuffled,5,0.05,0.7896999716758728,0.3599863052368164
shuffled,5,0.1,0.8555999994277954,0.4048781394958496
shuffled,5,0.2,0.9052000045776367,0.5181772708892822
shuffled,5,0.3,0.9246999621391296,0.5820310115814209
shuffled,5,0.4,0.9289999604225159,0.7091772556304932
shuffled,5,0.5,0.9345999956130981,0.8111355304718018
shuffled,6,0.05,0.7770999670028687,0.3765418529510498
shuffled,6,0.1,0.8574999570846558,0.4100503921508789
shuffled,6,0.2,0.9018999934196472,0.5014665126800537
shuffled,6,0.3,0.921999990940094,0.5758571624755859
shuffled,6,0.4,0.9323999881744385,0.7139992713928223
shuffled,6,0.5,0.9361000061035156,0.8304662704467773
shuffled,7,0.05,0.7824999690055847,0.3435251712799072
shuffled,7,0.1,0.850600004196167,0.40293097496032715
shuffled,7,0.2,0.8994999527931213,0.4963080883026123
shuffled,7,0.3,0.9240999817848206,0.5809357166290283
shuffled,7,0.4,0.9302999973297119,0.706871747970581
shuffled,7,0.5,0.9345999956130981,0.8204362392425537
shuffled,8,0.05,0.779699981212616,0.3559582233428955
shuffled,8,0.1,0.8384999632835388,0.40610408782958984
shuffled,8,0.2,0.8964999914169312,0.490908145904541
shuffled,8,0.3,0.9233999848365784,0.5745041370391846
shuffled,8,0.4,0.9305999875068665,0.6952862739562988
shuffled,8,0.5,0.9343999624252319,0.8120431900024414
shuffled,9,0.05,0.7902999520301819,0.34780049324035645
shuffled,9,0.1,0.8514999747276306,0.3939085006713867
shuffled,9,0.2,0.898099958896637,0.49251270294189453
shuffled,9,0.3,0.9199000000953674,0.5969855785369873
shuffled,9,0.4,0.9296000003814697,0.7155334949493408
shuffled,9,0.5,0.9355999827384949,0.82147216796875
