mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.7170599818229675,0.0072857835193839,0.0023039670460170657,0.7118480462668402,0.7222719173790948,10
non-shuffled,0.1,0.8278199791908264,0.023613636964021054,0.007467287664665005,0.8109278009131123,0.8447121574685404,10
non-shuffled,0.2,0.9068399786949157,0.003084080177748226,0.000975271784826134,0.9046337606411418,0.9090461967486897,10
non-shuffled,0.3,0.9204899787902832,0.004497756454770317,0.0014223154757798302,0.9172724776489096,0.9237074799316567,10
non-shuffled,0.4,0.9273099720478057,0.004454825812667098,0.0014087396147338608,0.9241231816377392,0.9304967624578723,10
non-shuffled,0.5,0.931689977645874,0.0032288555282506412,0.0010210537704898174,0.9293801935453013,0.9339997617464467,10
shuffled,0.05,0.7768499732017518,0.010508642743191783,0.0033231246185485928,0.7693325430428453,0.7843674033606582,10
shuffled,0.1,0.8509399771690369,0.007561190640922918,0.002391058424806477,0.8455310272265583,0.8563489271115156,10
shuffled,0.2,0.9013999760150909,0.0026993862636460375,0.0008536208877693255,0.8994689514094617,0.9033310006207201,10
shuffled,0.3,0.9219399809837341,0.002394062064588233,0.0007570688983903957,0.9202273721524662,0.923652589815002,10
shuffled,0.4,0.9301799833774567,0.0008941835460067022,0.00028276566516271384,0.9295403230025996,0.9308196437523137,10
shuffled,0.5,0.9355099856853485,0.0009814409078776436,0.00031035886577568443,0.9348079051540787,0.9362120662166182,10
