mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.7454999685287476,0.5348401069641113
non-shuffled,0,0.1,0.8672999739646912,0.44721484184265137
non-shuffled,0,0.2,0.9052000045776367,0.5125057697296143
non-shuffled,0,0.3,0.9165999889373779,0.6021203994750977
non-shuffled,0,0.4,0.9244999885559082,0.7362356185913086
non-shuffled,0,0.5,0.9335999488830566,0.8151443004608154
non-shuffled,1,0.05,0.7559999823570251,0.32854652404785156
non-shuffled,1,0.1,0.8422999978065491,0.4057345390319824
non-shuffled,1,0.2,0.8994999527931213,0.5046553611755371
non-shuffled,1,0.3,0.9226999878883362,0.5915329456329346
non-shuffled,1,0.4,0.9271999597549438,0.7029318809509277
non-shuffled,1,0.5,0.9340999722480774,0.8053004741668701
non-shuffled,2,0.05,0.7422999739646912,0.3499605655670166
non-shuffled,2,0.1,0.8364999890327454,0.3945903778076172
non-shuffled,2,0.2,0.9095999598503113,0.5013952255249023
non-shuffled,2,0.3,0.9246000051498413,0.5830869674682617
non-shuffled,2,0.4,0.925599992275238,0.6971378326416016
non-shuffled,2,0.5,0.9312999844551086,0.8267767429351807
non-shuffled,3,0.05,0.7580999732017517,0.35415053367614746
non-shuffled,3,0.1,0.8373000025749207,0.40172743797302246
non-shuffled,3,0.2,0.9052000045776367,0.49710750579833984
non-shuffled,3,0.3,0.920799970626831,0.5790505409240723
non-shuffled,3,0.4,0.9275999665260315,0.7038998603820801
non-shuffled,3,0.5,0.9314000010490417,0.8188855648040771
non-shuffled,4,0.05,0.7568999528884888,0.3862426280975342
non-shuffled,4,0.1,0.8514999747276306,0.3942270278930664
non-shuffled,4,0.2,0.8996999859809875,0.5070524215698242
non-shuffled,4,0.3,0.9196999669075012,0.576106071472168
non-shuffled,4,0.4,0.9248999953269958,0.6986157894134521
non-shuffled,4,0.5,0.9319999814033508,0.8191735744476318
non-shuffled,5,0.05,0.7378000020980835,0.3513448238372803
non-shuffled,5,0.1,0.8260999917984009,0.410327672958374
non-shuffled,5,0.2,0.8937999606132507,0.49273014068603516
non-shuffled,5,0.3,0.9199000000953674,0.5839962959289551
non-shuffled,5,0.4,0.9273999929428101,0.7121195793151855
non-shuffled,5,0.5,0.9370999932289124,0.8274970054626465
non-shuffled,6,0.05,0.7387999892234802,0.350020170211792
non-shuffled,6,0.1,0.8677999973297119,0.3979930877685547
non-shuffled,6,0.2,0.913100004196167,0.49637818336486816
non-shuffled,6,0.3,0.9182999730110168,0.5700960159301758
non-shuffled,6,0.4,0.9318999648094177,0.6974709033966064
non-shuffled,6,0.5,0.9330999851226807,0.8345694541931152
non-shuffled,7,0.05,0.7628999948501587,0.37627577781677246
non-shuffled,7,0.1,0.8385999798774719,0.40558433532714844
non-shuffled,7,0.2,0.8928999900817871,0.5060896873474121
non-shuffled,7,0.3,0.9156000018119812,0.581989049911499
non-shuffled,7,0.4,0.925599992275238,0.7198994159698486
non-shuffled,7,0.5,0.934499979019165,0.8177223205566406
non-shuffled,8,0.05,0.7529000043869019,0.36136531829833984
non-shuffled,8,0.1,0.8622999787330627,0.39304399490356445
non-shuffled,8,0.2,0.902899980545044,0.505014181137085
non-shuffled,8,0.3,0.9243999719619751,0.5848920345306396
non-shuffled,8,0.4,0.9265999794006348,0.700063943862915
non-shuffled,8,0.5,0.936199963092804,0.8517837524414062
non-shuffled,9,0.05,0.7756999731063843,0.34501147270202637
non-shuffled,9,0.1,0.8507999777793884,0.39144420623779297
non-shuffled,9,0.2,0.9027999639511108,0.5133321285247803
non-shuffled,9,0.3,0.9238999485969543,0.5914463996887207
non-shuffled,9,0.4,0.9248999953269958,0.6998043060302734
non-shuffled,9,0.5,0.9315999746322632,0.8243656158447266
shuffled,0,0.05,0.7811999917030334,0.5555815696716309
shuffled,0,0.1,0.8567000031471252,0.44191932678222656
shuffled,0,0.2,0.9012999534606934,0.5230600833892822
shuffled,0,0.3,0.9170999526977539,0.58290696144104
shuffled,0,0.4,0.9280999898910522,0.7147731781005859
shuffled,0,0.5,0.933899998664856,0.8477356433868408
shuffled,1,0.05,0.7785999774932861,0.3725602626800537
shuffled,1,0.1,0.8549000024795532,0.41999316215515137
shuffled,1,0.2,0.9042999744415283,0.5290122032165527
shuffled,1,0.3,0.9244999885559082,0.5973901748657227
shuffled,1,0.4,0.9301999807357788,0.712421178817749
shuffled,1,0.5,0.9370999932289124,0.8374166488647461
shuffled,2,0.05,0.7639999985694885,0.34257054328918457
shuffled,2,0.1,0.8459999561309814,0.4112234115600586
shuffled,2,0.2,0.9037999510765076,0.4917469024658203
shuffled,2,0.3,0.9214999675750732,0.5739297866821289
shuffled,2,0.4,0.9283999800682068,0.7058284282684326
shuffled,2,0.5,0.9358999729156494,0.8224043846130371
shuffled,3,0.05,0.7719999551773071,0.35318756103515625
shuffled,3,0.1,0.847599983215332,0.3933274745941162
shuffled,3,0.2,0.9050999879837036,0.5162041187286377
shuffled,3,0.3,0.9235000014305115,0.5784380435943604
shuffled,3,0.4,0.9307000041007996,0.7180459499359131
shuffled,3,0.5,0.9354999661445618,0.8172814846038818
shuffled,4,0.05,0.7746999859809875,0.35394811630249023
shuffled,4,0.1,0.8547999858856201,0.40055036544799805
shuffled,4,0.2,0.9027000069618225,0.5078189373016357
shuffled,4,0.3,0.9223999977111816,0.577800989151001
shuffled,4,0.4,0.9307000041007996,0.7077476978302002
shuffled,4,0.5,0.9351999759674072,0.8274939060211182
shuffled,5,0.05,0.7584999799728394,0.3670074939727783
shuffled,5,0.1,0.8525999784469604,0.39891839027404785
shuffled,5,0.2,0.9062999486923218,0.5030345916748047
shuffled,5,0.3,0.9176999926567078,0.5801751613616943
shuffled,5,0.4,0.9307999610900879,0.7052340507507324
shuffled,5,0.5,0.9343000054359436,0.8286290168762207
shuffled,6,0.05,0.7664999961853027,0.3399381637573242
shuffled,6,0.1,0.8551999926567078,0.3966856002807617
shuffled,6,0.2,0.9056999683380127,0.5274429321289062
shuffled,6,0.3,0.9232999682426453,0.5948054790496826
shuffled,6,0.4,0.9336999654769897,0.7223975658416748
shuffled,6,0.5,0.9376999735832214,0.8192071914672852
shuffled,7,0.05,0.7864999771118164,0.35983848571777344
shuffled,7,0.1,0.8524999618530273,0.41399359703063965
shuffled,7,0.2,0.901699960231781,0.5162909030914307
shuffled,7,0.3,0.9222999811172485,0.5986263751983643
shuffled,7,0.4,0.9293999671936035,0.7061285972595215
shuffled,7,0.5,0.9357999563217163,0.8240010738372803
shuffled,8,0.05,0.7804999947547913,0.35712623596191406
shuffled,8,0.1,0.8468999862670898,0.39833760261535645
shuffled,8,0.2,0.9013999700546265,0.5201272964477539
shuffled,8,0.3,0.9175999760627747,0.5768818855285645
shuffled,8,0.4,0.9301999807357788,0.7108428478240967
shuffled,8,0.5,0.9337999820709229,0.829803466796875
shuffled,9,0.05,0.7567999958992004,0.367358922958374
shuffled,9,0.1,0.8472999930381775,0.4032573699951172
shuffled,9,0.2,0.8994999527931213,0.4927036762237549
shuffled,9,0.3,0.9235999584197998,0.5802319049835205
shuffled,9,0.4,0.9297999739646912,0.7147355079650879
shuffled,9,0.5,0.9354999661445618,0.8207433223724365
