mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.7526899814605713,0.011860242109527915,0.0037505378667148414,0.7442056753608268,0.7611742875603158,10
non-shuffled,0.1,0.8480499863624573,0.014283961297118744,0.004516985170858835,0.8378318560036933,0.8582681167212214,10
non-shuffled,0.2,0.9024699807167054,0.006344566853431311,0.0020063282024050623,0.8979313510025986,0.9070086104308122,10
non-shuffled,0.3,0.9206499814987182,0.003220502008816622,0.0010184121557008192,0.9183461731459619,0.9229537898514746,10
non-shuffled,0.4,0.9266199827194214,0.002167323441507555,0.0006853678501438589,0.9250695729280285,0.9281703925108142,10
non-shuffled,0.5,0.933489978313446,0.0020245408315457875,0.0006402160243695957,0.9320417090481444,0.9349382475787477,10
shuffled,0.05,0.7719299852848053,0.010140569955855964,0.003206729783277796,0.7646758585362259,0.7791841120333847,10
shuffled,0.1,0.8514499843120575,0.0040773842513864254,0.0012893821130081664,0.8485331993294601,0.8543667692946549,10
shuffled,0.2,0.9031799674034119,0.0022129943584463093,0.0006998102621793419,0.9015968866061841,0.9047630482006397,10
shuffled,0.3,0.9213499784469604,0.002806445119609708,0.0008874758706230353,0.9193423685493703,0.9233575883445505,10
shuffled,0.4,0.9301999807357788,0.001547754911016246,0.0004894430778522573,0.929092783571406,0.9313071779001516,10
shuffled,0.5,0.9354699790477753,0.0012745747988050506,0.0004030559412474818,0.9345582031632514,0.9363817549322991,10
