mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5999799847602845,0.005827287012573371,0.0018427499539250102,0.595811394752664,0.604148574767905,10
non-shuffled,0.1,0.6796399891376496,0.005174555961434623,0.0016363382718135816,0.6759383347952141,0.683341643480085,10
non-shuffled,0.2,0.7499099791049957,0.0033778497554313868,0.0010681698821005897,0.7474936109550568,0.7523263472549345,10
non-shuffled,0.3,0.7841699838638305,0.001291906023193617,0.00040853655561821467,0.783245809968251,0.78509415775941,10
non-shuffled,0.4,0.8054999828338623,0.0023967626853595887,0.0007579229096637801,0.8037854420948751,0.8072145235728494,10
non-shuffled,0.5,0.818289977312088,0.0019473226787147888,0.0006157975004039023,0.8168969465856817,0.8196830080384943,10
shuffled,0.05,0.6007499814033508,0.008314817590887862,0.0026293761916039745,0.5948019192176758,0.6066980435890258,10
shuffled,0.1,0.6820899844169617,0.004672725749633041,0.001477645625015811,0.6787473177821721,0.6854326510517512,10
shuffled,0.2,0.7476999819278717,0.002886363768498364,0.0009127483664241792,0.7456352016728819,0.7497647621828615,10
shuffled,0.3,0.780569976568222,0.00391862987090344,0.0012391795699226449,0.777766757628059,0.783373195508385,10
shuffled,0.4,0.8007599830627441,0.002286290032254283,0.0007229883893663362,0.7991244696990787,0.8023954964264095,10
shuffled,0.5,0.8153099715709686,0.0022883551501353,0.0007236414369804117,0.8136729809109654,0.8169469622309719,10
