mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.6031000018119812,0.6881086826324463
non-shuffled,0,0.1,0.685699999332428,0.5196270942687988
non-shuffled,0,0.2,0.7527999877929688,0.5297753810882568
non-shuffled,0,0.3,0.7834999561309814,0.6118009090423584
non-shuffled,0,0.4,0.8060999512672424,0.7433626651763916
non-shuffled,0,0.5,0.8179000020027161,0.866746187210083
non-shuffled,1,0.05,0.6069999933242798,0.4063093662261963
non-shuffled,1,0.1,0.6791999936103821,0.4632894992828369
non-shuffled,1,0.2,0.7513999938964844,0.5271565914154053
non-shuffled,1,0.3,0.7853999733924866,0.5937185287475586
non-shuffled,1,0.4,0.8033999800682068,0.7220969200134277
non-shuffled,1,0.5,0.8233999609947205,0.8380007743835449
non-shuffled,2,0.05,0.6072999835014343,0.3663041591644287
non-shuffled,2,0.1,0.6850000023841858,0.43068718910217285
non-shuffled,2,0.2,0.7476999759674072,0.513890266418457
non-shuffled,2,0.3,0.7829999923706055,0.5998494625091553
non-shuffled,2,0.4,0.8064999580383301,0.7109391689300537
non-shuffled,2,0.5,0.8188999891281128,0.8248379230499268
non-shuffled,3,0.05,0.6280999779701233,0.39992356300354004
non-shuffled,3,0.1,0.6870999932289124,0.44103193283081055
non-shuffled,3,0.2,0.7504000067710876,0.5220963954925537
non-shuffled,3,0.3,0.7847999930381775,0.5915586948394775
non-shuffled,3,0.4,0.8032000064849854,0.7161657810211182
non-shuffled,3,0.5,0.8191999793052673,0.8486981391906738
non-shuffled,4,0.05,0.599299967288971,0.3866901397705078
non-shuffled,4,0.1,0.684499979019165,0.5180544853210449
non-shuffled,4,0.2,0.7497000098228455,0.5346505641937256
non-shuffled,4,0.3,0.7795000076293945,0.608633279800415
non-shuffled,4,0.4,0.8032999634742737,0.7453567981719971
non-shuffled,4,0.5,0.8194999694824219,0.8257946968078613
non-shuffled,5,0.05,0.5967000126838684,0.3681514263153076
non-shuffled,5,0.1,0.6773999929428101,0.4339423179626465
non-shuffled,5,0.2,0.7497000098228455,0.5633459091186523
non-shuffled,5,0.3,0.7756999731063843,0.6427762508392334
non-shuffled,5,0.4,0.8032000064849854,0.7434046268463135
non-shuffled,5,0.5,0.8162999749183655,0.8350088596343994
non-shuffled,6,0.05,0.5982999801635742,0.3652482032775879
non-shuffled,6,0.1,0.6841999888420105,0.4438793659210205
non-shuffled,6,0.2,0.7436000108718872,0.5568788051605225
non-shuffled,6,0.3,0.7792999744415283,0.5884931087493896
