mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9571250677108765,0.7005794048309326
non-shuffled,0,0.1,0.9575000405311584,1.7438361644744873
non-shuffled,0,0.2,0.9793750643730164,0.5425834655761719
non-shuffled,0,0.3,0.9822500348091125,0.563542366027832
non-shuffled,0,0.4,0.9830000400543213,0.6114404201507568
non-shuffled,0,0.5,0.9861250519752502,0.6150052547454834
non-shuffled,1,0.05,0.9600000381469727,0.5229480266571045
non-shuffled,1,0.1,0.9593750238418579,0.5229754447937012
non-shuffled,1,0.2,0.9786250591278076,0.4897487163543701
non-shuffled,1,0.3,0.9830000400543213,0.5477404594421387
non-shuffled,1,0.4,0.9822500348091125,0.6128835678100586
non-shuffled,1,0.5,0.9855000376701355,0.6536600589752197
non-shuffled,2,0.05,0.9600000381469727,0.4360010623931885
non-shuffled,2,0.1,0.9645000696182251,0.479752779006958
non-shuffled,2,0.2,0.9762500524520874,0.525810956954956
non-shuffled,2,0.3,0.9815000295639038,0.5702724456787109
non-shuffled,2,0.4,0.9842500686645508,0.6553778648376465
non-shuffled,2,0.5,0.9850000739097595,0.6392116546630859
non-shuffled,3,0.05,0.955500066280365,0.4545588493347168
non-shuffled,3,0.1,0.9736250638961792,0.4922618865966797
non-shuffled,3,0.2,0.9805000424385071,0.5007600784301758
non-shuffled,3,0.3,0.983500063419342,0.5077123641967773
non-shuffled,3,0.4,0.984125018119812,0.6167471408843994
non-shuffled,3,0.5,0.9865000247955322,0.6483736038208008
non-shuffled,4,0.05,0.9548750519752502,0.46014833450317383
non-shuffled,4,0.1,0.9603750705718994,0.533827543258667
non-shuffled,4,0.2,0.9771250486373901,1.192833423614502
non-shuffled,4,0.3,0.9826250672340393,0.5908243656158447
non-shuffled,4,0.4,0.983625054359436,0.6254310607910156
non-shuffled,4,0.5,0.9855000376701355,0.6171290874481201
non-shuffled,5,0.05,0.9298750162124634,0.4879169464111328
non-shuffled,5,0.1,0.955500066280365,0.5189759731292725
non-shuffled,5,0.2,0.9808750748634338,0.4886155128479004
non-shuffled,5,0.3,0.9828750491142273,0.5339641571044922
non-shuffled,5,0.4,0.9827500581741333,0.6047918796539307
non-shuffled,5,0.5,0.9853750467300415,0.6446518898010254
non-shuffled,6,0.05,0.9191250205039978,0.4641897678375244
non-shuffled,6,0.1,0.9580000638961792,0.48751401901245117
non-shuffled,6,0.2,0.9800000190734863,0.5489225387573242
non-shuffled,6,0.3,0.9826250672340393,0.5846877098083496
non-shuffled,6,0.4,0.9832500219345093,0.61153244972229
non-shuffled,6,0.5,0.9853750467300415,0.6015093326568604
non-shuffled,7,0.05,0.9577500224113464,0.48383212089538574
non-shuffled,7,0.1,0.9592500329017639,0.4837381839752197
non-shuffled,7,0.2,0.9756250381469727,0.5092947483062744
non-shuffled,7,0.3,0.9798750281333923,0.5197837352752686
non-shuffled,7,0.4,0.983625054359436,0.6029164791107178
non-shuffled,7,0.5,0.9862500429153442,0.6565301418304443
non-shuffled,8,0.05,0.9611250162124634,0.4757378101348877
non-shuffled,8,0.1,0.971750020980835,0.4794504642486572
non-shuffled,8,0.2,0.9792500734329224,0.5489006042480469
non-shuffled,8,0.3,0.9830000400543213,1.0380003452301025
non-shuffled,8,0.4,0.9848750233650208,0.6859662532806396
non-shuffled,8,0.5,0.9856250286102295,0.6651647090911865
non-shuffled,9,0.05,0.9543750286102295,0.5004270076751709
non-shuffled,9,0.1,0.9745000600814819,0.5082821846008301
non-shuffled,9,0.2,0.971625030040741,0.5034730434417725
non-shuffled,9,0.3,0.984000027179718,0.5673058032989502
non-shuffled,9,0.4,0.9845000505447388,0.6028425693511963
non-shuffled,9,0.5,0.9855000376701355,0.6326673030853271
shuffled,0,0.05,0.9408750534057617,0.7295727729797363
shuffled,0,0.1,0.9667500257492065,0.5172264575958252
shuffled,0,0.2,0.9786250591278076,0.5353600978851318
shuffled,0,0.3,0.9842500686645508,0.5410974025726318
shuffled,0,0.4,0.9858750700950623,0.5761573314666748
shuffled,0,0.5,0.986875057220459,0.6595141887664795
shuffled,1,0.05,0.9486250281333923,1.5016937255859375
shuffled,1,0.1,0.9645000696182251,0.5778720378875732
shuffled,1,0.2,0.9797500371932983,0.542943000793457
shuffled,1,0.3,0.983875036239624,0.5760273933410645
shuffled,1,0.4,0.9861250519752502,0.6289503574371338
shuffled,1,0.5,0.9860000610351562,0.6426680088043213
shuffled,2,0.05,0.9340000152587891,0.49213504791259766
shuffled,2,0.1,0.9665000438690186,0.4818291664123535
shuffled,2,0.2,0.9802500605583191,0.5277934074401855
shuffled,2,0.3,0.9845000505447388,0.5564064979553223
shuffled,2,0.4,0.9858750700950623,0.591395378112793
shuffled,2,0.5,0.986750066280365,0.6304397583007812
shuffled,3,0.05,0.9351250529289246,0.5197622776031494
shuffled,3,0.1,0.9651250243186951,0.6367011070251465
shuffled,3,0.2,0.9773750305175781,0.4637751579284668
shuffled,3,0.3,0.9845000505447388,0.5171353816986084
shuffled,3,0.4,0.9846250414848328,0.6198315620422363
shuffled,3,0.5,0.9875000715255737,0.6177904605865479
shuffled,4,0.05,0.9333750605583191,0.48163294792175293
shuffled,4,0.1,0.9700000286102295,0.4762132167816162
shuffled,4,0.2,0.9797500371932983,0.5583608150482178
shuffled,4,0.3,0.983625054359436,0.5929679870605469
shuffled,4,0.4,0.9856250286102295,0.6082634925842285
shuffled,4,0.5,0.9857500195503235,0.632580041885376
shuffled,5,0.05,0.9391250610351562,0.568901777267456
shuffled,5,0.1,0.9606250524520874,1.1116876602172852
shuffled,5,0.2,0.9807500243186951,0.6409618854522705
shuffled,5,0.3,0.9822500348091125,0.6113166809082031
shuffled,5,0.4,0.9858750700950623,0.6243753433227539
shuffled,5,0.5,0.9855000376701355,0.6800656318664551
shuffled,6,0.05,0.9220000505447388,0.5012998580932617
shuffled,6,0.1,0.9673750400543213,0.4776782989501953
shuffled,6,0.2,0.9780000448226929,0.5468182563781738
shuffled,6,0.3,0.984000027179718,0.5854482650756836
shuffled,6,0.4,0.9842500686645508,0.6191353797912598
shuffled,6,0.5,0.9851250648498535,0.640068531036377
shuffled,7,0.05,0.9302500486373901,0.5160872936248779
shuffled,7,0.1,0.9591250419616699,0.5366644859313965
shuffled,7,0.2,0.9775000214576721,0.5127010345458984
shuffled,7,0.3,0.9832500219345093,0.6179869174957275
shuffled,7,0.4,0.9855000376701355,0.6420748233795166
shuffled,7,0.5,0.987250030040741,0.6275696754455566
shuffled,8,0.05,0.9378750324249268,0.5234153270721436
shuffled,8,0.1,0.9665000438690186,0.5002346038818359
shuffled,8,0.2,0.9783750176429749,0.5115630626678467
shuffled,8,0.3,0.983875036239624,0.5416431427001953
shuffled,8,0.4,0.9852500557899475,0.672736644744873
shuffled,8,0.5,0.9875000715255737,0.7260494232177734
shuffled,9,0.05,0.9428750276565552,0.5073347091674805
shuffled,9,0.1,0.9652500748634338,1.240743637084961
shuffled,9,0.2,0.9796250462532043,0.6800076961517334
shuffled,9,0.3,0.9827500581741333,0.6106705665588379
shuffled,9,0.4,0.9848750233650208,0.6619629859924316
shuffled,9,0.5,0.987000048160553,0.6617751121520996
