mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9509750366210937,0.01436247832321307,0.004541814434614929,0.9407007385654754,0.961249334676712,10
non-shuffled,0.1,0.9634375512599945,0.0072082731060027485,0.0022794561011505025,0.9582810633133655,0.9685940392066236,10
non-shuffled,0.2,0.9779250502586365,0.002836525573160676,0.0008969881452502313,0.9758959221008635,0.9799541784164095,10
non-shuffled,0.3,0.9825250446796417,0.0011483738439401646,0.0003631476952213671,0.9817035475197228,0.9833465418395607,10
non-shuffled,0.4,0.9836250424385071,0.0008270588297289637,0.0002615389660896905,0.9830334001930019,0.9842166846840124,10
non-shuffled,0.5,0.9856750428676605,0.000464720797396585,0.00014695761958228562,0.9853426016358865,0.9860074840994345,10
shuffled,0.05,0.9364125430583954,0.007323627103128092,0.002315934237962563,0.9311735358332893,0.9416515502835014,10
shuffled,0.1,0.9651750445365905,0.003195151634534574,0.0010103956634739165,0.9628893707491463,0.9674607183240348,10
shuffled,0.2,0.979000037908554,0.001181457965092676,0.0003736098129440562,0.97815487379409,0.9798452020230181,10
shuffled,0.3,0.9836875438690186,0.0007412724080716831,0.0002344109176144302,0.9831572695326859,0.9842178182053513,10
shuffled,0.4,0.9853875517845154,0.0006220805139514421,0.0001967191312094709,0.9849425421927794,0.9858325613762514,10
shuffled,0.5,0.9865250527858734,0.0008636218920292412,0.0002731012215996418,0.9859072549012476,0.9871428506704992,10
