mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9315000176429749,0.7472879886627197
non-shuffled,0,0.1,0.9663750529289246,0.5387840270996094
non-shuffled,0,0.2,0.9781250357627869,0.5145697593688965
non-shuffled,0,0.3,0.9847500324249268,0.5865507125854492
non-shuffled,0,0.4,0.9855000376701355,0.7068066596984863
non-shuffled,0,0.5,0.986625075340271,0.7717819213867188
non-shuffled,1,0.05,0.9227500557899475,0.6139740943908691
non-shuffled,1,0.1,0.9622500538825989,0.569206953048706
non-shuffled,1,0.2,0.9811250567436218,2.1216378211975098
non-shuffled,1,0.3,0.984125018119812,0.7993156909942627
non-shuffled,1,0.4,0.9865000247955322,0.7704770565032959
non-shuffled,1,0.5,0.9876250624656677,0.7002115249633789
non-shuffled,2,0.05,0.921000063419342,0.5217020511627197
non-shuffled,2,0.1,0.9612500667572021,0.5495913028717041
non-shuffled,2,0.2,0.9788750410079956,0.5879957675933838
non-shuffled,2,0.3,0.984125018119812,0.6824469566345215
non-shuffled,2,0.4,0.9862500429153442,0.713017463684082
non-shuffled,2,0.5,0.987250030040741,0.736088752746582
non-shuffled,3,0.05,0.9337500333786011,0.5587437152862549
non-shuffled,3,0.1,0.9632500410079956,0.39490771293640137
non-shuffled,3,0.2,0.9802500605583191,0.5937454700469971
non-shuffled,3,0.3,0.9830000400543213,1.0291175842285156
non-shuffled,3,0.4,0.9855000376701355,0.5395839214324951
non-shuffled,3,0.5,0.9881250262260437,0.46778225898742676
non-shuffled,4,0.05,0.9342500567436218,0.33734655380249023
non-shuffled,4,0.1,0.9603750705718994,0.3325381278991699
non-shuffled,4,0.2,0.9792500734329224,0.3695356845855713
non-shuffled,4,0.3,0.9847500324249268,0.36884450912475586
non-shuffled,4,0.4,0.9862500429153442,0.4306175708770752
non-shuffled,4,0.5,0.9865000247955322,0.44229984283447266
non-shuffled,5,0.05,0.9330000281333923,0.3309643268585205
non-shuffled,5,0.1,0.9647500514984131,0.3615398406982422
non-shuffled,5,0.2,0.9788750410079956,0.36945295333862305
non-shuffled,5,0.3,0.983500063419342,0.3900730609893799
non-shuffled,5,0.4,0.9855000376701355,0.4260284900665283
non-shuffled,5,0.5,0.9862500429153442,0.43141913414001465
non-shuffled,6,0.05,0.936750054359436,0.3280034065246582
non-shuffled,6,0.1,0.9635000228881836,0.34734416007995605
non-shuffled,6,0.2,0.9768750667572021,0.3240342140197754
non-shuffled,6,0.3,0.983625054359436,0.36075925827026367
non-shuffled,6,0.4,0.984125018119812,0.42427968978881836
non-shuffled,6,0.5,0.987250030040741,0.43845677375793457
non-shuffled,7,0.05,0.9261250495910645,0.33386683464050293
non-shuffled,7,0.1,0.9647500514984131,0.33483004570007324
non-shuffled,7,0.2,0.9798750281333923,0.3374810218811035
non-shuffled,7,0.3,0.9842500686645508,0.32871365547180176
non-shuffled,7,0.4,0.9858750700950623,0.375408411026001
non-shuffled,7,0.5,0.9877500534057617,0.4038522243499756
non-shuffled,8,0.05,0.9390000700950623,0.28829407691955566
non-shuffled,8,0.1,0.9666250348091125,0.3030812740325928
non-shuffled,8,0.2,0.9761250615119934,0.33507466316223145
non-shuffled,8,0.3,0.9846250414848328,0.3575708866119385
non-shuffled,8,0.4,0.986625075340271,0.39533162117004395
non-shuffled,8,0.5,0.986750066280365,0.4479701519012451
non-shuffled,9,0.05,0.9268750548362732,0.34624338150024414
non-shuffled,9,0.1,0.9585000276565552,0.36279773712158203
non-shuffled,9,0.2,0.9771250486373901,0.33480334281921387
non-shuffled,9,0.3,0.984000027179718,0.3441286087036133
non-shuffled,9,0.4,0.9851250648498535,0.4064977169036865
non-shuffled,9,0.5,0.986875057220459,0.4242732524871826
shuffled,0,0.05,0.9320000410079956,0.46736717224121094
shuffled,0,0.1,0.96812504529953,0.32866907119750977
shuffled,0,0.2,0.9810000658035278,0.39533472061157227
shuffled,0,0.3,0.9846250414848328,0.4084620475769043
shuffled,0,0.4,0.9861250519752502,0.45470595359802246
shuffled,0,0.5,0.9861250519752502,0.4361574649810791
shuffled,1,0.05,0.9273750185966492,0.3090782165527344
shuffled,1,0.1,0.9568750262260437,0.3443729877471924
shuffled,1,0.2,0.9778750538825989,0.34131550788879395
shuffled,1,0.3,0.9831250309944153,0.3589153289794922
shuffled,1,0.4,0.984125018119812,0.38216209411621094
shuffled,1,0.5,0.9863750338554382,0.40993404388427734
shuffled,2,0.05,0.9356250166893005,0.2886223793029785
shuffled,2,0.1,0.96812504529953,0.30590033531188965
shuffled,2,0.2,0.9785000681877136,0.32035255432128906
shuffled,2,0.3,0.9831250309944153,0.32150816917419434
shuffled,2,0.4,0.9845000505447388,0.36504650115966797
shuffled,2,0.5,0.9865000247955322,0.41132497787475586
shuffled,3,0.05,0.9420000314712524,0.2880284786224365
shuffled,3,0.1,0.971750020980835,0.2966923713684082
shuffled,3,0.2,0.9775000214576721,0.3256340026855469
shuffled,3,0.3,0.9832500219345093,0.34023475646972656
shuffled,3,0.4,0.9863750338554382,0.3791341781616211
shuffled,3,0.5,0.9858750700950623,0.43306660652160645
shuffled,4,0.05,0.9362500309944153,0.3223104476928711
shuffled,4,0.1,0.9643750190734863,0.3383667469024658
shuffled,4,0.2,0.9810000658035278,0.32731175422668457
shuffled,4,0.3,0.98375004529953,0.34701967239379883
shuffled,4,0.4,0.986750066280365,0.36241888999938965
shuffled,4,0.5,0.986875057220459,0.40416741371154785
shuffled,5,0.05,0.9377500414848328,0.3050410747528076
shuffled,5,0.1,0.971250057220459,0.31102442741394043
shuffled,5,0.2,0.9815000295639038,0.33109593391418457
shuffled,5,0.3,0.9853750467300415,0.33135080337524414
shuffled,5,0.4,0.9843750596046448,0.3727295398712158
shuffled,5,0.5,0.986625075340271,0.4054834842681885
shuffled,6,0.05,0.9457500576972961,0.31161975860595703
shuffled,6,0.1,0.9686250686645508,0.31597328186035156
shuffled,6,0.2,0.9803750514984131,0.3172483444213867
shuffled,6,0.3,0.9847500324249268,0.3375704288482666
shuffled,6,0.4,0.9855000376701355,0.3682410717010498
shuffled,6,0.5,0.9862500429153442,0.42051053047180176
shuffled,7,0.05,0.9420000314712524,0.28447651863098145
shuffled,7,0.1,0.9668750166893005,0.28254032135009766
shuffled,7,0.2,0.9795000553131104,0.3125436305999756
shuffled,7,0.3,0.984125018119812,0.31928277015686035
shuffled,7,0.4,0.9858750700950623,0.3755068778991699
shuffled,7,0.5,0.9855000376701355,0.40883874893188477
shuffled,8,0.05,0.9410000443458557,0.2841801643371582
shuffled,8,0.1,0.9698750376701355,0.30052614212036133
shuffled,8,0.2,0.9795000553131104,0.2993464469909668
shuffled,8,0.3,0.984125018119812,0.3251168727874756
shuffled,8,0.4,0.9862500429153442,0.3764686584472656
shuffled,8,0.5,0.9861250519752502,0.40720582008361816
shuffled,9,0.05,0.9325000643730164,0.28798389434814453
shuffled,9,0.1,0.9638750553131104,0.30582356452941895
shuffled,9,0.2,0.9772500395774841,0.31427836418151855
shuffled,9,0.3,0.9826250672340393,0.32715797424316406
shuffled,9,0.4,0.9850000739097595,0.37724971771240234
shuffled,9,0.5,0.9865000247955322,0.40390658378601074
