mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9305000483989716,0.006016468495406694,0.0019025743916131447,0.9261961261111211,0.9348039706868221,10
non-shuffled,0.1,0.9631625473499298,0.0026134319336573787,0.0008264397420175378,0.9612930107678576,0.965032083932002,10
non-shuffled,0.2,0.978650051355362,0.0015907697334731703,0.0005030455590634213,0.9775120832406847,0.9797880194700392,10
non-shuffled,0.3,0.9840750396251678,0.0005719070233781134,0.0001808528803722003,0.9836659219864111,0.9844841572639246,10
non-shuffled,0.4,0.9857250452041626,0.0007495441979143241,0.00023702668723732934,0.9851888535858411,0.9862612368224841,10
non-shuffled,0.5,0.9871000468730926,0.0006032283866283535,0.00019075756510142562,0.9866685232808298,0.9875315704653554,10
shuffled,0.05,0.9372250378131867,0.005607167497991526,0.0017731420515720829,0.9332139118204651,0.9412361638059082,10
shuffled,0.1,0.9669750392436981,0.004387407711408299,0.001387420139183694,0.9638364768379557,0.9701136016494405,10
shuffled,0.2,0.9794000506401062,0.0015588057771618311,0.0004929376685660267,0.9782849481623189,0.9805151531178934,10
shuffled,0.3,0.9838875353336334,0.0008689253348654215,0.00027477831747992504,0.9832659435945492,0.9845091270727175,10
shuffled,0.4,0.985487550497055,0.0009325367463246501,0.0002948940120188548,0.9848204538954838,0.9861546470986263,10
shuffled,0.5,0.9862750470638275,0.0003944056987534739,0.000124722033021121,0.985992906223463,0.986557187904192,10
