mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.937125027179718,0.8051679134368896
non-shuffled,0,0.1,0.9675000309944153,0.527843713760376
non-shuffled,0,0.2,0.9807500243186951,0.5954921245574951
non-shuffled,0,0.3,0.9845000505447388,0.5934693813323975
non-shuffled,0,0.4,0.9865000247955322,0.5842411518096924
non-shuffled,0,0.5,0.9880000352859497,0.6983447074890137
non-shuffled,1,0.05,0.9435000419616699,0.5451505184173584
non-shuffled,1,0.1,0.9670000672340393,0.580918550491333
non-shuffled,1,0.2,0.9771250486373901,0.5560612678527832
non-shuffled,1,0.3,0.9847500324249268,0.5765409469604492
non-shuffled,1,0.4,0.986750066280365,0.7099761962890625
non-shuffled,1,0.5,0.9863750338554382,0.7271757125854492
non-shuffled,2,0.05,0.9447500705718994,0.5220732688903809
non-shuffled,2,0.1,0.9698750376701355,0.5749366283416748
non-shuffled,2,0.2,0.9817500710487366,0.6787889003753662
non-shuffled,2,0.3,0.9863750338554382,0.7287657260894775
non-shuffled,2,0.4,0.986875057220459,0.7420976161956787
non-shuffled,2,0.5,0.9876250624656677,0.7228100299835205
non-shuffled,3,0.05,0.9461250305175781,0.5647275447845459
non-shuffled,3,0.1,0.9692500233650208,0.8002119064331055
non-shuffled,3,0.2,0.9792500734329224,0.998018741607666
non-shuffled,3,0.3,0.9848750233650208,0.7023932933807373
non-shuffled,3,0.4,0.9860000610351562,0.6644246578216553
non-shuffled,3,0.5,0.987375020980835,0.6955418586730957
non-shuffled,4,0.05,0.9391250610351562,0.49497294425964355
non-shuffled,4,0.1,0.9690000414848328,0.49132323265075684
non-shuffled,4,0.2,0.9801250696182251,0.5702850818634033
non-shuffled,4,0.3,0.9843750596046448,0.64505934715271
non-shuffled,4,0.4,0.986625075340271,0.6909162998199463
non-shuffled,4,0.5,0.987250030040741,0.67411208152771
non-shuffled,5,0.05,0.936625063419342,0.5233421325683594
non-shuffled,5,0.1,0.9622500538825989,0.5123875141143799
non-shuffled,5,0.2,0.9795000553131104,0.4969320297241211
non-shuffled,5,0.3,0.9853750467300415,0.5463738441467285
non-shuffled,5,0.4,0.9862500429153442,0.6138300895690918
non-shuffled,5,0.5,0.9885000586509705,0.6173288822174072
non-shuffled,6,0.05,0.9443750381469727,0.4699544906616211
non-shuffled,6,0.1,0.9691250324249268,0.49631690979003906
non-shuffled,6,0.2,0.9790000319480896,0.547435998916626
non-shuffled,6,0.3,0.983500063419342,0.5832982063293457
non-shuffled,6,0.4,0.9856250286102295,0.5863885879516602
non-shuffled,6,0.5,0.9862500429153442,0.6637122631072998
non-shuffled,7,0.05,0.9428750276565552,0.4627082347869873
non-shuffled,7,0.1,0.9736250638961792,0.47056007385253906
non-shuffled,7,0.2,0.9798750281333923,1.293001413345337
non-shuffled,7,0.3,0.9843750596046448,0.6888437271118164
non-shuffled,7,0.4,0.9863750338554382,0.6118307113647461
non-shuffled,7,0.5,0.9861250519752502,0.652728796005249
non-shuffled,8,0.05,0.9431250691413879,0.481525182723999
non-shuffled,8,0.1,0.9673750400543213,0.5143430233001709
non-shuffled,8,0.2,0.9818750619888306,0.5557076930999756
non-shuffled,8,0.3,0.9845000505447388,0.6105570793151855
non-shuffled,8,0.4,0.9848750233650208,0.6215610504150391
non-shuffled,8,0.5,0.9865000247955322,0.6165134906768799
non-shuffled,9,0.05,0.9488750696182251,0.5186290740966797
non-shuffled,9,0.1,0.9647500514984131,0.5359494686126709
non-shuffled,9,0.2,0.9822500348091125,0.5325009822845459
non-shuffled,9,0.3,0.9846250414848328,0.5465753078460693
non-shuffled,9,0.4,0.987375020980835,0.641991376876831
non-shuffled,9,0.5,0.987000048160553,0.5930359363555908
shuffled,0,0.05,0.9382500648498535,0.6890764236450195
shuffled,0,0.1,0.9688750505447388,0.5326166152954102
shuffled,0,0.2,0.9801250696182251,0.5218169689178467
shuffled,0,0.3,0.9843750596046448,0.5606663227081299
shuffled,0,0.4,0.9852500557899475,0.626185417175293
shuffled,0,0.5,0.986875057220459,0.6284558773040771
shuffled,1,0.05,0.9406250715255737,0.4923825263977051
shuffled,1,0.1,0.9655000567436218,0.5598483085632324
shuffled,1,0.2,0.9783750176429749,0.4910552501678467
shuffled,1,0.3,0.9812500476837158,0.5173962116241455
shuffled,1,0.4,0.9862500429153442,0.6262824535369873
shuffled,1,0.5,0.987000048160553,0.6661081314086914
shuffled,2,0.05,0.9382500648498535,0.4719414710998535
shuffled,2,0.1,0.9687500596046448,0.5093283653259277
shuffled,2,0.2,0.9747500419616699,0.5411944389343262
shuffled,2,0.3,0.9843750596046448,0.5989034175872803
shuffled,2,0.4,0.9855000376701355,0.6195571422576904
shuffled,2,0.5,0.987375020980835,0.6577894687652588
shuffled,3,0.05,0.9382500648498535,0.495438814163208
shuffled,3,0.1,0.96812504529953,0.5335330963134766
shuffled,3,0.2,0.9790000319480896,0.5322089195251465
shuffled,3,0.3,0.984125018119812,0.6126813888549805
shuffled,3,0.4,0.9863750338554382,1.3418924808502197
shuffled,3,0.5,0.986750066280365,0.7086143493652344
shuffled,4,0.05,0.9295000433921814,0.5566487312316895
shuffled,4,0.1,0.968375027179718,0.5099365711212158
shuffled,4,0.2,0.9825000762939453,0.5345845222473145
shuffled,4,0.3,0.9852500557899475,0.56453537940979
shuffled,4,0.4,0.9881250262260437,0.5794486999511719
shuffled,4,0.5,0.9878750443458557,0.6205294132232666
shuffled,5,0.05,0.937250018119812,0.4447340965270996
shuffled,5,0.1,0.9698750376701355,0.49465084075927734
shuffled,5,0.2,0.9800000190734863,0.5118420124053955
shuffled,5,0.3,0.9828750491142273,0.5451593399047852
shuffled,5,0.4,0.9855000376701355,0.6291279792785645
shuffled,5,0.5,0.9862500429153442,0.6812293529510498
