mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9426500499248505,0.003922338609157452,0.0012403523759354522,0.939844177913165,0.9454559219365359,10
non-shuffled,0.1,0.9679750442504883,0.0030594784711792397,0.0009674920421176216,0.9657864251974075,0.9701636633035691,10
non-shuffled,0.2,0.9801500499248504,0.0015665789274714416,0.0004953957545233479,0.9790293868703079,0.981270712979393,10
non-shuffled,0.3,0.984725046157837,0.0007472087684777446,0.00023628815960390984,0.9841905252050913,0.9852595671105826,10
non-shuffled,0.4,0.9863250434398652,0.0007002036758672753,0.00022142384417628654,0.985824147904735,0.9868259389749953,10
non-shuffled,0.5,0.9871000409126282,0.0007966981231527743,0.0002519380676744094,0.9865301174082428,0.9876699644170135,10
shuffled,0.05,0.9340375483036041,0.007693128991705647,0.0024327809947264456,0.9285342153507283,0.9395408812564798,10
shuffled,0.1,0.9671750485897064,0.001910491613007826,0.00060415049477537,0.9658083652205084,0.9685417319589044,10
shuffled,0.2,0.9793000459671021,0.002316314024204994,0.000732482809267817,0.9776430547334494,0.9809570372007548,10
shuffled,0.3,0.9837000489234924,0.0013568260353421133,0.00042906606602971964,0.9827294340488856,0.9846706637980992,10
shuffled,0.4,0.9858250379562378,0.0012335018294707418,0.00039006752791121525,0.9849426439039767,0.9867074320084989,10
shuffled,0.5,0.9867125451564789,0.0010087347703061377,0.0003189899429174181,0.9859909397722298,0.9874341505407279,10
