mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9530000686645508,0.5161023139953613
non-shuffled,0,0.1,0.9718750715255737,0.36166930198669434
non-shuffled,0,0.2,0.9827500581741333,0.414137601852417
non-shuffled,0,0.3,0.986750066280365,0.44904303550720215
non-shuffled,0,0.4,0.986875057220459,0.4467029571533203
non-shuffled,0,0.5,0.9883750677108765,0.46817874908447266
non-shuffled,1,0.05,0.9501250386238098,0.32837700843811035
non-shuffled,1,0.1,0.9706250429153442,0.33846545219421387
non-shuffled,1,0.2,0.9823750257492065,0.3528320789337158
non-shuffled,1,0.3,0.986625075340271,0.38549041748046875
non-shuffled,1,0.4,0.9887500405311584,0.392458438873291
non-shuffled,1,0.5,0.9886250495910645,0.4289705753326416
non-shuffled,2,0.05,0.9585000276565552,0.336651086807251
non-shuffled,2,0.1,0.9760000705718994,0.33667922019958496
non-shuffled,2,0.2,0.9828750491142273,0.3278374671936035
non-shuffled,2,0.3,0.9865000247955322,0.34850645065307617
non-shuffled,2,0.4,0.9876250624656677,0.3894355297088623
non-shuffled,2,0.5,0.9890000224113464,0.429049015045166
non-shuffled,3,0.05,0.9550000429153442,0.31293368339538574
non-shuffled,3,0.1,0.971000075340271,0.3074655532836914
non-shuffled,3,0.2,0.9825000762939453,0.3573794364929199
non-shuffled,3,0.3,0.9856250286102295,0.3810241222381592
non-shuffled,3,0.4,0.9863750338554382,0.38753175735473633
non-shuffled,3,0.5,0.9877500534057617,0.48465943336486816
non-shuffled,4,0.05,0.9357500672340393,0.35877108573913574
non-shuffled,4,0.1,0.9675000309944153,0.3282015323638916
non-shuffled,4,0.2,0.9848750233650208,0.37047457695007324
non-shuffled,4,0.3,0.9853750467300415,0.4046659469604492
non-shuffled,4,0.4,0.9875000715255737,0.49845027923583984
non-shuffled,4,0.5,0.9891250729560852,0.524461030960083
non-shuffled,5,0.05,0.9485000371932983,0.35571837425231934
non-shuffled,5,0.1,0.9647500514984131,0.3751034736633301
non-shuffled,5,0.2,0.9807500243186951,0.40721917152404785
non-shuffled,5,0.3,0.9862500429153442,0.397289514541626
