mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.949675053358078,0.006784934295772582,0.0021455846149231912,0.9448214037529199,0.9545287029632361,10
non-shuffled,0.1,0.970837551355362,0.0032059335472020174,0.0010138052036301308,0.9685441646522314,0.9731309380584926,10
non-shuffled,0.2,0.9828625440597534,0.0013849943049288147,0.00043797365499368226,0.981871778818968,0.9838533093005387,10
non-shuffled,0.3,0.9863500475883484,0.0005426313518512075,0.0001715951001666041,0.9859618725033958,0.986738222673301,10
non-shuffled,0.4,0.9873250544071197,0.0009227023980726387,0.00029178411804088963,0.9866649928744864,0.987985115939753,10
non-shuffled,0.5,0.9886375486850738,0.0005726737082683771,0.00018109532742228724,0.9882278825929861,0.9890472147771615,10
shuffled,0.05,0.9410500466823578,0.007542989813428754,0.00238530281778834,0.9356541168275219,0.9464459765371938,10
shuffled,0.1,0.971425038576126,0.0018784190448495486,0.0005940082581962552,0.9700812985400529,0.9727687786121992,10
shuffled,0.2,0.9832000494003296,0.0007865965617057912,0.00024874367346474816,0.9826373521176867,0.9837627466829725,10
shuffled,0.3,0.9867750465869903,0.0007187887985513958,0.00022730097600383485,0.9862608560559996,0.9872892371179811,10
shuffled,0.4,0.9884000480175018,0.0008494332030788509,0.000268614364190152,0.9877924001095035,0.9890076959255001,10
shuffled,0.5,0.9886000454425812,0.0008514647729701807,0.00026925680299839434,0.9879909442370312,0.9892091466481312,10
