mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9316250681877136,0.8030555248260498
non-shuffled,0,0.1,0.9698750376701355,0.6266610622406006
non-shuffled,0,0.2,0.9823750257492065,0.6246016025543213
non-shuffled,0,0.3,0.9862500429153442,1.8409008979797363
non-shuffled,0,0.4,0.9888750314712524,0.7586004734039307
non-shuffled,0,0.5,0.9893750548362732,0.7066361904144287
non-shuffled,1,0.05,0.9270000457763672,0.5629241466522217
non-shuffled,1,0.1,0.9728750586509705,0.5594666004180908
non-shuffled,1,0.2,0.9805000424385071,0.5758512020111084
non-shuffled,1,0.3,0.986625075340271,0.6200473308563232
non-shuffled,1,0.4,0.9887500405311584,0.6963536739349365
non-shuffled,1,0.5,0.9895000457763672,0.7295823097229004
non-shuffled,2,0.05,0.9236250519752502,0.5073914527893066
non-shuffled,2,0.1,0.971375048160553,0.557013988494873
non-shuffled,2,0.2,0.9807500243186951,0.6006045341491699
non-shuffled,2,0.3,0.9865000247955322,0.6364216804504395
non-shuffled,2,0.4,0.9877500534057617,0.6992478370666504
non-shuffled,2,0.5,0.9890000224113464,0.7312028408050537
non-shuffled,3,0.05,0.9298750162124634,0.5436451435089111
non-shuffled,3,0.1,0.9596250653266907,0.5806536674499512
non-shuffled,3,0.2,0.983375072479248,0.5974202156066895
non-shuffled,3,0.3,0.9862500429153442,0.630760669708252
non-shuffled,3,0.4,0.9887500405311584,0.7374100685119629
non-shuffled,3,0.5,0.9885000586509705,0.7635514736175537
non-shuffled,4,0.05,0.9361250400543213,0.5141589641571045
non-shuffled,4,0.1,0.9686250686645508,1.248781442642212
non-shuffled,4,0.2,0.9850000739097595,0.6254193782806396
non-shuffled,4,0.3,0.986750066280365,0.7602849006652832
non-shuffled,4,0.4,0.987125039100647,0.6906993389129639
non-shuffled,4,0.5,0.9896250367164612,0.7340610027313232
non-shuffled,5,0.05,0.9307500720024109,0.47417235374450684
non-shuffled,5,0.1,0.9640000462532043,0.5240621566772461
non-shuffled,5,0.2,0.9788750410079956,0.5652163028717041
non-shuffled,5,0.3,0.9862500429153442,0.6619439125061035
non-shuffled,5,0.4,0.9883750677108765,0.683258056640625
non-shuffled,5,0.5,0.9887500405311584,0.7420485019683838
non-shuffled,6,0.05,0.9356250166893005,0.5425095558166504
non-shuffled,6,0.1,0.9630000591278076,0.5529074668884277
non-shuffled,6,0.2,0.9822500348091125,0.6407601833343506
non-shuffled,6,0.3,0.9861250519752502,0.733741283416748
non-shuffled,6,0.4,0.987125039100647,0.7215642929077148
non-shuffled,6,0.5,0.9891250729560852,0.7601189613342285
non-shuffled,7,0.05,0.9376250505447388,0.5245339870452881
non-shuffled,7,0.1,0.9690000414848328,0.5375101566314697
non-shuffled,7,0.2,0.9823750257492065,0.5850582122802734
non-shuffled,7,0.3,0.9853750467300415,0.6462185382843018
non-shuffled,7,0.4,0.987125039100647,0.6790523529052734
non-shuffled,7,0.5,0.9878750443458557,1.5679514408111572
non-shuffled,8,0.05,0.9196250438690186,0.5498740673065186
non-shuffled,8,0.1,0.9668750166893005,0.519404411315918
non-shuffled,8,0.2,0.9816250205039978,0.6859345436096191
non-shuffled,8,0.3,0.9857500195503235,0.7537755966186523
non-shuffled,8,0.4,0.9882500171661377,0.7075262069702148
non-shuffled,8,0.5,0.9892500638961792,0.778728723526001
non-shuffled,9,0.05,0.9273750185966492,0.5951359272003174
non-shuffled,9,0.1,0.9675000309944153,0.5609128475189209
non-shuffled,9,0.2,0.9805000424385071,0.6297907829284668
non-shuffled,9,0.3,0.9880000352859497,0.6207470893859863
non-shuffled,9,0.4,0.987250030040741,0.6966779232025146
non-shuffled,9,0.5,0.9892500638961792,0.6550202369689941
shuffled,0,0.05,0.9485000371932983,0.9514977931976318
shuffled,0,0.1,0.9698750376701355,0.5430235862731934
shuffled,0,0.2,0.9846250414848328,0.5647318363189697
shuffled,0,0.3,0.987000048160553,0.5121819972991943
shuffled,0,0.4,0.9875000715255737,0.6353542804718018
shuffled,0,0.5,0.9882500171661377,0.6433737277984619
shuffled,1,0.05,0.9386250376701355,0.48544740676879883
shuffled,1,0.1,0.9720000624656677,0.5513677597045898
shuffled,1,0.2,0.9820000529289246,0.5725224018096924
shuffled,1,0.3,0.986875057220459,0.5564274787902832
shuffled,1,0.4,0.9881250262260437,0.6844794750213623
shuffled,1,0.5,0.9890000224113464,0.6698803901672363
shuffled,2,0.05,0.9397500157356262,0.4766049385070801
shuffled,2,0.1,0.971750020980835,0.5996317863464355
shuffled,2,0.2,0.9831250309944153,0.532102108001709
shuffled,2,0.3,0.9878750443458557,0.630713701248169
shuffled,2,0.4,0.9877500534057617,0.7831199169158936
shuffled,2,0.5,0.9887500405311584,1.4873075485229492
shuffled,3,0.05,0.9417500495910645,0.556586742401123
shuffled,3,0.1,0.96812504529953,0.5968165397644043
shuffled,3,0.2,0.9843750596046448,0.6158361434936523
shuffled,3,0.3,0.987125039100647,0.6410629749298096
shuffled,3,0.4,0.9885000586509705,0.7264478206634521
shuffled,3,0.5,0.9891250729560852,0.7294807434082031
shuffled,4,0.05,0.9420000314712524,0.49434733390808105
shuffled,4,0.1,0.9745000600814819,0.5449879169464111
shuffled,4,0.2,0.983500063419342,0.5887043476104736
shuffled,4,0.3,0.9876250624656677,0.6903808116912842
shuffled,4,0.4,0.9882500171661377,0.6255414485931396
shuffled,4,0.5,0.9890000224113464,0.7045943737030029
shuffled,5,0.05,0.9341250658035278,0.5091888904571533
shuffled,5,0.1,0.9743750691413879,0.5427753925323486
shuffled,5,0.2,0.9816250205039978,0.5413804054260254
shuffled,5,0.3,0.9862500429153442,0.6266939640045166
shuffled,5,0.4,0.9875000715255737,0.6361312866210938
shuffled,5,0.5,0.9877500534057617,0.7325150966644287
shuffled,6,0.05,0.9452500343322754,0.5015454292297363
shuffled,6,0.1,0.9700000286102295,0.5053834915161133
shuffled,6,0.2,0.983500063419342,0.5738170146942139
shuffled,6,0.3,0.987125039100647,0.641089677810669
shuffled,6,0.4,0.9880000352859497,1.5933260917663574
shuffled,6,0.5,0.9905000329017639,0.7604362964630127
shuffled,7,0.05,0.9391250610351562,0.5288553237915039
shuffled,7,0.1,0.9741250276565552,0.5446746349334717
shuffled,7,0.2,0.9831250309944153,0.5243124961853027
shuffled,7,0.3,0.9875000715255737,0.5321626663208008
