mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9299250423908234,0.0057216076132556234,0.0018093311935647577,0.9258320508713256,0.9340180339103212,10
non-shuffled,0.1,0.9672750473022461,0.0040478014445139735,0.0012800272080783833,0.9643794245848435,0.9701706700196487,10
non-shuffled,0.2,0.9817625403404235,0.001720444574953814,0.0005440523444934329,0.9805318084323602,0.9829932722484869,10
non-shuffled,0.3,0.9863875448703766,0.0006958474826108138,0.00022004629491445812,0.9858897655681763,0.9868853241725769,10
non-shuffled,0.4,0.9879375398159027,0.0007436076671296799,0.00023514939136941112,0.9874055949358757,0.9884694846959298,10
non-shuffled,0.5,0.9890250504016876,0.0005263882218442327,0.00016645857145137737,0.9886484949519605,0.9894016058514148,10
shuffled,0.05,0.9401625394821167,0.004527324402290183,0.0014316656817697406,0.9369238867052889,0.9434011922589445,10
shuffled,0.1,0.9716000497341156,0.002172111418563847,0.00068688194143211,0.9700462148302699,0.9731538846379614,10
shuffled,0.2,0.9836125433444977,0.001225384846600237,0.00038750071255127855,0.9827359558319887,0.9844891308570066,10
shuffled,0.3,0.9870875477790833,0.0005104860895798379,0.00016142987569050352,0.9867223680294913,0.9874527275286752,10
shuffled,0.4,0.9880500435829163,0.0004090868897936142,0.00012936463326621098,0.9877574004511531,0.9883426867146794,10
shuffled,0.5,0.9888500392436981,0.0007541566987454106,0.00023848528807089462,0.9883105480410532,0.9893895304463429,10
