mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9307500720024109,0.47150683403015137
non-shuffled,0,0.1,0.9723750352859497,0.34294605255126953
non-shuffled,0,0.2,0.983875036239624,0.3312375545501709
non-shuffled,0,0.3,0.9847500324249268,0.3938126564025879
non-shuffled,0,0.4,0.987125039100647,0.38816237449645996
non-shuffled,0,0.5,0.9893750548362732,0.4110527038574219
non-shuffled,1,0.05,0.9423750638961792,0.2978687286376953
non-shuffled,1,0.1,0.9726250171661377,0.3190464973449707
non-shuffled,1,0.2,0.984000027179718,0.3182101249694824
non-shuffled,1,0.3,0.987125039100647,0.370253324508667
non-shuffled,1,0.4,0.9886250495910645,0.4073607921600342
non-shuffled,1,0.5,0.9888750314712524,0.44246935844421387
non-shuffled,2,0.05,0.937250018119812,0.31655168533325195
non-shuffled,2,0.1,0.9691250324249268,0.3126554489135742
non-shuffled,2,0.2,0.984125018119812,0.3254849910736084
non-shuffled,2,0.3,0.986750066280365,0.3229026794433594
non-shuffled,2,0.4,0.9878750443458557,0.35659337043762207
non-shuffled,2,0.5,0.9882500171661377,0.42496490478515625
non-shuffled,3,0.05,0.9265000224113464,0.31864261627197266
non-shuffled,3,0.1,0.9743750691413879,0.29523229598999023
non-shuffled,3,0.2,0.9821250438690186,0.3325464725494385
non-shuffled,3,0.3,0.987000048160553,0.3289797306060791
non-shuffled,3,0.4,0.9897500276565552,0.3652994632720947
non-shuffled,3,0.5,0.9900000691413879,0.4151182174682617
non-shuffled,4,0.05,0.9317500591278076,0.33872437477111816
non-shuffled,4,0.1,0.9726250171661377,0.36986541748046875
non-shuffled,4,0.2,0.9815000295639038,0.3508579730987549
non-shuffled,4,0.3,0.986750066280365,0.6047673225402832
non-shuffled,4,0.4,0.9880000352859497,0.649965763092041
non-shuffled,4,0.5,0.9890000224113464,0.7012693881988525
non-shuffled,5,0.05,0.9427500367164612,0.5147073268890381
non-shuffled,5,0.1,0.9721250534057617,0.5231082439422607
non-shuffled,5,0.2,0.9820000529289246,0.5810291767120361
non-shuffled,5,0.3,0.986625075340271,0.6337823867797852
non-shuffled,5,0.4,0.9875000715255737,0.7880387306213379
non-shuffled,5,0.5,0.9887500405311584,0.8467097282409668
non-shuffled,6,0.05,0.9352500438690186,0.49202632904052734
non-shuffled,6,0.1,0.9722500443458557,0.5124294757843018
non-shuffled,6,0.2,0.9845000505447388,0.5682976245880127
non-shuffled,6,0.3,0.9875000715255737,0.55936598777771
non-shuffled,6,0.4,0.9877500534057617,0.7356936931610107
non-shuffled,6,0.5,0.9888750314712524,0.6463809013366699
non-shuffled,7,0.05,0.9388750195503235,0.49196839332580566
non-shuffled,7,0.1,0.9723750352859497,0.5196187496185303
non-shuffled,7,0.2,0.9851250648498535,0.7071864604949951
non-shuffled,7,0.3,0.9863750338554382,0.6731002330780029
non-shuffled,7,0.4,0.9881250262260437,0.7732419967651367
non-shuffled,7,0.5,0.9896250367164612,0.717890739440918
non-shuffled,8,0.05,0.9486250281333923,0.5245552062988281
non-shuffled,8,0.1,0.9725000262260437,0.5709719657897949
non-shuffled,8,0.2,0.9827500581741333,0.6197752952575684
non-shuffled,8,0.3,0.9861250519752502,1.8719346523284912
non-shuffled,8,0.4,0.9878750443458557,0.8807196617126465
non-shuffled,8,0.5,0.9887500405311584,0.7458529472351074
non-shuffled,9,0.05,0.9462500214576721,0.5380866527557373
non-shuffled,9,0.1,0.9703750610351562,0.5907478332519531
non-shuffled,9,0.2,0.983625054359436,0.5479340553283691
non-shuffled,9,0.3,0.986875057220459,0.5981709957122803
non-shuffled,9,0.4,0.9893750548362732,0.7084517478942871
non-shuffled,9,0.5,0.9895000457763672,0.73164963722229
shuffled,0,0.05,0.9460000395774841,0.8079962730407715
shuffled,0,0.1,0.9726250171661377,1.7488946914672852
shuffled,0,0.2,0.9827500581741333,0.6536095142364502
shuffled,0,0.3,0.9857500195503235,0.5682492256164551
shuffled,0,0.4,0.987375020980835,0.625394344329834
shuffled,0,0.5,0.9883750677108765,0.66878342628479
shuffled,1,0.05,0.9418750405311584,0.5593132972717285
shuffled,1,0.1,0.9723750352859497,0.589914083480835
shuffled,1,0.2,0.983625054359436,0.5882055759429932
shuffled,1,0.3,0.9863750338554382,0.7000906467437744
shuffled,1,0.4,0.9881250262260437,0.823535680770874
shuffled,1,0.5,0.9878750443458557,0.6676754951477051
shuffled,2,0.05,0.9407500624656677,0.4952075481414795
shuffled,2,0.1,0.9695000648498535,0.6074197292327881
shuffled,2,0.2,0.9815000295639038,0.6690869331359863
shuffled,2,0.3,0.9863750338554382,0.682978630065918
shuffled,2,0.4,0.9878750443458557,0.6499848365783691
shuffled,2,0.5,0.9892500638961792,0.7370090484619141
shuffled,3,0.05,0.9387500286102295,0.5847063064575195
shuffled,3,0.1,0.9720000624656677,0.5695078372955322
shuffled,3,0.2,0.9812500476837158,0.614180326461792
shuffled,3,0.3,0.986875057220459,0.6491339206695557
shuffled,3,0.4,0.9888750314712524,0.7739975452423096
shuffled,3,0.5,0.9892500638961792,1.4634675979614258
shuffled,4,0.05,0.9482500553131104,0.4799463748931885
