mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9380375385284424,0.007113423230857085,0.0022494619370262135,0.9329489020950309,0.9431261749618539,10
non-shuffled,0.1,0.9720750391483307,0.0014095425770640738,0.00044573650025058864,0.9710667131315434,0.9730833651651181,10
non-shuffled,0.2,0.9833625435829163,0.0011996110416981232,0.0003793503198053293,0.9825043935397377,0.9842206936260949,10
non-shuffled,0.3,0.9865875542163849,0.0007501240496875797,0.00023721005246820685,0.9860509477970929,0.9871241606356769,10
non-shuffled,0.4,0.988200044631958,0.000821157637414899,0.00025967284522737807,0.9876126238451282,0.9887874654187878,10
non-shuffled,0.5,0.9891000390052795,0.0005164097272358792,0.00016330309439316668,0.9887306217405818,0.9894694562699773,10
shuffled,0.05,0.9425125479698181,0.003353299975173373,0.0010604065599333938,0.9401137416747273,0.9449113542649089,10
shuffled,0.1,0.9716500401496887,0.0020881538723399287,0.000660332234149465,0.970156264856344,0.9731438154430334,10
shuffled,0.2,0.9827375471591949,0.0009306730908904548,0.0002943046724242741,0.9820717837364089,0.9834033105819809,10
shuffled,0.3,0.9866125404834747,0.0005846675047641948,0.00018488809889422026,0.9861942945462346,0.9870307864207147,10
shuffled,0.4,0.9879125356674194,0.000645626309948543,0.00020416496567672232,0.98745068242791,0.9883743889069289,10
shuffled,0.5,0.9888250529766083,0.00043381903313215495,0.00013718562370296596,0.988514717535308,0.9891353884179086,10
