mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9701250195503235,0.5300850868225098
non-shuffled,0,0.1,0.9762500524520874,0.3871006965637207
non-shuffled,0,0.2,0.9780000448226929,0.45044541358947754
non-shuffled,0,0.3,0.9793750643730164,0.5342307090759277
non-shuffled,0,0.4,0.9745000600814819,0.6292657852172852
non-shuffled,0,0.5,0.9811250567436218,0.7080461978912354
non-shuffled,1,0.05,0.9698750376701355,0.3635885715484619
non-shuffled,1,0.1,0.9762500524520874,0.3746962547302246
non-shuffled,1,0.2,0.9793750643730164,0.42483019828796387
non-shuffled,1,0.3,0.9782500267028809,0.5283806324005127
non-shuffled,1,0.4,0.9665000438690186,0.6245172023773193
non-shuffled,1,0.5,0.9791250228881836,0.6983394622802734
non-shuffled,2,0.05,0.9701250195503235,0.3477010726928711
non-shuffled,2,0.1,0.9766250252723694,0.36664915084838867
non-shuffled,2,0.2,0.9785000681877136,0.4302349090576172
non-shuffled,2,0.3,0.9748750329017639,0.5283222198486328
non-shuffled,2,0.4,0.9793750643730164,0.6238632202148438
non-shuffled,2,0.5,0.9793750643730164,0.7007226943969727
non-shuffled,3,0.05,0.9698750376701355,0.3533205986022949
non-shuffled,3,0.1,0.9761250615119934,0.3780038356781006
non-shuffled,3,0.2,0.9791250228881836,0.43404603004455566
non-shuffled,3,0.3,0.9738750457763672,0.5271029472351074
non-shuffled,3,0.4,0.9746250510215759,0.624913215637207
non-shuffled,3,0.5,0.9655000567436218,0.7004914283752441
non-shuffled,4,0.05,0.9697500467300415,0.35230207443237305
non-shuffled,4,0.1,0.9776250720024109,0.37419629096984863
non-shuffled,4,0.2,0.9792500734329224,0.4226522445678711
non-shuffled,4,0.3,0.9788750410079956,0.5276467800140381
non-shuffled,4,0.4,0.9802500605583191,0.6179060935974121
non-shuffled,4,0.5,0.9796250462532043,0.6947276592254639
non-shuffled,5,0.05,0.9696250557899475,0.34894895553588867
non-shuffled,5,0.1,0.9768750667572021,0.37015724182128906
non-shuffled,5,0.2,0.9807500243186951,0.4290475845336914
non-shuffled,5,0.3,0.9791250228881836,0.5257320404052734
non-shuffled,5,0.4,0.9798750281333923,0.6207919120788574
non-shuffled,5,0.5,0.9758750200271606,0.6981933116912842
non-shuffled,6,0.05,0.9640000462532043,0.35193562507629395
non-shuffled,6,0.1,0.9702500700950623,0.38227319717407227
non-shuffled,6,0.2,0.9797500371932983,0.4301426410675049
non-shuffled,6,0.3,0.9803750514984131,0.518430233001709
non-shuffled,6,0.4,0.9802500605583191,0.631406307220459
non-shuffled,6,0.5,0.9590000510215759,0.702467679977417
non-shuffled,7,0.05,0.971625030040741,0.3516533374786377
non-shuffled,7,0.1,0.9758750200271606,0.3697810173034668
non-shuffled,7,0.2,0.9800000190734863,0.42861294746398926
non-shuffled,7,0.3,0.9780000448226929,0.5246045589447021
non-shuffled,7,0.4,0.9656250476837158,0.624497652053833
non-shuffled,7,0.5,0.9788750410079956,0.7062463760375977
non-shuffled,8,0.05,0.9725000262260437,0.3677551746368408
non-shuffled,8,0.1,0.9763750433921814,0.37814974784851074
non-shuffled,8,0.2,0.9776250720024109,0.42355990409851074
non-shuffled,8,0.3,0.9802500605583191,0.5132007598876953
non-shuffled,8,0.4,0.9795000553131104,0.6185262203216553
non-shuffled,8,0.5,0.9792500734329224,0.7096781730651855
non-shuffled,9,0.05,0.9672500491142273,0.35262179374694824
non-shuffled,9,0.1,0.9731250405311584,0.3662140369415283
non-shuffled,9,0.2,0.9797500371932983,0.42483091354370117
non-shuffled,9,0.3,0.9796250462532043,0.5290131568908691
non-shuffled,9,0.4,0.9795000553131104,0.6255669593811035
non-shuffled,9,0.5,0.96812504529953,0.7074422836303711
shuffled,0,0.05,0.8201250433921814,0.5618991851806641
shuffled,0,0.1,0.9270000457763672,0.41213059425354004
shuffled,0,0.2,0.9581250548362732,0.4703054428100586
shuffled,0,0.3,0.9666250348091125,0.5531682968139648
shuffled,0,0.4,0.9690000414848328,0.6350002288818359
shuffled,0,0.5,0.9732500314712524,0.71380615234375
shuffled,1,0.05,0.8656250238418579,0.36031365394592285
shuffled,1,0.1,0.9283750653266907,0.3874523639678955
shuffled,1,0.2,0.9486250281333923,0.4429190158843994
shuffled,1,0.3,0.971000075340271,0.5445470809936523
shuffled,1,0.4,0.9730000495910645,0.6253783702850342
shuffled,1,0.5,0.9747500419616699,0.6992526054382324
shuffled,2,0.05,0.8387500643730164,0.35715603828430176
shuffled,2,0.1,0.9135000705718994,0.374957799911499
shuffled,2,0.2,0.952125072479248,0.4241764545440674
shuffled,2,0.3,0.9702500700950623,0.5244789123535156
shuffled,2,0.4,0.9743750691413879,0.6263227462768555
shuffled,2,0.5,0.9747500419616699,0.7098846435546875
shuffled,3,0.05,0.8690000176429749,0.33742308616638184
shuffled,3,0.1,0.9311250448226929,0.4019887447357178
shuffled,3,0.2,0.9505000710487366,0.42480039596557617
shuffled,3,0.3,0.9657500386238098,0.5337607860565186
shuffled,3,0.4,0.9720000624656677,0.6229376792907715
shuffled,3,0.5,0.9757500290870667,0.7071452140808105
shuffled,4,0.05,0.8426250219345093,0.34697961807250977
shuffled,4,0.1,0.9177500605583191,0.3891911506652832
shuffled,4,0.2,0.9588750600814819,0.42781734466552734
shuffled,4,0.3,0.9676250219345093,0.5194523334503174
shuffled,4,0.4,0.9751250743865967,0.6211557388305664
shuffled,4,0.5,0.9751250743865967,0.7006070613861084
shuffled,5,0.05,0.8382500410079956,0.34976744651794434
shuffled,5,0.1,0.9238750338554382,0.36982131004333496
shuffled,5,0.2,0.9583750367164612,0.423079252243042
shuffled,5,0.3,0.968250036239624,0.5202958583831787
shuffled,5,0.4,0.9738750457763672,0.6366167068481445
shuffled,5,0.5,0.9757500290870667,0.6980745792388916
shuffled,6,0.05,0.8393750190734863,0.35144734382629395
shuffled,6,0.1,0.9050000309944153,0.37062501907348633
shuffled,6,0.2,0.9588750600814819,0.41797518730163574
shuffled,6,0.3,0.9658750295639038,0.528113842010498
shuffled,6,0.4,0.971625030040741,0.6314306259155273
shuffled,6,0.5,0.9731250405311584,0.6979243755340576
shuffled,7,0.05,0.8345000147819519,0.34915876388549805
shuffled,7,0.1,0.9030000567436218,0.36747169494628906
shuffled,7,0.2,0.9583750367164612,0.4315011501312256
shuffled,7,0.3,0.9688750505447388,0.52309250831604
shuffled,7,0.4,0.9705000519752502,0.628103494644165
shuffled,7,0.5,0.9756250381469727,0.6973037719726562
shuffled,8,0.05,0.8705000281333923,0.34478187561035156
shuffled,8,0.1,0.9095000624656677,0.3611736297607422
shuffled,8,0.2,0.9475000500679016,0.42153024673461914
shuffled,8,0.3,0.9613750576972961,0.5329458713531494
shuffled,8,0.4,0.9737500548362732,0.7584278583526611
shuffled,8,0.5,0.9745000600814819,0.9330751895904541
shuffled,9,0.05,0.8436250686645508,0.5935139656066895
shuffled,9,0.1,0.9347500205039978,0.6056649684906006
shuffled,9,0.2,0.9497500658035278,0.6417248249053955
shuffled,9,0.3,0.9628750681877136,0.7876625061035156
shuffled,9,0.4,0.9700000286102295,0.8688066005706787
shuffled,9,0.5,0.9740000367164612,0.9846134185791016
