mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9694750368595123,0.002356131866590538,0.0007450743166130082,0.9677895616573275,0.9711605120616971,10
non-shuffled,0.1,0.9755375504493713,0.0021929867457443756,0.0006934832995112792,0.9739687822360622,0.9771063186626804,10
non-shuffled,0.2,0.9792125463485718,0.0009483954428140086,0.0002999089721816237,0.9785341051189469,0.9798909875781967,10
non-shuffled,0.3,0.9782625436782837,0.002196473967067332,0.0006945860557198441,0.9766912808571184,0.979833806499449,10
non-shuffled,0.4,0.9760000526905059,0.005667282446203559,0.0017921520673493919,0.9719459230544277,0.9800541823265841,10
non-shuffled,0.5,0.9745875477790833,0.007606431672344836,0.002405364895105328,0.9691462343523429,0.9800288612058237,10
shuffled,0.05,0.8462375342845917,0.01663041772728644,0.00525899984582661,0.8343408501139065,0.8581342184552769,10
shuffled,0.1,0.919387549161911,0.011270877682169637,0.0035641644704815403,0.9113248489754211,0.9274502493484009,10
shuffled,0.2,0.9541125535964966,0.004803588666024362,0.0015190281127206865,0.9506762732707288,0.9575488339222644,10
shuffled,0.3,0.9668500483036041,0.0030446922848650815,0.0009628162394515866,0.9646720066510165,0.9690280899561917,10
shuffled,0.4,0.9723250508308411,0.002036312950835934,0.0006439386953540025,0.9708683602987072,0.973781741362975,10
shuffled,0.5,0.9746625423431396,0.0009629419183084094,0.0003045089716306367,0.9739736951918121,0.9753513894944672,10
