mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.8060000538825989,0.7797565460205078
non-shuffled,0,0.1,0.9286250472068787,0.5890514850616455
non-shuffled,0,0.2,0.955500066280365,0.7369098663330078
non-shuffled,0,0.3,0.9600000381469727,0.7843585014343262
non-shuffled,0,0.4,0.9468750357627869,0.9809136390686035
non-shuffled,0,0.5,0.9517500400543213,0.9873940944671631
non-shuffled,1,0.05,0.8795000314712524,0.5960197448730469
non-shuffled,1,0.1,0.905875027179718,0.6494030952453613
non-shuffled,1,0.2,0.9571250677108765,0.622805118560791
non-shuffled,1,0.3,0.9573750495910645,0.7747011184692383
non-shuffled,1,0.4,0.9627500176429749,0.884634256362915
non-shuffled,1,0.5,0.9618750214576721,0.9341115951538086
non-shuffled,2,0.05,0.877375066280365,0.5645248889923096
non-shuffled,2,0.1,0.874125063419342,0.5678067207336426
non-shuffled,2,0.2,0.9690000414848328,0.605710506439209
non-shuffled,2,0.3,0.9616250395774841,0.748687744140625
non-shuffled,2,0.4,0.9578750729560852,0.8282997608184814
non-shuffled,2,0.5,0.9573750495910645,0.9000930786132812
non-shuffled,3,0.05,0.9233750700950623,0.5670080184936523
non-shuffled,3,0.1,0.9428750276565552,0.6051652431488037
non-shuffled,3,0.2,0.940250039100647,0.6577286720275879
non-shuffled,3,0.3,0.9563750624656677,0.7545344829559326
non-shuffled,3,0.4,0.9551250338554382,0.8464744091033936
non-shuffled,3,0.5,0.9623750448226929,1.0211570262908936
non-shuffled,4,0.05,0.8985000252723694,0.5438330173492432
non-shuffled,4,0.1,0.9301250576972961,0.5661096572875977
non-shuffled,4,0.2,0.9535000324249268,0.6441447734832764
non-shuffled,4,0.3,0.9607500433921814,0.7997713088989258
non-shuffled,4,0.4,0.9643750190734863,0.8507606983184814
non-shuffled,4,0.5,0.9622500538825989,0.9511487483978271
non-shuffled,5,0.05,0.8347500562667847,0.5633547306060791
non-shuffled,5,0.1,0.9195000529289246,0.6229867935180664
non-shuffled,5,0.2,0.9436250329017639,0.6262829303741455
non-shuffled,5,0.3,0.9466250538825989,0.7256283760070801
non-shuffled,5,0.4,0.9545000195503235,0.8586735725402832
non-shuffled,5,0.5,0.9483750462532043,0.877570390701294
non-shuffled,6,0.05,0.8910000324249268,0.5427761077880859
non-shuffled,6,0.1,0.9203750491142273,0.6031672954559326
non-shuffled,6,0.2,0.9541250467300415,0.6504895687103271
non-shuffled,6,0.3,0.9613750576972961,0.7921631336212158
non-shuffled,6,0.4,0.9632500410079956,0.9002940654754639
non-shuffled,6,0.5,0.9581250548362732,0.9626169204711914
non-shuffled,7,0.05,0.8962500691413879,0.5586228370666504
non-shuffled,7,0.1,0.9325000643730164,0.6834485530853271
non-shuffled,7,0.2,0.9488750696182251,0.730640172958374
non-shuffled,7,0.3,0.9673750400543213,0.8084509372711182
non-shuffled,7,0.4,0.9598750472068787,0.8649880886077881
non-shuffled,7,0.5,0.9645000696182251,0.9501888751983643
non-shuffled,8,0.05,0.8581250309944153,0.5762765407562256
non-shuffled,8,0.1,0.9355000257492065,0.6206581592559814
non-shuffled,8,0.2,0.9387500286102295,0.6165487766265869
non-shuffled,8,0.3,0.9586250185966492,0.7334928512573242
non-shuffled,8,0.4,0.9616250395774841,0.8522741794586182
non-shuffled,8,0.5,0.9610000252723694,0.9152905941009521
non-shuffled,9,0.05,0.8597500324249268,0.5980885028839111
non-shuffled,9,0.1,0.936500072479248,0.5609509944915771
non-shuffled,9,0.2,0.9578750729560852,0.6034495830535889
non-shuffled,9,0.3,0.9600000381469727,0.7214009761810303
non-shuffled,9,0.4,0.9640000462532043,0.8477215766906738
non-shuffled,9,0.5,0.9647500514984131,0.9386427402496338
shuffled,0,0.05,0.9001250267028809,0.8534924983978271
shuffled,0,0.1,0.9076250195503235,0.6029658317565918
shuffled,0,0.2,0.9578750729560852,0.6792802810668945
shuffled,0,0.3,0.9656250476837158,0.7909445762634277
shuffled,0,0.4,0.9701250195503235,0.8135631084442139
shuffled,0,0.5,0.9718750715255737,0.8856663703918457
shuffled,1,0.05,0.8670000433921814,0.6012172698974609
shuffled,1,0.1,0.9355000257492065,0.6113948822021484
shuffled,1,0.2,0.9538750648498535,0.6014919281005859
shuffled,1,0.3,0.968250036239624,0.7336390018463135
shuffled,1,0.4,0.9703750610351562,0.8516008853912354
shuffled,1,0.5,0.9751250743865967,0.9306988716125488
shuffled,2,0.05,0.8521250486373901,0.5910673141479492
shuffled,2,0.1,0.9345000386238098,0.6312074661254883
shuffled,2,0.2,0.9515000581741333,0.6600296497344971
shuffled,2,0.3,0.9663750529289246,0.9992034435272217
shuffled,2,0.4,0.9753750562667847,0.8823831081390381
shuffled,2,0.5,0.9728750586509705,0.9471495151519775
shuffled,3,0.05,0.8401250243186951,0.545945405960083
shuffled,3,0.1,0.9235000610351562,0.6072359085083008
shuffled,3,0.2,0.9662500619888306,0.6763684749603271
shuffled,3,0.3,0.9722500443458557,0.8299441337585449
shuffled,3,0.4,0.9660000205039978,0.8738360404968262
shuffled,3,0.5,0.9728750586509705,0.9391350746154785
shuffled,4,0.05,0.8763750195503235,0.596914529800415
shuffled,4,0.1,0.9430000185966492,0.6283390522003174
shuffled,4,0.2,0.9653750658035278,0.6085753440856934
shuffled,4,0.3,0.9762500524520874,0.7524168491363525
shuffled,4,0.4,0.9732500314712524,0.8124871253967285
shuffled,4,0.5,0.9767500758171082,0.9167594909667969
shuffled,5,0.05,0.8362500667572021,0.5752525329589844
shuffled,5,0.1,0.9050000309944153,0.6007626056671143
shuffled,5,0.2,0.9520000219345093,0.6465015411376953
shuffled,5,0.3,0.968000054359436,0.7778198719024658
shuffled,5,0.4,0.9720000624656677,0.9375009536743164
shuffled,5,0.5,0.9733750224113464,0.9338455200195312
shuffled,6,0.05,0.8520000576972961,0.5684404373168945
shuffled,6,0.1,0.9312500357627869,0.6433539390563965
shuffled,6,0.2,0.9541250467300415,0.6703951358795166
shuffled,6,0.3,0.9606250524520874,0.7627232074737549
shuffled,6,0.4,0.9676250219345093,0.8960080146789551
shuffled,6,0.5,0.971500039100647,0.961533784866333
shuffled,7,0.05,0.8473750352859497,0.5704507827758789
shuffled,7,0.1,0.9015000462532043,0.6236181259155273
shuffled,7,0.2,0.9610000252723694,0.6645269393920898
shuffled,7,0.3,0.967750072479248,0.7735607624053955
shuffled,7,0.4,0.971000075340271,0.8607409000396729
shuffled,7,0.5,0.9731250405311584,0.8938767910003662
shuffled,8,0.05,0.8691250681877136,0.5944061279296875
shuffled,8,0.1,0.9145000576972961,0.6500089168548584
shuffled,8,0.2,0.9565000534057617,0.6904919147491455
shuffled,8,0.3,0.968500018119812,0.7859790325164795
shuffled,8,0.4,0.9706250429153442,0.8447363376617432
shuffled,8,0.5,0.9718750715255737,0.9845738410949707
shuffled,9,0.05,0.8338750600814819,0.5099518299102783
shuffled,9,0.1,0.9193750619888306,0.6043250560760498
shuffled,9,0.2,0.9568750262260437,0.6857647895812988
shuffled,9,0.3,0.9632500410079956,0.8322780132293701
shuffled,9,0.4,0.9696250557899475,0.8736007213592529
shuffled,9,0.5,0.9745000600814819,0.9461593627929688
