mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8724625468254089,0.03409112988622329,0.010780561844910247,0.8480752216283536,0.8968498720224642,10
non-shuffled,0.1,0.9226000487804413,0.020015945471651107,0.006329597721215073,0.9082815039574097,0.936918593603473,10
non-shuffled,0.2,0.9518625497817993,0.009202295955918175,0.0029100214923657866,0.9452796238187846,0.958445475744814,10
non-shuffled,0.3,0.9590125441551208,0.0052762036227602775,0.0016684820846754296,0.9552381754561786,0.962786912854063,10
non-shuffled,0.4,0.9590250372886657,0.005549899403322324,0.0017550322899308002,0.9550548784229586,0.9629951961543729,10
non-shuffled,0.5,0.9592375457286835,0.005434731515205011,0.0017186130059545853,0.9553497730070891,0.9631253184502778,10
shuffled,0.05,0.8574375450611115,0.020741142419843164,0.006558925132064075,0.842600225592989,0.872274864529234,10
shuffled,0.1,0.9215750396251678,0.01431602218282561,0.004527123713122438,0.9113339742904013,0.9318161049599344,10
shuffled,0.2,0.9575375497341156,0.0051975102317665094,0.0016435970494411806,0.9538194748958764,0.9612556245723549,10
shuffled,0.3,0.9676875472068787,0.004355810782839328,0.0013774283130493345,0.9645715878821961,0.9708035065315612,10
shuffled,0.4,0.9706000447273254,0.002649564272245587,0.0008378657907302508,0.9687046606273145,0.9724954288273363,10
shuffled,0.5,0.9733875572681427,0.0016430152545230574,0.0005195670434694128,0.9722122149591755,0.97456289957711,10
