mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9220000505447388,0.5059843063354492
non-shuffled,0,0.1,0.9600000381469727,0.3996899127960205
non-shuffled,0,0.2,0.9653750658035278,0.4572484493255615
non-shuffled,0,0.3,0.9721250534057617,0.5360264778137207
non-shuffled,0,0.4,0.9655000567436218,0.6371176242828369
non-shuffled,0,0.5,0.9730000495910645,0.717214822769165
non-shuffled,1,0.05,0.9343750476837158,0.3585813045501709
non-shuffled,1,0.1,0.9641250371932983,0.36765599250793457
non-shuffled,1,0.2,0.9708750247955322,0.4360623359680176
non-shuffled,1,0.3,0.9663750529289246,0.5357029438018799
non-shuffled,1,0.4,0.971250057220459,0.6407618522644043
non-shuffled,1,0.5,0.9697500467300415,0.7004191875457764
non-shuffled,2,0.05,0.893000066280365,0.34925413131713867
non-shuffled,2,0.1,0.9430000185966492,0.37560200691223145
non-shuffled,2,0.2,0.9613750576972961,0.4258906841278076
non-shuffled,2,0.3,0.9650000333786011,0.5215165615081787
non-shuffled,2,0.4,0.9706250429153442,0.6367673873901367
non-shuffled,2,0.5,0.9707500338554382,0.7085380554199219
non-shuffled,3,0.05,0.9472500681877136,0.34749937057495117
non-shuffled,3,0.1,0.9613750576972961,0.37201499938964844
non-shuffled,3,0.2,0.9606250524520874,0.43346548080444336
non-shuffled,3,0.3,0.9726250171661377,0.5244243144989014
non-shuffled,3,0.4,0.9696250557899475,0.6207695007324219
non-shuffled,3,0.5,0.9720000624656677,0.7061581611633301
non-shuffled,4,0.05,0.9426250457763672,0.3466615676879883
non-shuffled,4,0.1,0.9620000720024109,0.37073302268981934
non-shuffled,4,0.2,0.968375027179718,0.4220759868621826
non-shuffled,4,0.3,0.971250057220459,0.5203862190246582
non-shuffled,4,0.4,0.9647500514984131,0.6233861446380615
non-shuffled,4,0.5,0.9750000238418579,0.7050936222076416
non-shuffled,5,0.05,0.9165000319480896,0.34896326065063477
non-shuffled,5,0.1,0.9598750472068787,0.36840128898620605
non-shuffled,5,0.2,0.9690000414848328,0.42178821563720703
non-shuffled,5,0.3,0.971000075340271,0.5229535102844238
non-shuffled,5,0.4,0.9475000500679016,0.6255857944488525
non-shuffled,5,0.5,0.9656250476837158,0.7008130550384521
non-shuffled,6,0.05,0.8938750624656677,0.34690046310424805
non-shuffled,6,0.1,0.9375000596046448,0.37590599060058594
non-shuffled,6,0.2,0.968375027179718,0.4361691474914551
non-shuffled,6,0.3,0.9702500700950623,0.5330154895782471
non-shuffled,6,0.4,0.9722500443458557,0.6424777507781982
non-shuffled,6,0.5,0.9721250534057617,0.7041380405426025
non-shuffled,7,0.05,0.8916250467300415,0.3465256690979004
non-shuffled,7,0.1,0.9540000557899475,0.36881542205810547
non-shuffled,7,0.2,0.9672500491142273,0.42710137367248535
non-shuffled,7,0.3,0.9758750200271606,0.5306072235107422
non-shuffled,7,0.4,0.9730000495910645,0.6261501312255859
non-shuffled,7,0.5,0.968500018119812,0.6990337371826172
non-shuffled,8,0.05,0.9425000548362732,0.3457918167114258
non-shuffled,8,0.1,0.9658750295639038,0.36825132369995117
non-shuffled,8,0.2,0.968375027179718,0.4345734119415283
non-shuffled,8,0.3,0.9753750562667847,0.5211617946624756
non-shuffled,8,0.4,0.9765000343322754,0.6193225383758545
non-shuffled,8,0.5,0.9646250605583191,0.7103188037872314
non-shuffled,9,0.05,0.9422500729560852,0.34723949432373047
non-shuffled,9,0.1,0.9562500715255737,0.36989903450012207
non-shuffled,9,0.2,0.9738750457763672,0.4239482879638672
non-shuffled,9,0.3,0.9705000519752502,0.5241482257843018
non-shuffled,9,0.4,0.9740000367164612,0.6208939552307129
non-shuffled,9,0.5,0.9700000286102295,0.703324556350708
shuffled,0,0.05,0.827375054359436,0.5387153625488281
shuffled,0,0.1,0.9295000433921814,0.40146565437316895
shuffled,0,0.2,0.9571250677108765,0.45749878883361816
shuffled,0,0.3,0.9643750190734863,0.5175738334655762
shuffled,0,0.4,0.9692500233650208,0.634218692779541
shuffled,0,0.5,0.9740000367164612,0.7215843200683594
shuffled,1,0.05,0.8456250429153442,0.3673861026763916
shuffled,1,0.1,0.9176250696182251,0.3970906734466553
shuffled,1,0.2,0.9545000195503235,0.41295957565307617
shuffled,1,0.3,0.9651250243186951,0.5309116840362549
shuffled,1,0.4,0.9731250405311584,0.6199827194213867
shuffled,1,0.5,0.9745000600814819,0.6986684799194336
shuffled,2,0.05,0.8252500295639038,0.3492860794067383
shuffled,2,0.1,0.924250066280365,0.36580920219421387
shuffled,2,0.2,0.952875018119812,0.4289114475250244
shuffled,2,0.3,0.967750072479248,0.5258638858795166
shuffled,2,0.4,0.9725000262260437,0.6212418079376221
shuffled,2,0.5,0.9735000729560852,0.7091324329376221
shuffled,3,0.05,0.8346250653266907,0.3610513210296631
shuffled,3,0.1,0.9205000400543213,0.3635878562927246
shuffled,3,0.2,0.955875039100647,0.43442487716674805
shuffled,3,0.3,0.9657500386238098,0.5299086570739746
shuffled,3,0.4,0.9691250324249268,0.631350040435791
shuffled,3,0.5,0.9746250510215759,0.6958127021789551
shuffled,4,0.05,0.8486250638961792,0.3438689708709717
shuffled,4,0.1,0.9392500519752502,0.3728795051574707
shuffled,4,0.2,0.9540000557899475,0.4309515953063965
shuffled,4,0.3,0.9661250710487366,0.5267503261566162
shuffled,4,0.4,0.96812504529953,0.6205976009368896
shuffled,4,0.5,0.971000075340271,0.6993489265441895
shuffled,5,0.05,0.862250030040741,0.35030174255371094
shuffled,5,0.1,0.9157500267028809,0.3934755325317383
shuffled,5,0.2,0.9500000476837158,0.4428284168243408
shuffled,5,0.3,0.9663750529289246,0.5405733585357666
shuffled,5,0.4,0.9676250219345093,0.6238462924957275
shuffled,5,0.5,0.9732500314712524,0.6927280426025391
shuffled,6,0.05,0.893000066280365,0.35034966468811035
shuffled,6,0.1,0.9361250400543213,0.372875452041626
shuffled,6,0.2,0.9493750333786011,0.4180741310119629
shuffled,6,0.3,0.9625000357627869,0.5257925987243652
shuffled,6,0.4,0.9697500467300415,0.6430132389068604
shuffled,6,0.5,0.9695000648498535,0.6988837718963623
shuffled,7,0.05,0.8921250700950623,0.35109448432922363
shuffled,7,0.1,0.9331250190734863,0.3713533878326416
shuffled,7,0.2,0.9586250185966492,0.42611002922058105
shuffled,7,0.3,0.9707500338554382,0.529259204864502
shuffled,7,0.4,0.9746250510215759,0.6216006278991699
shuffled,7,0.5,0.9757500290870667,0.7023496627807617
shuffled,8,0.05,0.8503750562667847,0.3522951602935791
shuffled,8,0.1,0.9077500700950623,0.3648993968963623
shuffled,8,0.2,0.9585000276565552,0.42925381660461426
shuffled,8,0.3,0.9641250371932983,0.5232071876525879
shuffled,8,0.4,0.9736250638961792,0.6253857612609863
shuffled,8,0.5,0.9738750457763672,0.6986181735992432
shuffled,9,0.05,0.8626250624656677,0.3483445644378662
shuffled,9,0.1,0.9262500405311584,0.3612091541290283
shuffled,9,0.2,0.955625057220459,0.42669153213500977
shuffled,9,0.3,0.9691250324249268,0.5209922790527344
shuffled,9,0.4,0.9707500338554382,0.6265943050384521
shuffled,9,0.5,0.9767500758171082,0.6964950561523438
