mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9390250444412231,0.009278634909798337,0.0029341619892113723,0.9323875088803544,0.9456625800020919,10
non-shuffled,0.1,0.952575045824051,0.00475518804285624,0.0015037224917824085,0.9491733892183205,0.9559767024297814,10
non-shuffled,0.2,0.9605125486850739,0.0031393883933950022,0.0009927617783024915,0.9582667655172791,0.9627583318528686,10
non-shuffled,0.3,0.963387542963028,0.001966256063138472,0.0006217847622633415,0.9619809681093204,0.9647941178167355,10
non-shuffled,0.4,0.9637000441551209,0.0017181569674395109,0.0005433289394796614,0.9624709487028911,0.9649291396073507,10
non-shuffled,0.5,0.964875054359436,0.0016697787714414927,0.0005280304106352835,0.9636805665838126,0.9660695421350594,10
shuffled,0.05,0.9267125487327575,0.006771582981395035,0.0021413625586041906,0.9218684500825435,0.9315566473829716,10
shuffled,0.1,0.9477625489234924,0.0031663546371357184,0.0010012892533184836,0.9454974752670092,0.9500276225799756,10
shuffled,0.2,0.9583375453948975,0.0015833890964889548,0.0005007115967181216,0.9572048570698575,0.9594702337199374,10
shuffled,0.3,0.9620750486850739,0.0013542647899447288,0.00042825612911948384,0.9611062660150501,0.9630438313550976,10
shuffled,0.4,0.9634375452995301,0.0013772080880086115,0.0004355114370112839,0.9624523499827902,0.96442274061627,10
shuffled,0.5,0.9646250426769256,0.0012416360513361245,0.0003926397947199905,0.9637368297528782,0.965513255600973,10
