mode,seed,k_frac,test_acc,elapsed_sec
non-shuffled,0,0.05,0.9272500276565552,0.8643612861633301
non-shuffled,0,0.1,0.952375054359436,0.6373300552368164
non-shuffled,0,0.2,0.955625057220459,0.7155759334564209
non-shuffled,0,0.3,0.9632500410079956,0.8353619575500488
non-shuffled,0,0.4,0.9570000171661377,0.8766794204711914
non-shuffled,0,0.5,0.9572500586509705,0.923922061920166
non-shuffled,1,0.05,0.9235000610351562,0.6264238357543945
non-shuffled,1,0.1,0.9426250457763672,0.6435401439666748
non-shuffled,1,0.2,0.9593750238418579,0.6884584426879883
non-shuffled,1,0.3,0.9593750238418579,0.7642087936401367
non-shuffled,1,0.4,0.9627500176429749,1.7823617458343506
non-shuffled,1,0.5,0.9622500538825989,0.9492321014404297
non-shuffled,2,0.05,0.9205000400543213,0.54215407371521
non-shuffled,2,0.1,0.9563750624656677,0.5884153842926025
non-shuffled,2,0.2,0.9596250653266907,0.701230525970459
non-shuffled,2,0.3,0.9623750448226929,0.7398514747619629
non-shuffled,2,0.4,0.9567500352859497,0.8465631008148193
non-shuffled,2,0.5,0.9597500562667847,0.9132828712463379
non-shuffled,3,0.05,0.9308750629425049,0.5158610343933105
non-shuffled,3,0.1,0.9488750696182251,0.5637218952178955
non-shuffled,3,0.2,0.9623750448226929,0.6208548545837402
non-shuffled,3,0.3,0.9517500400543213,0.7008175849914551
non-shuffled,3,0.4,0.9571250677108765,0.8139331340789795
non-shuffled,3,0.5,0.9628750681877136,0.9717166423797607
non-shuffled,4,0.05,0.9350000619888306,0.5849664211273193
non-shuffled,4,0.1,0.9460000395774841,0.6353952884674072
non-shuffled,4,0.2,0.9573750495910645,0.6604247093200684
non-shuffled,4,0.3,0.9627500176429749,0.7652480602264404
non-shuffled,4,0.4,0.9548750519752502,0.9001529216766357
non-shuffled,4,0.5,0.9575000405311584,1.4981014728546143
non-shuffled,5,0.05,0.9217500686645508,0.6195731163024902
non-shuffled,5,0.1,0.9480000734329224,0.6673450469970703
non-shuffled,5,0.2,0.9498750567436218,0.6932971477508545
non-shuffled,5,0.3,0.952250063419342,0.8231854438781738
non-shuffled,5,0.4,0.9543750286102295,0.940269947052002
non-shuffled,5,0.5,0.9593750238418579,0.9901123046875
non-shuffled,6,0.05,0.9296250343322754,0.5432360172271729
non-shuffled,6,0.1,0.9475000500679016,0.6279757022857666
non-shuffled,6,0.2,0.9605000615119934,0.7037041187286377
non-shuffled,6,0.3,0.9601250290870667,0.7903573513031006
non-shuffled,6,0.4,0.9547500610351562,0.883847713470459
non-shuffled,6,0.5,0.9631250500679016,0.9710924625396729
non-shuffled,7,0.05,0.9373750686645508,0.6112649440765381
non-shuffled,7,0.1,0.9508750438690186,0.6690642833709717
non-shuffled,7,0.2,0.9625000357627869,0.6548008918762207
non-shuffled,7,0.3,0.9505000710487366,0.7773797512054443
non-shuffled,7,0.4,0.9536250233650208,0.8831958770751953
non-shuffled,7,0.5,0.9606250524520874,1.167834758758545
non-shuffled,8,0.05,0.9378750324249268,0.6138858795166016
non-shuffled,8,0.1,0.9466250538825989,0.6013741493225098
non-shuffled,8,0.2,0.9636250734329224,0.7120206356048584
non-shuffled,8,0.3,0.9571250677108765,0.8369853496551514
non-shuffled,8,0.4,0.9615000486373901,0.8990051746368408
non-shuffled,8,0.5,0.9616250395774841,1.012481927871704
non-shuffled,9,0.05,0.9381250739097595,0.6048362255096436
non-shuffled,9,0.1,0.9440000653266907,0.6221003532409668
non-shuffled,9,0.2,0.955875039100647,0.5961172580718994
non-shuffled,9,0.3,0.9531250596046448,0.7412495613098145
non-shuffled,9,0.4,0.9575000405311584,0.8755121231079102
non-shuffled,9,0.5,0.9637500643730164,0.9616117477416992
shuffled,0,0.05,0.9342500567436218,0.800295352935791
shuffled,0,0.1,0.9541250467300415,0.5774388313293457
shuffled,0,0.2,0.9602500200271606,0.6944808959960938
shuffled,0,0.3,0.9635000228881836,0.878864049911499
shuffled,0,0.4,0.9653750658035278,0.8734614849090576
shuffled,0,0.5,0.9658750295639038,0.9681606292724609
shuffled,1,0.05,0.9277500510215759,0.5928609371185303
shuffled,1,0.1,0.9458750486373901,0.6810648441314697
shuffled,1,0.2,0.9620000720024109,0.6628434658050537
shuffled,1,0.3,0.9650000333786011,0.7745301723480225
shuffled,1,0.4,0.9660000205039978,0.9156050682067871
shuffled,1,0.5,0.9658750295639038,0.9442787170410156
shuffled,2,0.05,0.9253750443458557,0.5541348457336426
shuffled,2,0.1,0.9450000524520874,0.6180293560028076
