mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.9301875531673431,0.006799525738173343,0.002150198834156547,0.9253234654730954,0.9350516408615909,10
non-shuffled,0.1,0.9483250558376313,0.0040591140496948445,0.0012836045679425606,0.9454213405699877,0.9512287711052748,10
non-shuffled,0.2,0.9586750507354737,0.0041341231590316324,0.001307324531019046,0.955717677183454,0.9616324242874933,10
non-shuffled,0.3,0.9572625458240509,0.0049792672666219935,0.0015745825641246397,0.9537005925981111,0.9608244990499907,10
non-shuffled,0.4,0.9570250391960144,0.003009126993754499,0.0009515695068959485,0.9548724394200362,0.9591776389719927,10
non-shuffled,0.5,0.9608125507831573,0.002305832666386759,0.0007291683129001335,0.959163057461204,0.9624620441051106,10
shuffled,0.05,0.928400045633316,0.006031974716891728,0.0019074778893927195,0.9240850308628404,0.9327150604037916,10
shuffled,0.1,0.9479500472545623,0.0036823610881527536,0.0011644648205738775,0.9453158448198096,0.9505842496893151,10
shuffled,0.2,0.9578500509262085,0.0029296134901532294,0.0009264251292839473,0.9557543316841507,0.9599457701682662,10
shuffled,0.3,0.9623375415802002,0.002104926103897985,0.0006656360794661862,0.9608317681551817,0.9638433150052188,10
shuffled,0.4,0.9641125440597534,0.0016249480696719175,0.0005138536979657236,0.9629501262362412,0.9652749618832657,10
shuffled,0.5,0.9646875500679016,0.002178850378654774,0.0006890129877269406,0.9631288944024157,0.9662462057333876,10
